INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
10,,,,,,,,,,
,,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,building,0,0,0,2.185812173,0.912119645,0.389922656,0.594204016,0.586184505,0.575957872
Australia_NZ,building,0,0,0,0.886899215,0.74489421,0.835190524,0.797475847,0.700119709,0.556617558
Canada,building,0,0,0,0.391614731,0.253658988,0.194220077,0.213826934,0.28054286,0.229612329
China,building,0,0,0,1.153601871,0.715163903,0.672629732,0.702373335,0.704179233,0.488612312
Eastern Europe,building,0,0,0,0.675249072,0.605669794,0.659107294,0.633506102,0.649069347,0.49196493
Former Soviet Union,building,0,0,0,0.813105071,0.402761878,0.536899805,0.559131712,0.58510642,0.550760916
India,building,0,0,0,1.030949853,0.867402056,0.723640759,0.862398337,0.775329111,0.786873006
Japan,building,0,0,0,1.239761831,0.743131126,0.539614971,0.418365494,0.241643629,0.276481338
Korea,building,0,0,0,0.841513848,0.697591287,0.559963653,0.508527424,0.507757433,0.587242964
Latin America,building,0,0,0,1.486251928,1.166757844,1.326305831,1.07557082,0.941248229,0.722068638
Middle East,building,0,0,0,1.114870654,0.771496639,0.626629479,0.549780087,0.54321803,0.5546719
Southeast Asia,building,0,0,0,1.402325708,0.76586801,0.770204044,0.600960692,0.666721407,0.670333328
USA,building,0,0,0,0.61718488,0.408808948,0.31883094,0.362327931,0.35308032,0.363330077
Western Europe,building,0,0,0,1.28399241,0.742517303,0.677840163,0.75009918,0.73274098,0.728175985


INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
10,,,,,,,,,,
,,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,industry,0,0,0,2.226569746,1.166299514,0.817034601,0.532131243,0.534761571,0.639291811
Australia_NZ,industry,0,0,0,0.137499761,0.182915408,0.179573477,0.141536043,0.092544849,0.0908655
Canada,industry,0,0,0,0.157365928,0.144446996,0.061451456,0.024575152,0.048979794,-0.04721354
China,industry,0,0,0,0.518687683,0.491329395,0.431854752,0.239194863,0.230227532,0.328184814
Eastern Europe,industry,0,0,0,0.496573761,0.401781696,0.360438901,0.311098478,0.308275725,0.359086257
Former Soviet Union,industry,0,0,0,0.29187342,0.21936819,0.283319375,0.399883694,0.324985149,0.293504192
India,industry,0,0,0,0.391276325,0.746589592,0.722808935,0.683385457,0.461582679,0.482430248
Japan,industry,0,0,0,0.17916759,0.096530694,0.101614965,0.12466441,0.03605725,0.045375115
Korea,industry,0,0,0,0.556336951,0.240034147,0.196239823,0.191016676,0.182602465,0.175596444
Latin America,industry,0,0,0,0.698633423,0.781231458,0.812950296,0.631834097,0.325145427,0.375317706
Middle East,industry,0,0,0,1.040137592,0.608500901,0.695434408,0.668467652,0.538842212,0.458439633
Southeast Asia,industry,0,0,0,0.746303025,0.866159473,0.691012796,0.527616996,0.384981288,0.421925091
USA,industry,0,0,0,0.101690202,0.156729203,-0.052267151,0.066435411,0.09150238,0.121602256
Western Europe,industry,0,0,0,0.496863681,0.574472638,0.244130785,0.238889188,0.127589916,0.136551423


INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
10,,,,,,,,,,
,,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,transportation,0,0,0,0.833383611,0.943794724,1.088710724,0.877591357,0.730039771,0.644339446
Australia_NZ,transportation,0,0,0,0.236895534,0.692017793,0.434413253,0.383253371,0.301838727,0.091629112
Canada,transportation,0,0,0,0.287356145,0.454102411,0.403756442,0.273208307,0.13847393,0
China,transportation,0,0,0,0.872578867,0.990703794,0.978330323,1.061987899,0.536151945,0.568815355
Eastern Europe,transportation,0,0,0,0.471053055,0.538417549,0.884983255,0.778307151,0.623251079,0.287835256
Former Soviet Union,transportation,0,0,0,-0.20235917,0.356911968,0.366937829,0.436238533,0.512824875,0.575875133
India,transportation,0,0,0,0.852765086,1.122792404,1.101724904,0.991151861,0.953026709,0.816335536
Japan,transportation,0,0,0,0.94781053,0.71860948,0.707450913,0.651428891,0.383302377,0.303297527
Korea,transportation,0,0,0,0.538891536,0.734421827,0.711353704,0.703262611,0.581486745,0.341956584
Latin America,transportation,0,0,0,0.500353063,0.938757493,0.949376332,0.714271577,0.788290285,0.816795108
Middle East,transportation,0,0,0,0.285083096,0.630497918,0.636609693,0.472048243,0.508876726,0.456008839
Southeast Asia,transportation,0,0,0,0.580352007,0.896047966,0.730726062,0.599123082,0.670805482,0.757641916
USA,transportation,0,0,0,0.315932234,0.161856582,0.058600077,-0.009184111,-0.084318443,-0.128318044
Western Europe,transportation,0,0,0,0.534071204,1.051618659,0.976535279,0.740114924,0.631516096,0.499297341
