region,0,15,30,45,60
Africa,0.26,0.56,0.56,0.56,0.56
Annex I,0.26,0.48,0.48,0.48,0.48
Australia&NZ,0.15,0.45,0.45,0.45,0.45
Brazil,0.26,0.56,0.56,0.56,0.56
Canada,0.15,0.45,0.45,0.45,0.45
China,0.26,0.56,0.56,0.56,0.56
CIS,0.16,0.46,0.46,0.46,0.46
Eastern Europe,0.15,0.45,0.45,0.45,0.45
EU-15,0.15,0.45,0.45,0.45,0.45
India,0.26,0.56,0.56,0.56,0.56
Japan,0.15,0.45,0.45,0.45,0.45
Latin America,0.26,0.56,0.56,0.56,0.56
Mexico,0.26,0.56,0.56,0.56,0.56
Middle East,0.26,0.56,0.56,0.56,0.56
Non-EU Europe,0.15,0.45,0.45,0.45,0.45
Non-OECD Annex I,0.15,0.45,0.45,0.45,0.45
OECD,0.26,0.48,0.48,0.48,0.48
OPEC,0.26,0.56,0.56,0.56,0.56
Russia,0.15,0.45,0.45,0.45,0.45
South Korea,0.26,0.56,0.56,0.56,0.56
South-SE Asia,0.26,0.56,0.56,0.56,0.56
Turkey,0.15,0.45,0.45,0.45,0.45
Ukraine,0.15,0.45,0.45,0.45,0.45
United States,0.36,0.51,0.51,0.51,0.51
