Source_Category_Raw,Source_Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Total,TOTAL ALL SOURCES,34659.00,33679.00,33780.00,33474.00,32685.00,30765.00,31520.00,31495.00,31922.00,31847.00,31106.00,29346.00,27792.00,28506.00,29204.00,27404.00,26795.00,26742.00,26974.00,25559.00,24108.00,23577.00,23066.00,22730.00,22569.00,22041.00,20871.00,19530.00,18782.00,18776.00,17512.00,17118.00,16544.00
FUEL COMBUSTION TOTAL (Tier 0 - 01),FUEL COMBUSTION TOTAL (Tier 0 - 01),721.00,643.00,634.00,609.00,618.00,660.00,734.00,799.00,883.00,980.00,1050.00,1055.00,1116.00,1105.00,1118.00,1570.00,1396.00,1282.00,1360.00,1372.00,1005.00,1075.00,1114.00,993.00,989.00,1073.00,1122.00,1120.00,1120.00,1651.00,1184.00,1186.00,1012.00
FUEL COMB. ELEC. UTIL. (Tier 1 - 01),FUEL COMB. ELEC. UTIL. (Tier 1 - 01),30.00,33.00,38.00,42.00,42.00,40.00,42.00,47.00,47.00,46.00,45.00,44.00,42.00,43.00,45.00,32.00,34.00,34.00,37.00,37.00,47.00,44.00,44.00,45.00,45.00,44.00,50.00,52.00,56.00,54.00,62.00,61.00,52.00
Coal,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Coal,18.00,18.00,19.00,21.00,22.00,22.00,25.00,26.00,27.00,29.00,31.00,33.00,33.00,34.00,37.00,24.00,24.00,25.00,27.00,27.00,27.00,27.00,27.00,29.00,29.00,29.00,28.00,29.00,29.00,30.00,32.00,31.00,31.00
Oil,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Oil,7.00,9.00,14.00,16.00,16.00,14.00,14.00,17.00,16.00,12.00,9.00,7.00,5.00,5.00,4.00,5.00,7.00,6.00,7.00,7.00,6.00,5.00,4.00,4.00,4.00,3.00,3.00,4.00,5.00,4.00,6.00,6.00,4.00
Gas,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Gas,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,8.00,8.00,10.00,10.00,14.00,13.00,7.00
Other,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Other, , , , , , , , , , , , , , , , , , , , ,0.00, , , , , ,0.00,0.00,1.00,2.00,2.00,2.00,1.00
Internal Combustion,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Inter0l Combustion, , , , , , , , , , , , , , , ,1.00,1.00,1.00,1.00,1.00,12.00,10.00,10.00,10.00,10.00,10.00,10.00,11.00,11.00,8.00,9.00,9.00,9.00
FUEL COMB. INDUSTRIAL (Tier 1 - 02),FUEL COMB. INDUSTRIAL (Tier 1 - 02),150.00,154.00,161.00,164.00,160.00,150.00,167.00,170.00,176.00,172.00,157.00,154.00,151.00,150.00,156.00,134.00,133.00,131.00,136.00,134.00,182.00,196.00,187.00,186.00,196.00,206.00,179.00,175.00,174.00,172.00,173.00,176.00,170.00
Coal,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Coal,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,7.00,7.00,7.00,7.00,7.00,7.00,6.00,7.00,6.00,8.00,6.00,7.00,7.00,7.00,10.00,9.00,10.00,10.00
