# File: iso_GCAM_regID.csv
# Title: ISO to GCAM region mapping
# Units: NA
# Description: Maps iso codes to GCAM regions (including composites as necessary)
# Column types: ccci
# ----------
iso,country_name,region_GCAM3,GCAM_region_ID
abw,Aruba,Latin America,9
afg,Afghanistan,Southeast Asia,27
ago,Angola,Africa,4
aia,Anguilla,Latin America,9
alb,Albania,Eastern Europe,15
and,Andorra,Western Europe,13
ant,Netherlands Antilles,Latin America,9
are,United Arab Emirates,Middle East,21
arg,Argentina,Latin America,31
arm,Armenia,Former Soviet Union,10
asm,American Samoa,Southeast Asia,29
atg,Antigua & Barbuda,Latin America,9
aus,Australia,Australia_NZ,6
aut,Austria,Western Europe,13
aze,Azerbaijan,Former Soviet Union,10
bdi,Burundi,Africa,2
bel,Belgium,Western Europe,13
ben,Benin,Africa,5
bfa,Burkina Faso,Africa,5
bgd,Bangladesh,Southeast Asia,27
bgr,Bulgaria,Eastern Europe,12
bhr,Bahrain,Middle East,21
bhs,Bahamas,Latin America,9
bih,Bosnia and Herzegovina,Eastern Europe,15
blr,Belarus,Former Soviet Union,14
blz,Belize,Latin America,9
bmu,Bermuda,Western Europe,9
bol,Bolivia,Latin America,26
bra,Brazil,Latin America,7
brb,Barbados,Latin America,9
brn,Brunei Darussalam,Southeast Asia,29
btn,Bhutan,Southeast Asia,27
bwa,Botswana,Africa,4
caf,Central African Republic,Africa,5
can,Canada,Canada,8
cck,Cocos (Keeling) Islands,Southeast Asia,29
che,Switzerland,Western Europe,16
chi,Channel Islands,Western Europe,13
chl,Chile,Latin America,26
chn,China,China,11
civ,Cote dIvoire,Africa,5
cmr,Cameroon,Africa,5
cod,"Congo, the Democratic Republic of the",Africa,5
cog,Congo,Africa,5
cok,Cook Islands,Australia_NZ,29
col,Colombia,Latin America,32
com,Comoros,Africa,2
cpv,Cape Verde,Africa,5
cri,Costa Rica,Latin America,9
cub,Cuba,Latin America,9
cuw,Curacao,Latin America,9
cym,Cayman Islands,Latin America,9
cyp,Cyprus,Western Europe,12
cxr,Christmas Island,Southeast Asia,29
cze,Czech Republic,Eastern Europe,12
deu,Germany,Western Europe,13
dji,Djibouti,Africa,2
dma,Dominica,Latin America,9
dnk,Denmark,Western Europe,13
dom,Dominican Republic,Latin America,9
dza,Algeria,Africa,3
ecu,Ecuador,Latin America,26
egy,Egypt,Africa,3
eri,Eritrea,Africa,2
esh,Western Sahara,Africa,3
esp,Spain,Western Europe,13
est,Estonia,Former Soviet Union,12
eth,Ethiopia,Africa,2
fin,Finland,Western Europe,13
fji,Fiji,Southeast Asia,29
flk,Falkland Islands (Malvinas),Latin America,13
fra,France,Western Europe,13
fro,Faroe Islands,Western Europe,13
fsm,"Micronesia, Federated States of",Southeast Asia,29
gab,Gabon,Africa,5
gbr,United Kingdom,Western Europe,13
geo,Georgia,Former Soviet Union,10
ggy,Guernsey,Western Europe,13
gha,Ghana,Africa,5
gib,Gibraltar,Western Europe,13
gin,Guinea,Africa,5
glp,Guadeloupe,Latin America,9
gmb,Gambia,Africa,5
gnb,Guinea-Bissau,Africa,5
gnq,Equatorial Guinea,Africa,5
grc,Greece,Western Europe,13
grd,Grenada,Latin America,9
grl,Greenland,Western Europe,13
gtm,Guatemala,Latin America,9
guf,French Guiana,Latin America,25
gum,Guam,Southeast Asia,29
guy,Guyana,Latin America,25
hkg,Hong Kong,Southeast Asia,11
hnd,Honduras,Latin America,9
hrv,Croatia,Eastern Europe,15
hti,Haiti,Latin America,9
hun,Hungary,Eastern Europe,12
idn,Indonesia,Southeast Asia,18
imn,Isle of Man,Western Europe,13
ind,India,India,17
irl,Ireland,Western Europe,13
irn,"Iran, Islamic Republic of",Middle East,21
irq,Iraq,Middle East,21
isl,Iceland,Western Europe,16
isr,Israel,Middle East,21
ita,Italy,Western Europe,13
jam,Jamaica,Latin America,9
jey,Jersey,Western Europe,13
jor,Jordan,Middle East,21
jpn,Japan,Japan,19
kaz,Kazakhstan,Former Soviet Union,10
ken,Kenya,Africa,2
kgz,Kyrgyzstan,Former Soviet Union,10
khm,Cambodia,China,29
kir,Kiribati,Southeast Asia,29
kna,Saint Kitts and Nevis,Latin America,9
kor,"Korea, Republic of",Korea,28
