technology,UCS_technology
hydro_base,Hydropower
hydro_int,Hydropower
hydro_subpeak,Hydropower
hydro_peak,Hydropower
geo_base,Geothermal Binary
geo_int,Geothermal Binary
geo_subpeak,Geothermal Binary
geo_peak,Geothermal Binary
nuc_base_gen2,Generic steam plant (nuclear)
nuc_int_gen2,Generic steam plant (nuclear)
nuc_subpeak_gen2,Generic steam plant (nuclear)
nuc_peak_gen2,Generic steam plant (nuclear)
wind_base,Wind
wind_int,Wind
wind_subpeak,Wind
wind_peak,Wind
pv_base,PV
pv_int,PV
pv_subpeak,PV
pv_peak,PV
coal_base_conv,Generic steam plant (coal)
coal_base_IGCC,Combined cycle (coal)
coal_base_IGCC_CCS,Combined cycle (coal)_CCS
bio_base_conv,Generic steam plant (biopower)
bio_base_IGCC,Combined cycle (biopower)
bio_base_IGCC_CCS,Combined cycle (biopower)_CCS
gas_base_CC,Combined cycle (natural gas)
gas_base_CC_CCS,Combined cycle (natural gas)_CCS
gas_int_CC,Combined cycle (natural gas)
gas_int_CC_CCS,Combined cycle (natural gas)_CCS
bio_int_conv,Generic steam plant (biopower)
bio_int_IGCC,Combined cycle (biopower)
bio_int_IGCC_CCS,Combined cycle (biopower)_CCS
oil_int_IGCC,Combined cycle (oil)
oil_int_IGCC_CCS,Combined cycle (oil)_CCS
coal_int_conv,Generic steam plant (coal)
coal_int_IGCC,Combined cycle (coal)
coal_int_IGCC_CCS,Combined cycle (coal)_CCS
gas_subpeak_turbine,Combustion Turbine (natural gas)
gas_subpeak_CC,Combined cycle (natural gas)
gas_subpeak_CC_CCS,Combined cycle (natural gas)_CCS
bio_subpeak_conv,Generic steam plant (biopower)
bio_subpeak_IGCC,Combined cycle (biopower)
bio_subpeak_IGCC_CCS,Combined cycle (biopower)_CCS
oil_subpeak_turbine,Combustion turbine (oil)
oil_subpeak_IGCC,Combined cycle (oil)
oil_subpeak_IGCC_CCS,Combined cycle (oil)_CCS
coal_subpeak_IGCC,Combined cycle (coal)
coal_subpeak_IGCC_CCS,Combined cycle (coal)_CCS
gas_peak_turbine,Combustion Turbine (natural gas)
gas_peak_CC,Combined cycle (natural gas)
gas_peak_CC_CCS,Combined cycle (natural gas)_CCS
oil_peak_turbine,Combustion turbine (oil)
oil_peak_IGCC,Combined cycle (oil)
oil_peak_IGCC_CCS,Combined cycle (oil)_CCS
nuc_base_gen3,Generic steam plant (nuclear)
wind_base_storage,Wind
pv_base_storage,PV
csp_base_storage,CSP Trough
csp_int,CSP Trough
csp_subpeak,CSP Trough
csp_peak,CSP Trough
