state,state_name,subregion4,GCAM_subregion
AK,Alaska,West,Pacific
AL,Alabama,South,Central-SE
AR,Arkansas,South,Central-SW
AZ,Arizona,West,Mountain
CA,California,West,California
CO,Colorado,West,Mountain
CT,Connecticut,Northeast,New England
DC,District of Columbia,South,Atlantic-S
DE,Delaware,South,Atlantic-S
FL,Florida,South,Florida
GA,Georgia,South,Central-SE
HI,Hawaii,West,Pacific
IA,Iowa,Midwest,Central-NW
ID,Idaho,West,Mountain
IL,Illinois,Midwest,Central-NE
IN,Indiana,Midwest,Central-NE
KS,Kansas,Midwest,Central-NW
KY,Kentucky,South,Central-SE
LA,Louisiana,South,Central-SW
MA,Massachusetts,Northeast,New England
MD,Maryland,South,Atlantic-S
ME,Maine,Northeast,New England
MI,Michigan,Midwest,Central-NE
MN,Minnesota,Midwest,Central-NW
MO,Missouri,Midwest,Central-NW
MS,Mississippi,South,Central-SE
MT,Montana,West,Mountain
NC,North Carolina,South,Atlantic-S
ND,North Dakota,Midwest,Central-NW
NE,Nebraska,Midwest,Central-NW
NH,New Hampshire,Northeast,New England
NJ,New Jersey,Northeast,Atlantic-N
NM,New Mexico,West,Mountain
NV,Nevada,West,Mountain
NY,New York,Northeast,Atlantic-N
OH,Ohio,Midwest,Central-NE
OK,Oklahoma,South,Central-SW
OR,Oregon,West,Pacific
PA,Pennsylvania,Northeast,Atlantic-N
RI,Rhode Island,Northeast,New England
SC,South Carolina,South,Atlantic-S
SD,South Dakota,Midwest,Central-NW
TN,Tennessee,South,Central-SE
TX,Texas,South,Texas
UT,Utah,West,Mountain
VA,Virginia,South,Atlantic-S
VT,Vermont,Northeast,New England
WA,Washington,West,Pacific
WI,Wisconsin,Midwest,Central-NE
WV,West Virginia,Midwest,Central-NE
WY,Wyoming,West,Mountain
