technology,fuel
coal_base_exist,Coal
coal_int_exist,Coal
coal_subpeak_exist,Coal
coal_peak_exist,Coal
gas_base_exist,Natural Gas
gas_int_exist,Natural Gas
gas_subpeak_exist,Natural Gas
gas_peak_exist,Natural Gas
oil_base_exist,Oil and others
oil_int_exist,Oil and others
oil_subpeak_exist,Oil and others
oil_peak_exist,Oil and others
bio_base_exist,Biopower and Biogas
bio_int_exist,Biopower and Biogas
bio_subpeak_exist,Biopower and Biogas
bio_peak_exist,Biopower and Biogas
nuc_base_gen2,Nuclear
nuc_int_gen2,Nuclear
nuc_subpeak_gen2,Nuclear
nuc_peak_gen2,Nuclear
hydro_base,Hydropower
hydro_int,Hydropower
hydro_subpeak,Hydropower
hydro_peak,Hydropower
geo_base,Geothermal Dry Steam
geo_int,Geothermal Dry Steam
geo_subpeak,Geothermal Dry Steam
geo_peak,Geothermal Dry Steam
wind_base,Wind
wind_int,Wind
wind_subpeak,Wind
wind_peak,Wind
pv_base,PV
pv_int,PV
pv_subpeak,PV
pv_peak,PV
