POPULATION (ZLM) UNITS=THOUSANDS OF PERSONS,,,,,,,,,,,,
UN Med98,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
6,,,,,,,,,,,,
,"ZLM(L,M)",,,,,,,,,,,
Region,1960,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
1,180738,216067,249012,291604,327682,361786,384810,406002,432120,457962,USA,"(New values from SRES ""low"". Better matches IEO 2001.)"
2,17909,23209,29003,32551,36641,39957,42311,42353,42372,42321,CANADA,
3,353779,401330,409134,461601,469347,463994,445148,416434,387266,373396,WEUR,
4,94096,111524,128901,127457,123893,114987,104921,96127,88023,80469,JAPAN,
5,12727,17116,21256,23797,26861,29311,31009,31758,31775,31739,AUS&NZ,
6,214652,254470,286923,292095,295368,293066,283685,275473,266303,261273,FSU,
7,721340,992790,1210204,1458890,1613709,1685243,1674223,1623512,1571503,1542891,china,
8,48224,76878,128789,191146,259713,320266,370830,397255,423382,435292,MIDEAST,
9,280399,411311,653996,875614,1187119,1504410,1765661,1942835,2120274,2207827,AFR,
10,216846,319775,439633,556548,663663,749413,806986,836324,865418,879127,LA,
11,319184,467024,653975,861736,1061895,1225959,1345722,1402474,1458874,1480712,SEASIA,
,99374,112191,122164,120928,118739,112953,104599,97852,90999,87739,EEur,
,25003,35281,42869,48548,51893,52979,51275,49608,47774,45932,Korea,
,442344,620701,850785,1087459,1272166,1428018,1528853,1566324,1603203,1612875,India,
,3026615,4059667,5226644,6429974,7508689,8382342,8940033,9184331,9429286,9539555,Global,


,180738,216067,249012,288380,317124,338231,349318,349671,349832,349409,USA,(old vals)

Labor force Percentage,,This is the ratio of working persons over total population,,,,,,,,,,
SRES Low Population,,,,,,,,,,,,
INPUT_TABLE,,Using this variable triggers new simple GDP calc method,,,,,,,,,,
Variable ID,,,,,,,,,,,,
375,,,,,,,,,,,,
,"LFPerc(L,M)",,,,,,,,,,,
REGION,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,
1,0.45,0.5,0.52,0.52,0.49,0.49,0.48,0.47,0.45, USA     ,,(new vals from SGM to 2050. Better match to SGM results.)
2,0.44,0.52,0.49,0.52,0.41,0.45,0.43,0.47,0.47, Canada  ,,
3,0.43,0.46,0.42,0.47,0.45,0.47,0.45,0.43,0.43, OECDEuro,,
4,0.49,0.52,0.5,0.42,0.44,0.44,0.48,0.47,0.45, Japan   ,,
5,0.43,0.5,0.56,0.51,0.44,0.41,0.42,0.5,0.5, Aus&NZ  ,,
6,0.51,0.49,0.54,0.49,0.47,0.43,0.47,0.49,0.49, EE&FSU  ,,
7,0.53,0.59,0.58,0.64,0.57,0.54,0.46,0.44,0.44, China   ,,
8,0.29,0.3,0.35,0.38,0.44,0.46,0.49,0.49,0.51, MidEast ,,
9,0.47,0.48,0.48,0.49,0.54,0.55,0.56,0.52,0.5, Africa  ,,
10,0.34,0.39,0.45,0.47,0.48,0.48,0.48,0.47,0.47, LatAmeri,,
11,0.35,0.44,0.47,0.49,0.5,0.49,0.49,0.48,0.47, SEAsia  ,,
12,0.51,0.49,0.54,0.49,0.47,0.43,0.47,0.49,0.49, EE&FSU  ,,
13,0.35,0.44,0.47,0.49,0.5,0.49,0.49,0.48,0.47, SEAsia  ,,
14,0.35,0.44,0.47,0.49,0.5,0.49,0.49,0.48,0.47, SEAsia  ,,


xxx
