VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,0,1,Numeric
DOEID,4-digit identification number,0,2,Numeric
REGIONC,Census Region,0,3,Numeric
DIVISION,Census Division,0,4,Numeric
LRGSTATE,Four Largest States,0,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),0,6,Numeric
MQRESULT,Mail Questionnaire Codes,0,7,Numeric
NWEIGHT,The Final Weight,0,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),0,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),0,10,Numeric
NUMFLRS,Number Floors in Apartment Building,1,11,Numeric
NUMAPTS,Interviewer Reported Num of Units in Apt Bldg,1,12,Numeric
WALLTYPE,Exterior Wall Construction Material,1,13,Numeric
CNFRMHUQ,Agreement with type of housing unit recorded,1,14,Numeric
ALTHUQ,Alternative type of housing unit,1,15,Numeric
REVHUQ,How final TYPEHUQ was determined,1,16,Numeric
STUDIO,Is this a Studio apartment,1,17,Numeric
ONEFLRAPT,Is this a one-floor apartment,1,18,Numeric
NAPTFLRS,Number of floors in this apartment,1,19,Numeric
STORIES,Reported Stories in Housing Unit,1,20,Numeric
TYPEHUQ4,Mobile home have permanently attached structures,1,21,Numeric
BEDROOMS,Number of bedrooms,1,22,Numeric
OTHROOMS,Number of Other Rooms,1,23,Numeric
TOTROOMS,Total number of bedrooms and other rooms,1,24,Numeric
NCOMBATH,Number of Complete Baths,1,25,Numeric
NHAFBATH,Number of Half Baths,1,26,Numeric
POTTYAGE,Age of the most used toilet ,1,27,Numeric
POTTYLEAK,Does the most used toilet leak,1,28,Numeric
POTTYPARTS,Any of the part of the most used toilet replaced,1,29,Numeric
POTTYFIX,When was the most used toilet repaired,1,30,Numeric
CELLAR,Home Has Basement,1,31,Numeric
CRAWL,Home Has Crawl Space,1,32,Numeric
CONCRETE,Home Has Concrete Slab,1,33,Numeric
BASEFIN,Is the basement finished,1,34,Numeric
FINBASERMS,Number of rooms in finished basement,1,35,Numeric
BASEHEAT,Basement/crawl Space heated,1,36,Numeric
PCTBSTHT,Portion of basement that is heated,1,37,Numeric
BASECOOL,Is basement air-conditioned,1,38,Numeric
PCTBSTCL,Percent of the basement that is A/Ced,1,39,Numeric
BASEUSE,Amount of basement to which have exclusive use,1,40,Numeric
ATTIC,Home has attic,1,41,Numeric
ATTICFIN,Part of the attic finished,1,42,Numeric
FINATTRMS,Number of rooms in fiishted attic,1,43,Numeric
ATTCHEAT,How much of the attic is warm,1,44,Numeric
PCTATTHT,Portion of the attic is warm,1,45,Numeric
ATTCCOOL,Is the attic air-conditioned,1,46,Numeric
PCTATTCL,Percent of the attic that is air-conditioned,1,47,Numeric
ATTICUSE,Apt occupants have exclusive use of attic,1,48,Numeric
PRKGPLC1,Home has Garage or Carport,1,49,Numeric
GARAGE1C,One-Car attached Garage Present,1,50,Numeric
GARAGE2C,Two-Car attached Garage Present,1,51,Numeric
GARAGE3C,3/More Car attached Garage present,1,52,Numeric
GARGLOC,The garage is detached from or part of the home,1,53,Numeric
GARGHEAT,Is the garage heated,1,54,Numeric
GARGCOOL,Is the garage air-conditioned,1,55,Numeric
PRKGPLC2,Home has a detached Garage or Carport,1,56,Numeric
DGARG1C,Have a 1-car detached garage,1,57,Numeric
DGARG2C,Have a 2-car detached garage,1,58,Numeric
DGARG3C,Have a 3 or more-car detached garage,1,59,Numeric
CARPORT,Covered Carport Present,1,60,Numeric
KOWNRENT,Dwelling owned or rented,1,61,Numeric
HUPROJ,Reside in Public Housing Project,1,62,Numeric
RENTHELP,Household receives a rent subsidy,1,63,Numeric
KOWNCOND,Home is part of a condominium or cooperative,1,64,Numeric
CONDCOOP,If KOWNCOND  is a condominium or cooperative,1,65,Numeric
YEARMADE,Year Home Built,1,66,Numeric
OCCUPY,Moved in After 12-31-98,1,67,Numeric
OCCUPYY,Year Moved into Home,1,68,Numeric
OCCUPYM,Month Moved Into Home,1,69,Numeric
URBRUR,Reported type of neighborhood,1,70,Numeric
UGASHERE,Natural gas from underground pipe available,1,71,Numeric
ZTYPEHUQ,Imputation Flag for TYPEHUQ,1,72,Numeric
ZNUMFLRS,Imputation Flag for NUMFLRS,1,73,Numeric
ZNUMAPTS,Imputation Flag for NUMAPTS,1,74,Numeric
ZWALLTYPE,Imputation Flag for WALLTYPE,1,75,Numeric
ZCNFRMHUQ,Imputation Flag for CNFRMHUQ,1,76,Numeric
ZALTHUQ,Imputation Flag for ALTHUQ,1,77,Numeric
ZREVHUQ,Imputation Flag for REVHUQ,1,78,Numeric
ZORIG1FAM,Imputation Flag for ORIG1FAM,1,79,Numeric
ZLOOKLIKE,Imputation Flag for LOOKLIKE,1,80,Numeric
ZSTUDIO,Imputation Flag for STUDIO,1,81,Numeric
ZONEFLRAPT,Imputation Flag for ONEFLRAPT,1,82,Numeric
ZNAPTFLRS,Imputation Flag for NAPTFLRS,1,83,Numeric
ZSTORIES,Imputation Flag for STORIES,1,84,Numeric
ZTYPEHUQ4,Imputation Flag for TYPEHUQ4,1,85,Numeric
ZBEDROOMS,Imputation Flag for BEDROOMS,1,86,Numeric
ZOTHROOMS,Imputation Flag for OTHROOMS,1,87,Numeric
ZTOTROOMS,Imputation Flag for TOTROOMS,1,88,Numeric
ZNCOMBATH,Imputation Flag for NCOMBATH,1,89,Numeric
ZNHAFBATH,Imputation Flag for NHAFBATH,1,90,Numeric
ZPOTTYAGE,Imputation Flag for POTTYAGE,1,91,Numeric
ZPOTTYLEAK,Imputation Flag for POTTYLEAK,1,92,Numeric
ZPOTTYPARTS,Imputation Flag for POTTYPARTS,1,93,Numeric
ZPOTTYFIX,Imputation Flag for POTTYFIX,1,94,Numeric
ZCELLAR,Imputation Flag for CELLAR,1,95,Numeric
ZCRAWL,Imputation Flag for CRAWL,1,96,Numeric
ZCONCRETE,Imputation Flag for CONCRETE,1,97,Numeric
ZBASEFIN,Imputation Flag for BASEFIN,1,98,Numeric
ZFINBASERMS,Imputation Flag for FINBASERMS,1,99,Numeric
ZBASEHEAT,Imputation Flag for BASEHEAT,1,100,Numeric
ZPCTBSTHT,Imputation Flag for PCTBSTHT,1,101,Numeric
ZBASECOOL,Imputation Flag for BASECOOL,1,102,Numeric
ZPCTBSTCL,Imputation Flag for PCTBSTCL,1,103,Numeric
ZBASEUSE,Imputation Flag for BASEUSE,1,104,Numeric
ZATTIC,Imputation Flag for ATTIC,1,105,Numeric
ZATTICFIN,Imputation Flag for ATTICFIN,1,106,Numeric
ZFINATTRMS,Imputation Flag for FINATTRMS,1,107,Numeric
ZATTCHEAT,Imputation Flag for ATTCHEAT,1,108,Numeric
ZPCTATTHT,Imputation Flag for PCTATTHT,1,109,Numeric
ZATTCCOOL,Imputation Flag for ATTCCOOL,1,110,Numeric
ZPCTATTCL,Imputation Flag for PCTATTCL,1,111,Numeric
ZATTICUSE,Imputation Flag for ATTICUSE,1,112,Numeric
ZPRKGPLC1,Imputation Flag for PRKGPLC1,1,113,Numeric
ZGARAGE1C,Imputation Flag for GARAGE1C,1,114,Numeric
ZGARAGE2C,Imputation Flag for GARAGE2C,1,115,Numeric
ZGARAGE3C,Imputation Flag for GARAGE3C,1,116,Numeric
ZGARGLOC,Imputation Flag for GARGLOC,1,117,Numeric
ZGARGHEAT,Imputation Flag for GARGHEAT,1,118,Numeric
ZGARGCOOL,Imputation Flag for GARGCOOL,1,119,Numeric
ZPRKGPLC2,Imputation Flag for PRKGPLC2,1,120,Numeric
ZDGARG1C,Imputation Flag for DGARG1C,1,121,Numeric
ZDGARG2C,Imputation Flag for DGARG2C,1,122,Numeric
ZDGARG3C,Imputation Flag for DGARG3C,1,123,Numeric
ZCARPORT,Imputation Flag for CARPORT,1,124,Numeric
ZKOWNRENT,Imputation Flag for KOWNRENT,1,125,Numeric
ZHUPROJ,Imputation Flag for HUPROJ,1,126,Numeric
ZKOWNCOND,Imputation Flag for KOWNCOND,1,127,Numeric
ZCONDCOOP,Imputation Flag for CONDCOOP,1,128,Numeric
ZYEARMADE,Imputation Flag for YEARMADE,1,129,Numeric
ZOCCUPY,Imputation Flag for OCCUPY,1,130,Numeric
ZOCCUPYY,Imputation Flag for OCCUPYY,1,131,Numeric
ZOCCUPYM,Imputation Flag for OCCUPYM,1,132,Numeric
ZURBRUR,Imputation Flag for URBRUR,1,133,Numeric
ZUGASHERE,Imputation Flag for UGASHERE,1,134,Numeric
STOVEN,Stove that has both burners and one or two ovens,2,11,Numeric
STOVE,Separate build-in range top or burners,2,12,Numeric
OVEN,Separate built-in oven,2,13,Numeric
MULTSTV,More than one stove with both burners and oven,2,14,Numeric
STOVENFU,Stove use the same fuel for both burners and oven,2,15,Numeric
STOVENAB,What fuel do the burners use,2,16,Numeric
STOVENAO,What fuel does the oven use,2,17,Numeric
MULTOVEN,More than one separate built-in oven,2,18,Numeric
OVENA,What fuel does your separate built-in oven use,2,19,Numeric
OVENUSE,How often you use your oven,2,20,Numeric
OVENCLN,Does your oven have a self-cleaning feature,2,21,Numeric
TYPECLN,Type of oven cleaning,2,22,Numeric
MULTRANG,More than one separate built-in range top,2,23,Numeric
STOVEA,Fuel for separate built-in range top,2,24,Numeric
TOPGRILL,Built-in or stove-top grill,2,25,Numeric
STGRILA,What fuel does your built-in stove-top grill use,2,26,Numeric
MICRO,Use a microwave Oven to do any cooking,2,27,Numeric
AMTMICRO,How often is microwave used,2,28,Numeric
TOASTER,Do use any electric toaster ovens,2,29,Numeric
TSTRFRQ,How often you use your electric toaster oven,2,30,Numeric
TSTRUSE,How the toaster oven is used,2,31,Numeric
NUMMEAL,How often hot meals are usually cooked,2,32,Numeric
FUELFOOD,Which fuels is used most for cooking,2,33,Numeric
COFFEE,Do you use any electric coffee makers,2,34,Numeric
COFFFRQ,How often you make coffee,2,35,Numeric
COFPOTON,How long do you leave the warmer on,2,36,Numeric
NUMFRIG,How many refrigerators do you use in your home,2,37,Numeric
TYPERFR1,Type of first refrigerators,2,38,Numeric
DOORSFR1,Are those doors side-by-side or top-to-bottom,2,39,Numeric
SIZRFRI1,Size of first refrigerator,2,40,Numeric
REFRIGT1,First refrigerator manual of frost-free,2,41,Numeric
ICE,Does refrigerator have through-the-door ice,2,42,Numeric
AGERFRI1,How old is first refrigerator,2,43,Numeric
ESFRIG,Is this an Energy-Star refrigerator,2,44,Numeric
TYPERFR2,Type of second refrigerator,2,45,Numeric
DOORSFR2,Are those doors side-by-side or top-and-bottom,2,46,Numeric
SIZRFRI2,Size of second refrigerator,2,47,Numeric
REFRIGT2,Second refrigerator manual of frost-free,2,48,Numeric
MONRFRI2,Months second refrigerator turned on,2,49,Numeric
AGERFRI2,How old is second refrigerator,2,50,Numeric
TYPERFR3,Type of third refrigerator,2,51,Numeric
DOORSFR3,Are those doors side-by-side or top-and-bottom,2,52,Numeric
SIZRFRI3,Size of third refrigerator,2,53,Numeric
REFRIGT3,Third refrigerator manual or frost-free,2,54,Numeric
MONRFRI3,Months third refrigerator turned on,2,55,Numeric
AGERFRI3,How old is third refrigerator,2,56,Numeric
SEPFREEZ,Does your household use a separate freezer,2,57,Numeric
NUMFREEZ,How many separate freezers are used in your home,2,58,Numeric
UPRTFRZR,What model freezer is this,2,59,Numeric
SIZFREEZ,Size of this freezer,2,60,Numeric
FREEZER,What type of defrosting does this freezer have,2,61,Numeric
AGEFRZR,How old is this freezer,2,62,Numeric
UPRTFRZR2ND,Is second freezer up-right or chest,2,63,Numeric
SIZFREEZ2,Size of second freezer,2,64,Numeric
FREEZER2,Type second freezer defrosting,2,65,Numeric
AGEFRZR2,Age of second freezer,2,66,Numeric
DISHWASH,Does your household use an automatic dishwasher,2,67,Numeric
DWASHUSE,How often automatic dishwasher used,2,68,Numeric
AGEDW,Age of the dishwasher,2,69,Numeric
ZSTOVEN,Imputation Flag for STOVEN,2,70,Numeric
ZSTOVE,Imputation Flag for STOVE,2,71,Numeric
ZOVEN,Imputation Flag for OVEN,2,72,Numeric
ZMULTSTV,Imputation Flag for MULTSTV,2,73,Numeric
ZSTOVENFU,Imputation Flag for STOVENFU,2,74,Numeric
ZSTOVENAB,Imputation Flag for STOVENAB,2,75,Numeric
ZSTOVENAO,Imputation Flag for STOVENAO,2,76,Numeric
ZMULTOVEN,Imputation Flag for MULTOVEN,2,77,Numeric
ZOVENA,Imputation Flag for OVENA,2,78,Numeric
ZOVENUSE,Imputation Flag for OVENUSE,2,79,Numeric
ZOVENCLN,Imputation Flag for OVENCLN,2,80,Numeric
ZTYPECLN,Imputation Flag for TYPECLN,2,81,Numeric
ZMULTRANG,Imputation Flag for MULTRANG,2,82,Numeric
ZSTOVEA,Imputation Flag for STOVEA,2,83,Numeric
ZTOPGRILL,Imputation Flag for TOPGRILL,2,84,Numeric
ZSTGRILA,Imputation Flag for STGRILA,2,85,Numeric
ZMICRO,Imputation Flag for MICRO,2,86,Numeric
ZAMTMICRO,Imputation Flag for AMTMICRO,2,87,Numeric
ZTOASTER,Imputation Flag for TOASTER,2,88,Numeric
ZTSTRFRQ,Imputation Flag for TSTRFRQ,2,89,Numeric
ZTSTRUSE,Imputation Flag for TSTRUSE,2,90,Numeric
ZNUMMEAL,Imputation Flag for NUMMEAL,2,91,Numeric
ZFUELFOOD,Imputation Flag for FUELFOOD,2,92,Numeric
ZCOFFEE,Imputation Flag for COFFEE,2,93,Numeric
ZCOFFFRQ,Imputation Flag for COFFFRQ,2,94,Numeric
ZCOFPOTON,Imputation Flag for COFPOTON,2,95,Numeric
ZNUMFRIG,Imputation Flag for NUMFRIG,2,96,Numeric
ZTYPERFR1,Imputation Flag for TYPERFR,2,97,Numeric
ZDOORSFR1,Imputation Flag for DOORSFR1,2,98,Numeric
ZSIZRFRI1,Imputation Flag for SIZRFRI1,2,99,Numeric
ZREFRIGT1,Imputation Flag for REFRIGT1,2,100,Numeric
ZICE,Imputation Flag for ICE,2,101,Numeric
ZAGERFRI1,Imputation Flag for AGERFRI1,2,102,Numeric
ZESFRIG,Imputation Flag for ESFRIG,2,103,Numeric
ZTYPERFR2,Imputation Flag for TYPERFR2,2,104,Numeric
ZDOORSFR2,Imputation Flag for DOORSFR2,2,105,Numeric
ZSIZRFRI2,Imputation Flag for SIZRFRI2,2,106,Numeric
ZREFRIGT2,Imputation Flag for REFRIGT2,2,107,Numeric
ZMONRFRI2,Imputation Flag for MONRFRI2,2,108,Numeric
ZAGERFRI2,Imputation Flag for AGERFRI2,2,109,Numeric
ZTYPERFR3,Imputation Flag for TYPERFR3,2,110,Numeric
ZDOORSFR3,Imputation Flag for DOORSFR3,2,111,Numeric
ZSIZRFRI3,Imputation Flag for SIZRFRI3,2,112,Numeric
ZREFRIGT3,Imputation Flag for REFRIGT3,2,113,Numeric
ZMONRFRI3,Imputation Flag for MONRFRI3,2,114,Numeric
ZAGERFRI3,Imputation Flag for AGERFRI3,2,115,Numeric
ZSEPFREEZ,Imputation Flag for SEPFREEZ,2,116,Numeric
ZNUMFREEZ,Imputation Flag for NUMFREEZ,2,117,Numeric
ZUPRTFRZR,Imputation Flag for UPRTFRZR,2,118,Numeric
ZSIZFREEZ,Imputation Flag for SIZFREEZ,2,119,Numeric
ZFREEZER,Imputation Flag for FREEZER,2,120,Numeric
ZAGEFRZR,Imputation Flag for AGEFRZR,2,121,Numeric
ZUPRTFRZR2ND,Imputation Flag for UPRTFRZR2ND,2,122,Numeric
ZSIZFREEZ2,Imputation Flag for SIZFREEZ2,2,123,Numeric
ZFREEZER2,Imputation Flag for FREEZER2,2,124,Numeric
ZAGEFRZR2,Imputation Flag for AGEFRZR2,2,125,Numeric
ZDISHWASH,Imputation Flag for DISHWASH,2,126,Numeric
ZDWASHUSE,Imputation Flag for DWASHUSE,2,127,Numeric
ZAGEDW,Imputation Flag for AGEDW,2,128,Numeric
ZESDISHW,Imputation Flag for ESDISHW,2,129,Numeric
ESDISHW,Is this an Energy-Star dishwasher,3,11,Numeric
CWASHER,Use a clothes washer in home,3,12,Numeric
TOPFRONT,Washing machine load from the top or from front,3,13,Numeric
WASHLOAD,How many loads of laundry are washed in a week,3,14,Numeric
WASHTEMP,Temperature setting for wash cycle of the washer,3,15,Numeric
RNSETEMP,Water temperature setting for rinse cycle,3,16,Numeric
AGECWASH,Age of clothes washer,3,17,Numeric
ESCWASH,Is this an Energy-Star clothes washer,3,18,Numeric
DRYER,Do you use a clothes dryer in home,3,19,Numeric
DRYRFUEL,What fuel does clothes dryer use,3,20,Numeric
DRYRUSE,How often use your clothes dryer,3,21,Numeric
AGECDRYER,Age of the clothes dryer,3,22,Numeric
WATERBED,Does your household use any waterbed heaters,3,23,Numeric
