# File: FAO2050_Diet.csv
# Title: ?
# Units: ?
# Source: ?
FAO2050_reg,FAO2050_item,1970,1980,1990,2000,2030,2050
World,"Cereals, food",148.7,160.1,171,165.4,165,162
World,"Cereals, all uses",302.8,325,329.3,308.7,331,339
World,Roots and tubers,83.7,73.4,64.5,69.4,75,75
World,Sugar (raw sugar equiv.),22.4,23.4,23.3,23.6,26,27
World,"Pulses, dry",7.6,6.5,6.2,5.9,6,6
World,"Vegetable oils, oilseeds and products (oil eq.)",6.8,8.3,10.3,12,16,17
World,Meat (carcass weight),26.1,29.5,33,37.4,47,52
World,"Milk and dairy, excl. butter (fresh milk eq.)",75.3,76.5,76.9,78.3,92,100
World,Other food (kcal/person/day),216,224,241,289,325,340
World,Total food (kcal/person/day),2411,2549,2704,2789,3040,3130
Developing countries,"Cereals, food",146.3,161.7,173.7,165.7,166,163
Developing countries,"Cereals, all uses",191.8,219.1,238.6,238,268,279
Developing countries,Roots and tubers,78.8,69.6,60.1,67,75,77
Developing countries,(Developing minus China),61.8,59,58.4,62.8,76,80
Developing countries,Sugar (raw sugar eq.),14.7,17.5,19.2,20.7,25,26
Developing countries,"Pulses, dry",9.2,7.8,7.3,6.7,7,7
Developing countries,"Vegetable oils, oilseeds and products (oil eq.)",4.9,6.5,8.6,10.4,14,16
Developing countries,Meat (carcass weight),10.7,13.7,18.2,26.7,38,44
Developing countries,(Developing minus China & Brazil),10.7,12.5,13.6,15.9,26,32
Developing countries,"Milk and dairy, excl. butter (fresh milk eq.)",28.6,34,38.1,45.2,67,78
Developing countries,Other food (kcal/person/day),123,140,171,242,285,300
Developing countries,Total food (kcal/person/day),2111,2308,2520,2654,2960,3070
Industrial countries,"Cereals, food",132.3,139.4,154.4,162.4,159,156
Industrial countries,"Cereals, all uses",531.1,542,543.7,591.8,641,665
Industrial countries,Roots and tubers,74.2,67.1,69.4,66.7,61,57
Industrial countries,Sugar (raw sugar eq.),40.5,36.7,32.6,33.1,32,32
Industrial countries,"Pulses, dry",3.4,2.8,3.2,3.6,4,4
