This input file creates carbon storage resources for each region,,,,,,,,,,,,,
,,,,,,,,,,,,,
Delete global carbon storage resource and carbon-storage regional technology in each region,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
1,,,,,,,,,,,,,
,,,delete,delete,,,,,,,,,
region,supplysector,subsector,technology,unlimited-resource,,,,,,,,,
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,global carbon-storage,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2,,,,,,,,,,,,,
,,,,share-weight,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,1,1,1,1,1,1,1,1,1,
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
3,,,,,,,,,,,,,
,,,,,efficiency,,,,,,,,
region,supplysector,subsector,technology,minicam energy input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,carbon-storage resource,1,1,1,1,1,1,1,1,1
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,offshore carbon-storage resource,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
4,,,,,,,,,,,,,
,,,,,1975,,,,,,,,
region,depresource,output-unit,price-unit,market,price,,,,,,,,
Africa,carbon-storage resource,EJ,1975$/GJ,Africa_MidEast_Europe,1,,,,,,,,
Australia_NZ,carbon-storage resource,EJ,1975$/GJ,Australia_NZ,1,,,,,,,,
Canada,carbon-storage resource,EJ,1975$/GJ,North_America,1,,,,,,,,
China,carbon-storage resource,EJ,1975$/GJ,Asia,1,,,,,,,,
Eastern Europe,carbon-storage resource,EJ,1975$/GJ,Africa_MidEast_Europe,1,,,,,,,,
Former Soviet Union,carbon-storage resource,EJ,1975$/GJ,Former Soviet Union,1,,,,,,,,
India,carbon-storage resource,EJ,1975$/GJ,Asia,1,,,,,,,,
Japan,carbon-storage resource,EJ,1975$/GJ,Japan,1,,,,,,,,
Korea,carbon-storage resource,EJ,1975$/GJ,Asia,1,,,,,,,,
Latin America,carbon-storage resource,EJ,1975$/GJ,Latin America,1,,,,,,,,
Middle East,carbon-storage resource,EJ,1975$/GJ,Africa_MidEast_Europe,1,,,,,,,,
Southeast Asia,carbon-storage resource,EJ,1975$/GJ,Asia,1,,,,,,,,
USA,carbon-storage resource,EJ,1975$/GJ,North_America,1,,,,,,,,
Western Europe,carbon-storage resource,EJ,1975$/GJ,Africa_MidEast_Europe,1,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
5,,,,,,,,,,,,,
,,,grade1,,grade2,,grade3,,grade4,,grade5,,grade7
Region,depresource,subresource,available,extractioncost,available,extractioncost,available,extractioncost,available,extractioncost,available,extractioncost,extractioncost
Africa,carbon-storage resource,carbon-storage resource,0,0,123,0.08,2455,11.0,14727,22.0,7241,164.7,10000
Australia_NZ,carbon-storage resource,carbon-storage resource,0,0,378,0.08,7555,11.0,45327,22.0,22286,164.7,10000
Canada,carbon-storage resource,carbon-storage resource,0,0,72,0.08,1445,11.0,8673,22.0,4264,164.7,10000
China,carbon-storage resource,carbon-storage resource,0,0,2363,0.08,47264,11.0,283582,22.0,139428,164.7,10000
Eastern Europe,carbon-storage resource,carbon-storage resource,0,0,22,0.08,436,11.0,2618,22.0,1287,164.7,10000
Former Soviet Union,carbon-storage resource,carbon-storage resource,0,0,371,0.08,7418,11.0,44509,22.0,21884,164.7,10000
India,carbon-storage resource,carbon-storage resource,0,0,79,0.08,1582,11.0,9491,22.0,4666,164.7,10000
Japan,carbon-storage resource,carbon-storage resource,0,0,60,0.08,1200,11.0,7200,22.0,3540,164.7,10000
Korea,carbon-storage resource,carbon-storage resource,0,0,0,0.08,0,11.0,0,22.0,0,164.7,10000
Latin America,carbon-storage resource,carbon-storage resource,0,0,2202,0.08,44034,11.0,264203,22.0,129900,164.7,10000
Middle East,carbon-storage resource,carbon-storage resource,0,0,303,0.08,6055,11.0,36327,22.0,17861,164.7,10000
Southeast Asia,carbon-storage resource,carbon-storage resource,0,0,50,0.08,1002,11.0,6014,22.0,2957,164.7,10000
USA,carbon-storage resource,carbon-storage resource,0,0,1810,0.08,36191,11.0,217145,22.0,106763,164.7,10000
Western Europe,carbon-storage resource,carbon-storage resource,0,0,79,0.08,1582,11.0,9491,22.0,4666,164.7,10000
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
9,,,,,,,,,,,,,
,,,,,1975,,,,,,,,
region,unlimited-resource,output-unit,price-unit,market,price,,,,,,,,
Africa,offshore carbon-storage resource,EJ,1975$/GJ,global,1,,,,,,,,
