"This input file creates carbon storage resources for each region (50% of grade 3 at 3x cost, 0.1% of grade 4 at 10x cost, 0.1% of grade 5 at 10x cost)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Delete global carbon storage resource and carbon-storage regional technology in each region,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
1,,,,,,,,,,,,,
,,,delete,delete,,,,,,,,,
region,supplysector,subsector,technology,unlimited-resource,,,,,,,,,
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,global carbon-storage,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2,,,,,,,,,,,,,
,,,,share-weight,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,1,1,1,1,1,1,1,1,1,
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
3,,,,,,,,,,,,,
,,,,,efficiency,,,,,,,,
region,supplysector,subsector,technology,minicam energy input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,carbon-storage resource,1,1,1,1,1,1,1,1,1
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,offshore carbon-storage resource,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
4,,,,,,,,,,,,,
,,,,,1975,,,,,,,,
region,depresource,output-unit,price-unit,market,price,,,,,,,,
Africa,carbon-storage resource,EJ,1975$/GJ,Africa,1,,,,,,,,
Australia_NZ,carbon-storage resource,EJ,1975$/GJ,Australia_NZ,1,,,,,,,,
Canada,carbon-storage resource,EJ,1975$/GJ,Canada,1,,,,,,,,
China,carbon-storage resource,EJ,1975$/GJ,China,1,,,,,,,,
Eastern Europe,carbon-storage resource,EJ,1975$/GJ,Eastern Europe,1,,,,,,,,
Former Soviet Union,carbon-storage resource,EJ,1975$/GJ,Former Soviet Union,1,,,,,,,,
India,carbon-storage resource,EJ,1975$/GJ,India,1,,,,,,,,
Japan,carbon-storage resource,EJ,1975$/GJ,Japan,1,,,,,,,,
Korea,carbon-storage resource,EJ,1975$/GJ,Korea,1,,,,,,,,
Latin America,carbon-storage resource,EJ,1975$/GJ,Latin America,1,,,,,,,,
Middle East,carbon-storage resource,EJ,1975$/GJ,Middle East,1,,,,,,,,
Southeast Asia,carbon-storage resource,EJ,1975$/GJ,Southeast Asia,1,,,,,,,,
USA,carbon-storage resource,EJ,1975$/GJ,USA,1,,,,,,,,
Western Europe,carbon-storage resource,EJ,1975$/GJ,Western Europe,1,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
5,,,,,,,,,,,,,
,,,grade1,,grade2,,grade3,,grade4,,grade5,,grade7
Region,depresource,subresource,available,extractioncost,available,extractioncost,available,extractioncost,available,extractioncost,available,extractioncost,extractioncost
Africa,carbon-storage resource,carbon-storage resource,0,0,123,0.1,1227,41.2,15,274.5,7,2058.4,10000
Australia_NZ,carbon-storage resource,carbon-storage resource,0,0,378,0.1,3777,41.2,45,274.5,22,2058.4,10000
Canada,carbon-storage resource,carbon-storage resource,0,0,72,0.1,723,41.2,9,274.5,4,2058.4,10000
China,carbon-storage resource,carbon-storage resource,0,0,2363,0.1,23632,41.2,284,274.5,139,2058.4,10000
Eastern Europe,carbon-storage resource,carbon-storage resource,0,0,22,0.1,218,41.2,3,274.5,1,2058.4,10000
Former Soviet Union,carbon-storage resource,carbon-storage resource,0,0,371,0.1,3709,41.2,45,274.5,22,2058.4,10000
India,carbon-storage resource,carbon-storage resource,0,0,79,0.1,791,41.2,9,274.5,5,2058.4,10000
Japan,carbon-storage resource,carbon-storage resource,0,0,60,0.1,600,41.2,7,274.5,4,2058.4,10000
Korea,carbon-storage resource,carbon-storage resource,0,0,0,0.1,0,41.2,0,274.5,0,2058.4,10000
Latin America,carbon-storage resource,carbon-storage resource,0,0,2202,0.1,22017,41.2,264,274.5,130,2058.4,10000
Middle East,carbon-storage resource,carbon-storage resource,0,0,303,0.1,3027,41.2,36,274.5,18,2058.4,10000
Southeast Asia,carbon-storage resource,carbon-storage resource,0,0,50,0.1,501,41.2,6,274.5,3,2058.4,10000
USA,carbon-storage resource,carbon-storage resource,0,0,1810,0.1,18095,41.2,217,274.5,107,2058.4,10000
Western Europe,carbon-storage resource,carbon-storage resource,0,0,79,0.1,791,41.2,9,274.5,5,2058.4,10000
,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
9,,,,,,,,,,,,,
,,,,,1975,,,,,,,,
region,unlimited-resource,output-unit,price-unit,market,price,,,,,,,,
Africa,offshore carbon-storage resource,EJ,1975$/GJ,global,1,,,,,,,,
