INPUT_TABLE,,,,,
Variable ID,,,,,
3001,,,,,
,,,,,minicam-non-energy-input
region,supplysector,subsector,technology,period,input-cost
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,1975,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,1990,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,2005,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,2020,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,2035,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,2050,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,2065,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,2080,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,2095,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,1975,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,1990,10000
ALL,carbon-storage,carbon-storage regional,carbon-storage regional,2005,10000
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,2020,10000
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,2035,10000
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,2050,10000
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,2065,10000
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,2080,10000
ALL,carbon-storage,offshore carbon-storage,offshore carbon-storage,2095,10000
