INPUT_TABLE
Variable ID
CalInput

region,supplysector,subsector,technology,year,minicam.energy.input,calibrated.value
USA,industrial energy use,biomass,biomass,1990,delivered biomass,0.4050908
USA,industrial energy use,coal,coal,1990,delivered coal,1.9471319
USA,industrial energy use,electricity,electricity,1990,elect_td_ind,3.2408526
USA,industrial energy use,gas,gas,1990,wholesale gas,5.2252739
USA,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,2.5727355
Canada,industrial energy use,biomass,biomass,1990,delivered biomass,0.2254025
Canada,industrial energy use,coal,coal,1990,delivered coal,0.1060567
Canada,industrial energy use,electricity,electricity,1990,elect_td_ind,0.6724252
Canada,industrial energy use,gas,gas,1990,wholesale gas,1.0302151
Canada,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,0.3878622
Western Europe,industrial energy use,biomass,biomass,1990,delivered biomass,0.3162729
Western Europe,industrial energy use,coal,coal,1990,delivered coal,2.9990793
Western Europe,industrial energy use,electricity,electricity,1990,elect_td_ind,3.4853783
Western Europe,industrial energy use,gas,gas,1990,wholesale gas,3.1665252
Western Europe,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,2.6556279
Japan,industrial energy use,biomass,biomass,1990,delivered biomass,0.0575819
Japan,industrial energy use,coal,coal,1990,delivered coal,1.5930469
Japan,industrial energy use,electricity,electricity,1990,elect_td_ind,1.1973298
Japan,industrial energy use,gas,gas,1990,wholesale gas,0.3405059
Japan,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,2.0126842
Australia_NZ,industrial energy use,biomass,biomass,1990,delivered biomass,0.0931198
Australia_NZ,industrial energy use,coal,coal,1990,delivered coal,0.2325051
Australia_NZ,industrial energy use,electricity,electricity,1990,elect_td_ind,0.2746323
Australia_NZ,industrial energy use,gas,gas,1990,wholesale gas,0.4206212
Australia_NZ,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,0.1926012
Former Soviet Union,industrial energy use,biomass,biomass,1990,delivered biomass,0.034106
Former Soviet Union,industrial energy use,coal,coal,1990,delivered coal,3.8936196
Former Soviet Union,industrial energy use,electricity,electricity,1990,elect_td_ind,3.9191332
Former Soviet Union,industrial energy use,gas,gas,1990,wholesale gas,2.9661891
Former Soviet Union,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,3.3337861
China,industrial energy use,biomass,biomass,1990,delivered biomass,0.0001842
China,industrial energy use,coal,coal,1990,delivered coal,8.7843908
China,industrial energy use,electricity,electricity,1990,elect_td_ind,1.4901032
