INPUT_TABLE
Variable ID
CalInput

region,supplysector,subsector,technology,year,minicam.energy.input,calibrated.value
China,industrial energy use,gas,gas,1990,wholesale gas,0.3831772
China,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,1.4037751
Middle East,industrial energy use,biomass,biomass,1990,delivered biomass,1e-04
Middle East,industrial energy use,coal,coal,1990,delivered coal,0.027792
Middle East,industrial energy use,electricity,electricity,1990,elect_td_ind,0.1294608
Middle East,industrial energy use,gas,gas,1990,wholesale gas,0.8459449
Middle East,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,0.9645903
Africa,industrial energy use,biomass,biomass,1990,delivered biomass,0.2468505
Africa,industrial energy use,coal,coal,1990,delivered coal,0.7227218
Africa,industrial energy use,electricity,electricity,1990,elect_td_ind,0.5479246
Africa,industrial energy use,gas,gas,1990,wholesale gas,0.529135
Africa,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,0.6041627
Latin America,industrial energy use,biomass,biomass,1990,delivered biomass,1.6853698
Latin America,industrial energy use,coal,coal,1990,delivered coal,0.4707626
Latin America,industrial energy use,electricity,electricity,1990,elect_td_ind,0.9419185
Latin America,industrial energy use,gas,gas,1990,wholesale gas,1.6717003
Latin America,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,1.5274785
Southeast Asia,industrial energy use,biomass,biomass,1990,delivered biomass,0.9862895
Southeast Asia,industrial energy use,coal,coal,1990,delivered coal,0.1618615
Southeast Asia,industrial energy use,electricity,electricity,1990,elect_td_ind,0.4493486
Southeast Asia,industrial energy use,gas,gas,1990,wholesale gas,0.6325013
Southeast Asia,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,1.1537309
Eastern Europe,industrial energy use,biomass,biomass,1990,delivered biomass,0.0488782
Eastern Europe,industrial energy use,coal,coal,1990,delivered coal,1.6210052
Eastern Europe,industrial energy use,electricity,electricity,1990,elect_td_ind,0.7578822
Eastern Europe,industrial energy use,gas,gas,1990,wholesale gas,1.171951
Eastern Europe,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,0.7778002
Korea,industrial energy use,biomass,biomass,1990,delivered biomass,1e-04
Korea,industrial energy use,coal,coal,1990,delivered coal,0.3660396
Korea,industrial energy use,electricity,electricity,1990,elect_td_ind,0.1993566
Korea,industrial energy use,gas,gas,1990,wholesale gas,0.0041617
Korea,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,0.4790643
India,industrial energy use,biomass,biomass,1990,delivered biomass,0
India,industrial energy use,coal,coal,1990,delivered coal,1.3010832
India,industrial energy use,electricity,electricity,1990,elect_td_ind,0.5339359
India,industrial energy use,gas,gas,1990,wholesale gas,0.0055929
India,industrial energy use,refined liquids,refined liquids,1990,refined liquids industrial,0.3398614
Former Soviet Union,industrial energy use,district heat,district heat,1990,district heat,5.5135595
China,industrial energy use,district heat,district heat,1990,district heat,0.5329645
Eastern Europe,industrial energy use,district heat,district heat,1990,district heat,0.6107561
USA,industrial energy use,biomass,biomass,2005,delivered biomass,0.8535892
USA,industrial energy use,coal,coal,2005,delivered coal,1.077391
USA,industrial energy use,electricity,electricity,2005,elect_td_ind,3.4044375
USA,industrial energy use,gas,gas,2005,wholesale gas,5.1126314
USA,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,2.154178
Canada,industrial energy use,biomass,biomass,2005,delivered biomass,0.336188
Canada,industrial energy use,coal,coal,2005,delivered coal,0.1248781
Canada,industrial energy use,electricity,electricity,2005,elect_td_ind,0.9178326
Canada,industrial energy use,gas,gas,2005,wholesale gas,1.0471298
Canada,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,0.3917004
Western Europe,industrial energy use,biomass,biomass,2005,delivered biomass,0.2636782
Western Europe,industrial energy use,coal,coal,2005,delivered coal,1.8748346
Western Europe,industrial energy use,electricity,electricity,2005,elect_td_ind,4.2856929
Western Europe,industrial energy use,gas,gas,2005,wholesale gas,4.027406
Western Europe,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,2.5400337
Japan,industrial energy use,biomass,biomass,2005,delivered biomass,0.0630812
Japan,industrial energy use,coal,coal,2005,delivered coal,1.5519893
Japan,industrial energy use,electricity,electricity,2005,elect_td_ind,1.234075
Japan,industrial energy use,gas,gas,2005,wholesale gas,0.4578419
Japan,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,1.7391863
Australia_NZ,industrial energy use,biomass,biomass,2005,delivered biomass,0.140353
Australia_NZ,industrial energy use,coal,coal,2005,delivered coal,0.1866416
Australia_NZ,industrial energy use,electricity,electricity,2005,elect_td_ind,0.4218889
Australia_NZ,industrial energy use,gas,gas,2005,wholesale gas,0.4013631
Australia_NZ,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,0.3121092
Former Soviet Union,industrial energy use,biomass,biomass,2005,delivered biomass,0.0985619
Former Soviet Union,industrial energy use,coal,coal,2005,delivered coal,2.23339
Former Soviet Union,industrial energy use,electricity,electricity,2005,elect_td_ind,2.4291903
Former Soviet Union,industrial energy use,gas,gas,2005,wholesale gas,3.0585272
Former Soviet Union,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,1.3506352
China,industrial energy use,biomass,biomass,2005,delivered biomass,0.0321588
China,industrial energy use,coal,coal,2005,delivered coal,12.9245645
China,industrial energy use,electricity,electricity,2005,elect_td_ind,5.1654283
China,industrial energy use,gas,gas,2005,wholesale gas,1.0683963
China,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,3.0063524
Middle East,industrial energy use,biomass,biomass,2005,delivered biomass,1e-04
Middle East,industrial energy use,coal,coal,2005,delivered coal,0.0514767
Middle East,industrial energy use,electricity,electricity,2005,elect_td_ind,0.4034675
Middle East,industrial energy use,gas,gas,2005,wholesale gas,1.813868
Middle East,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,1.3933482
Africa,industrial energy use,biomass,biomass,2005,delivered biomass,2.5054219
Africa,industrial energy use,coal,coal,2005,delivered coal,0.6074827
Africa,industrial energy use,electricity,electricity,2005,elect_td_ind,0.7905776
Africa,industrial energy use,gas,gas,2005,wholesale gas,0.9121171
Africa,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,0.6380403
Latin America,industrial energy use,biomass,biomass,2005,delivered biomass,2.0402871
Latin America,industrial energy use,coal,coal,2005,delivered coal,0.5463465
Latin America,industrial energy use,electricity,electricity,2005,elect_td_ind,1.6831458
Latin America,industrial energy use,gas,gas,2005,wholesale gas,2.3243282
Latin America,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,1.8300527
Southeast Asia,industrial energy use,biomass,biomass,2005,delivered biomass,1.2974455
Southeast Asia,industrial energy use,coal,coal,2005,delivered coal,0.7878722
Southeast Asia,industrial energy use,electricity,electricity,2005,elect_td_ind,1.0727907
Southeast Asia,industrial energy use,gas,gas,2005,wholesale gas,1.6350441
Southeast Asia,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,1.5588077
Eastern Europe,industrial energy use,biomass,biomass,2005,delivered biomass,0.1183794
Eastern Europe,industrial energy use,coal,coal,2005,delivered coal,0.7362651
Eastern Europe,industrial energy use,electricity,electricity,2005,elect_td_ind,0.6577444
Eastern Europe,industrial energy use,gas,gas,2005,wholesale gas,0.4392161
Eastern Europe,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,0.4180375
Korea,industrial energy use,biomass,biomass,2005,delivered biomass,0.0509964
Korea,industrial energy use,coal,coal,2005,delivered coal,0.3389283
Korea,industrial energy use,electricity,electricity,2005,elect_td_ind,0.6660542
Korea,industrial energy use,gas,gas,2005,wholesale gas,0.207782
Korea,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,0.3681971
India,industrial energy use,biomass,biomass,2005,delivered biomass,1.1347487
India,industrial energy use,coal,coal,2005,delivered coal,1.4393795
India,industrial energy use,electricity,electricity,2005,elect_td_ind,1.0495769
India,industrial energy use,gas,gas,2005,wholesale gas,0.2042127
India,industrial energy use,refined liquids,refined liquids,2005,refined liquids industrial,0.8592653
Former Soviet Union,industrial energy use,district heat,district heat,2005,district heat,3.0727235
China,industrial energy use,district heat,district heat,2005,district heat,1.8546608
Eastern Europe,industrial energy use,district heat,district heat,2005,district heat,0.2500247
