INPUT_TABLE
Variable ID
LN3_NodeCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,node.carbon.calc,extra
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01, ,junk
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,AllForestLandAEZ02, ,junk
