INPUT_TABLE
Variable ID
InputDriver_Unmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,generic.ghg
Africa,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1975,BC
Africa,UnmanagedLand,Forest FiresAEZ01,Forest FiresAEZ01,1975,BC
Australia_NZ,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1975,BC
Australia_NZ,UnmanagedLand,Forest FiresAEZ01,Forest FiresAEZ01,1975,BC
Latin America,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1975,BC
Latin America,UnmanagedLand,Forest FiresAEZ01,Forest FiresAEZ01,1975,BC
Middle East,UnmanagedLand,Savannah BurningAEZ01,Savannah BurningAEZ01,1975,BC
Africa,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,BC
Africa,UnmanagedLand,Forest FiresAEZ02,Forest FiresAEZ02,1975,BC
Australia_NZ,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,BC
India,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,BC
India,UnmanagedLand,Forest FiresAEZ02,Forest FiresAEZ02,1975,BC
Latin America,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,BC
Latin America,UnmanagedLand,Forest FiresAEZ02,Forest FiresAEZ02,1975,BC
Middle East,UnmanagedLand,Savannah BurningAEZ02,Savannah BurningAEZ02,1975,BC
Africa,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,BC
Africa,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,BC
Australia_NZ,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,BC
Australia_NZ,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,BC
India,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,BC
India,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,BC
Latin America,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,BC
Latin America,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,BC
Middle East,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,BC
Southeast Asia,UnmanagedLand,Savannah BurningAEZ03,Savannah BurningAEZ03,1975,BC
Southeast Asia,UnmanagedLand,Forest FiresAEZ03,Forest FiresAEZ03,1975,BC
Africa,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,1975,BC
Africa,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,1975,BC
Australia_NZ,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,1975,BC
Australia_NZ,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,1975,BC
China,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,1975,BC
China,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,1975,BC
India,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,1975,BC
India,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,1975,BC
Latin America,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,1975,BC
Latin America,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,1975,BC
Southeast Asia,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,1975,BC
Southeast Asia,UnmanagedLand,Forest FiresAEZ04,Forest FiresAEZ04,1975,BC
Western Europe,UnmanagedLand,Savannah BurningAEZ04,Savannah BurningAEZ04,1975,BC
Africa,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,1975,BC
Africa,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,1975,BC
Australia_NZ,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,1975,BC
Australia_NZ,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,1975,BC
China,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,1975,BC
China,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,1975,BC
India,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,1975,BC
India,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,1975,BC
Latin America,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,1975,BC
Latin America,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,1975,BC
Southeast Asia,UnmanagedLand,Savannah BurningAEZ05,Savannah BurningAEZ05,1975,BC
Southeast Asia,UnmanagedLand,Forest FiresAEZ05,Forest FiresAEZ05,1975,BC
Africa,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,1975,BC
Africa,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,1975,BC
Australia_NZ,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,1975,BC
Australia_NZ,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,1975,BC
China,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,1975,BC
China,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,1975,BC
India,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,1975,BC
Latin America,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,1975,BC
Latin America,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,1975,BC
Southeast Asia,UnmanagedLand,Savannah BurningAEZ06,Savannah BurningAEZ06,1975,BC
Southeast Asia,UnmanagedLand,Forest FiresAEZ06,Forest FiresAEZ06,1975,BC
Africa,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
Africa,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,1975,BC
Australia_NZ,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
Australia_NZ,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,1975,BC
Canada,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
Canada,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,1975,BC
China,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
China,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,1975,BC
Former Soviet Union,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
Former Soviet Union,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,1975,BC
Latin America,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
Latin America,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,1975,BC
Middle East,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
Middle East,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,1975,BC
Southeast Asia,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
USA,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
USA,UnmanagedLand,Forest FiresAEZ07,Forest FiresAEZ07,1975,BC
Western Europe,UnmanagedLand,Savannah BurningAEZ07,Savannah BurningAEZ07,1975,BC
Africa,UnmanagedLand,Savannah BurningAEZ08,Savannah BurningAEZ08,1975,BC
