Pasture supply,,,,,,
"unit tags, sector type, and market",,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
20,,,,,,

region,FoodSupplySector,output-unit,input-unit,price-unit,sectorType,
ALL,Pasture,Gcal,Gcal,$/Gcal,pastureSupply,
,,,,,,
,,,,,,
Market,,,,,,
INPUT_TABLE,,,,,,
Variable ID,,,,,,
21,,,,,,
,,,1975,from model output,,
region,FoodSupplySector,market,price,,,
USA,Pasture,USA,2.057,,,
Canada,Pasture,Canada,0.36,,,
Western Europe,Pasture,Western Europe,3.96,,,
Japan,Pasture,Japan,3.61,,,
Australia_NZ,Pasture,Australia_NZ,0.745,,,
Former Soviet Union,Pasture,Former Soviet Union,0.542,,,
China,Pasture,China,2.17,,,
Middle East,Pasture,Middle East,1.627,,,
Africa,Pasture,Africa,0.339,,,
Latin America,Pasture,Latin America,0.859,,,
Southeast Asia,Pasture,Southeast Asia,2.51,,,
Eastern Europe,Pasture,Eastern Europe,4.52,,,
Korea,Pasture,Korea,0.452,,,
India,Pasture,India,0.74,,,
,,,,,,
,,,,,,
calPrice,,,
INPUT_TABLE,,,
Variable ID,,,
22,,,
,,,from model output
region,FoodSupplySector,calPrice,
USA,Pasture,4.55,
Canada,Pasture,0.80,
Western Europe,Pasture,8.76,
Japan,Pasture,8.00,
Australia_NZ,Pasture,1.65,
Former Soviet Union,Pasture,1.20,
China,Pasture,4.80,
Middle East,Pasture,3.60,
Africa,Pasture,0.75,
Latin America,Pasture,1.90,
Southeast Asia,Pasture,5.54,,,,,,,,,,
Eastern Europe,Pasture,10.00,,,,,,,,,,
Korea,Pasture,1.00,,,,,,,,,,
India,Pasture,1.63,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
landType,,,,,,,,,,,,
INPUT_TABLE,,All regions equal,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2003,,,,,,,,,,,,
,,,,landType,landType,landType,landType,landType,landType,landType,landType,landType
USA,460092231,446874347,,1,1,,1.000,1.000,,,,,,,,,,,,,,,,,,,,,
Canada,64687716,80031076,,1,1,,1.000,1.000,,,,,,,,,,,,,,,,,,,,,
Western Europe,496289139,445816057,,1,1,,1.000,1.000,,,,,,,,,,,,,,,,,,,,,
Japan,11703656,8066039,,1,1,,1.000,1.000,,,,,,,,,,,,,,,,,,,,,
Australia_NZ,268692147,364380871,,1,1,,1.000,1.000
Former Soviet Union,519789589,220087244,,1,1,,1.001,1.000
China,362985776,770477017,,1,1,,1.000,1.000
Middle East,51940283,45201785,,1,1,,1.004,1.005
Africa,729463683,858620922,,1,1,,1.028,1.021
Latin America,1463780522,1774957742,,1,1,,1.000,1.000
Southeast Asia,279026139,309044592,,1,1,,1.001,1.000
Eastern Europe,127420375,78957887,,1,1,,1.001,7.283
Korea,15472025,12377157,,1,1,,1.000,1.000
India,301118017,317338716,,1,1,,1.000,1.000



agProdChange,,,,,,,,
INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
2002,,,,,,,,,,,,
,,,,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange
region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Canada,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Western Europe,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Japan,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Australia_NZ,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Former Soviet Union,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
China,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Middle East,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Africa,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Latin America,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Southeast Asia,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Eastern Europe,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Korea,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
India,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Non-energy input cost,,,,,,,,,,,,
table not necessary,,,,,,,,,,,,
,,,,,,,,,,,,
2010,,,,,,,,,,,,
,,,,,,,,,,,,
region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Canada,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Western Europe,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Japan,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Australia_NZ,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Former Soviet Union,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
China,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Middle East,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Africa,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Latin America,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Southeast Asia,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Eastern Europe,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
Korea,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
India,Pasture,Pasture,Pasture,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CO2 tag,,,,,,,,,,,,
INPUT_TABLE,,All regions equal,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2011,,,,,,,,,,,,
,,,,,,,,,,,,,
region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,Pasture,Pasture,Pasture,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,


,,,,,,,,,,,,,
