INPUT_TABLE
Variable ID
AgTech

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight
USA,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
China,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,biomassOil,JatrophaAEZ01,JatrophaAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,biomass,eucalyptusAEZ01,eucalyptusAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,biomass,biomassAEZ01,biomassAEZ01,share-weight,2005,9999,fixed,CO2,1
India,biomassOil,JatrophaAEZ01,JatrophaAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
China,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
India,Corn,CornAEZ01,CornAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
China,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
Korea,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
India,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,share-weight,2005,9999,fixed,CO2,1
USA,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Canada,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Western Europe,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Japan,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Former Soviet Union,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
China,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Middle East,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Latin America,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Southeast Asia,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
Eastern Europe,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,share-weight,2005,9999,fixed,CO2,1
