From Allison,,,,,,,,,,,,
http://www.fao.org/docrep/004/y3557e/y3557e20.htm#TopOfPage,,,,,,,,,,,,
"Use Allison's data through 2035, choose 2065 onward, 2050 is average of 2035 & 2065",,,,,,,,,,,,
final,0.25,,,,,,,,,,,

agProdChange,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2002,,,,,,,,,,,,
,,,,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange
region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,Corn,Corn,Corn,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Canada,Corn,Corn,Corn,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Western Europe,Corn,Corn,Corn,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Japan,Corn,Corn,Corn,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Australia_NZ,Corn,Corn,Corn,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Former Soviet Union,Corn,Corn,Corn,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
China,Corn,Corn,Corn,0,0,0,0.0144,0.0085,0.0025,0.0025,0.0025,0.0025
Middle East,Corn,Corn,Corn,0,0,0,0.0090,0.0058,0.0025,0.0025,0.0025,0.0025
Africa,Corn,Corn,Corn,0,0,0,0.0192,0.0109,0.0025,0.0025,0.0025,0.0025
Latin America,Corn,Corn,Corn,0,0,0,0.0191,0.0108,0.0025,0.0025,0.0025,0.0025
Southeast Asia,Corn,Corn,Corn,0,0,0,0.0226,0.0126,0.0025,0.0025,0.0025,0.0025
Eastern Europe,Corn,Corn,Corn,0,0,0,0.0080,0.0053,0.0025,0.0025,0.0025,0.0025
Korea,Corn,Corn,Corn,0,0,0,0.0144,0.0085,0.0025,0.0025,0.0025,0.0025
India,Corn,Corn,Corn,0,0,0,0.0226,0.0126,0.0025,0.0025,0.0025,0.0025
