INPUT_TABLE
Variable ID
OutputDriver_Unmgd

region,AgSupplySector,AgSupplySubsector,UnmanagedLandTechnology,year,generic.ghg
Africa,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ01,DeforestationAEZ01,1975,BC
Africa,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1975,BC
India,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ02,DeforestationAEZ02,1975,BC
Africa,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,BC
India,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ03,DeforestationAEZ03,1975,BC
Africa,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1975,BC
China,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1975,BC
India,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ04,DeforestationAEZ04,1975,BC
Africa,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1975,BC
China,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1975,BC
India,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ05,DeforestationAEZ05,1975,BC
Africa,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1975,BC
Australia_NZ,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1975,BC
China,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1975,BC
India,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1975,BC
Latin America,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1975,BC
Southeast Asia,UnmanagedLand,DeforestationAEZ06,DeforestationAEZ06,1975,BC
