INPUT_TABLE
Variable ID
LN3_UnmgdCarbon

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,UnmanagedLandLeaf3,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age,min.veg.carbon.density,min.soil.carbon.density,Land_Type,AEZ,Cdensity_LT
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,1.1,7.2,1.1,7.2,17,0,0,Grassland,AEZ01,Grassland
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0.5,6.2,0.5,6.2,11,0,0,Grassland,AEZ01,Grassland
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,1.1,7.1,1.1,7.1,16,0,0,Grassland,AEZ01,Grassland
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0.5,6.2,0.5,6.2,11,0,0,Grassland,AEZ01,Grassland
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,GrasslandAEZ01,0,0,0,0,0,0,0,Grassland,AEZ01,Grassland
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,OtherArableLandAEZ01,0.3,3,0.3,3,1,0,0,OtherArableLand,AEZ01,Cropland
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,ShrublandAEZ01,0,0,0,0,0,0,0,Shrubland,AEZ01,Shrubland
