From Allison,,,,,,,,,,,,
http://www.fao.org/docrep/004/y3557e/y3557e20.htm#TopOfPage,,,,,,,,,,,,
"Use Allison's data through 2035, choose 2065 onward, 2050 is average of 2035 & 2065",,,,,,,,,,,,
final,0.5,,,,,,,,,,,

agProdChange,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
2002,,,,,,,,,,,,
,,,,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange,agProdChange
region,FoodSupplySector,FoodSupplySubsector,FoodProductionTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,Corn,Corn,Corn,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Canada,Corn,Corn,Corn,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Western Europe,Corn,Corn,Corn,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Japan,Corn,Corn,Corn,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Australia_NZ,Corn,Corn,Corn,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Former Soviet Union,Corn,Corn,Corn,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
China,Corn,Corn,Corn,0,0,0,0.0144,0.0113,0.0081,0.0050,0.0050,0.0050
Middle East,Corn,Corn,Corn,0,0,0,0.0090,0.0080,0.0065,0.0050,0.0050,0.0050
Africa,Corn,Corn,Corn,0,0,0,0.0192,0.0180,0.0115,0.0050,0.0050,0.0050
Latin America,Corn,Corn,Corn,0,0,0,0.0191,0.0159,0.0105,0.0050,0.0050,0.0050
Southeast Asia,Corn,Corn,Corn,0,0,0,0.0226,0.0214,0.0132,0.0050,0.0050,0.0050
Eastern Europe,Corn,Corn,Corn,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Korea,Corn,Corn,Corn,0,0,0,0.0144,0.0113,0.0081,0.0050,0.0050,0.0050
India,Corn,Corn,Corn,0,0,0,0.0226,0.0214,0.0132,0.0050,0.0050,0.0050
USA,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Canada,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Western Europe,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
Japan,MiscCrop,MiscCrop,MiscCrop,0,0,0,0.0080,0.0050,0.0050,0.0050,0.0050,0.0050
