INPUT_TABLE
Variable ID
BaseService

region,energy.final.demand,year,base.service
Africa,FoodDemand_Crops,1975,1
Africa,FoodDemand_Meat,1975,1
Africa,NonFoodDemand_Crops,1975,1
Africa,NonFoodDemand_Meat,1975,1
Africa,NonFoodDemand_Forest,1975,1
Africa,Exports_Meat,1975,1
Australia_NZ,FoodDemand_Crops,1975,1
Australia_NZ,FoodDemand_Meat,1975,1
Australia_NZ,NonFoodDemand_Crops,1975,1
Australia_NZ,NonFoodDemand_Meat,1975,1
Australia_NZ,NonFoodDemand_Forest,1975,1
Australia_NZ,Exports_Meat,1975,1
Canada,FoodDemand_Crops,1975,1
Canada,FoodDemand_Meat,1975,1
Canada,NonFoodDemand_Crops,1975,1
Canada,NonFoodDemand_Meat,1975,1
Canada,NonFoodDemand_Forest,1975,1
Canada,Exports_Meat,1975,1
China,FoodDemand_Crops,1975,1
China,FoodDemand_Meat,1975,1
China,NonFoodDemand_Crops,1975,1
China,NonFoodDemand_Meat,1975,1
China,NonFoodDemand_Forest,1975,1
China,Exports_Meat,1975,1
Eastern Europe,FoodDemand_Crops,1975,1
Eastern Europe,FoodDemand_Meat,1975,1
Eastern Europe,NonFoodDemand_Crops,1975,1
Eastern Europe,NonFoodDemand_Meat,1975,1
Eastern Europe,NonFoodDemand_Forest,1975,1
Eastern Europe,Exports_Meat,1975,1
Former Soviet Union,FoodDemand_Crops,1975,1
Former Soviet Union,FoodDemand_Meat,1975,1
Former Soviet Union,NonFoodDemand_Crops,1975,1
Former Soviet Union,NonFoodDemand_Meat,1975,1
Former Soviet Union,NonFoodDemand_Forest,1975,1
Former Soviet Union,Exports_Meat,1975,1
India,FoodDemand_Crops,1975,1
India,FoodDemand_Meat,1975,1
India,NonFoodDemand_Crops,1975,1
India,NonFoodDemand_Meat,1975,1
India,NonFoodDemand_Forest,1975,1
India,Exports_Meat,1975,1
Japan,FoodDemand_Crops,1975,1
Japan,FoodDemand_Meat,1975,1
Japan,NonFoodDemand_Crops,1975,1
Japan,NonFoodDemand_Meat,1975,1
Japan,NonFoodDemand_Forest,1975,1
Japan,Exports_Meat,1975,1
Korea,FoodDemand_Crops,1975,1
Korea,FoodDemand_Meat,1975,1
Korea,NonFoodDemand_Crops,1975,1
Korea,NonFoodDemand_Meat,1975,1
Korea,NonFoodDemand_Forest,1975,1
Korea,Exports_Meat,1975,1
Latin America,FoodDemand_Crops,1975,1
Latin America,FoodDemand_Meat,1975,1
Latin America,NonFoodDemand_Crops,1975,1
Latin America,NonFoodDemand_Meat,1975,1
Latin America,NonFoodDemand_Forest,1975,1
Latin America,Exports_Meat,1975,1
Middle East,FoodDemand_Crops,1975,1
Middle East,FoodDemand_Meat,1975,1
Middle East,NonFoodDemand_Crops,1975,1
Middle East,NonFoodDemand_Meat,1975,1
Middle East,NonFoodDemand_Forest,1975,1
Middle East,Exports_Meat,1975,1
