INPUT_TABLE
Variable ID
LN3_LogitShare

region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,logit.exponent,default.share.2020,default.share.2025,default.share.2035,ID_AEZ,ID_LN3
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,AllForestLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,AllForestLand
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,CropLandAEZ01,0.875,0.02,0.1,0.25,AEZ01,CropLand
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,GrassShrubLandAEZ01,0.05,0.02,0.1,0.25,AEZ01,GrassShrubLand
