INPUT_TABLE
Variable ID
Supplysector

region,supplysector,output.unit,input.unit,price.unit,price,logit.exponent
Africa,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Africa,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Africa,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Africa,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Africa,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Africa,Exports_Meat,Mt,Mt,1975$/kg,1,0
Australia_NZ,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Australia_NZ,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Australia_NZ,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Australia_NZ,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Australia_NZ,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Australia_NZ,Exports_Meat,Mt,Mt,1975$/kg,1,0
Canada,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Canada,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Canada,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Canada,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Canada,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Canada,Exports_Meat,Mt,Mt,1975$/kg,1,0
China,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
China,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
China,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
China,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
China,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
China,Exports_Meat,Mt,Mt,1975$/kg,1,0
Eastern Europe,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Eastern Europe,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Eastern Europe,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Eastern Europe,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Eastern Europe,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Eastern Europe,Exports_Meat,Mt,Mt,1975$/kg,1,0
Former Soviet Union,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
Former Soviet Union,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
Former Soviet Union,NonFoodDemand_Crops,Mt,Mt,1975$/kg,1,0
Former Soviet Union,NonFoodDemand_Meat,Mt,Mt,1975$/kg,1,0
Former Soviet Union,NonFoodDemand_Forest,billion m3,billion m3,1975$/m3,1,0
Former Soviet Union,Exports_Meat,Mt,Mt,1975$/kg,1,0
India,FoodDemand_Crops,Pcal,Mt,1975$/Mcal,1,0
India,FoodDemand_Meat,Pcal,Mt,1975$/Mcal,1,0
