INPUT_TABLE
Variable ID
ResBioCurve

region,supplysector,subsector,technology,year,residue.biomass.production,price,fract.harvested
USA,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Canada,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Western Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Japan,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Australia_NZ,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Former Soviet Union,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
China,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Middle East,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Africa,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Latin America,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Southeast Asia,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Eastern Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
Korea,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
India,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,1990,biomass,0,0
USA,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Canada,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Western Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Japan,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Australia_NZ,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Former Soviet Union,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
China,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Middle East,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Africa,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Latin America,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Southeast Asia,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Eastern Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
Korea,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
India,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2005,biomass,0,0
USA,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Canada,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Western Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Japan,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Australia_NZ,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Former Soviet Union,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
China,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Middle East,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Africa,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Latin America,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Southeast Asia,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Eastern Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
Korea,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
India,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2020,biomass,0,0
USA,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Canada,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Western Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Japan,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Australia_NZ,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Former Soviet Union,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
China,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Middle East,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Africa,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Latin America,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Southeast Asia,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Eastern Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
Korea,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
India,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2035,biomass,0,0
USA,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Canada,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Western Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Japan,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Australia_NZ,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Former Soviet Union,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
China,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Middle East,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Africa,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Latin America,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Southeast Asia,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Eastern Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
Korea,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
India,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2050,biomass,0,0
USA,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Canada,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Western Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Japan,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Australia_NZ,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Former Soviet Union,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
China,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Middle East,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Africa,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Latin America,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Southeast Asia,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Eastern Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
Korea,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
India,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2065,biomass,0,0
USA,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Canada,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Western Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Japan,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Australia_NZ,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Former Soviet Union,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
China,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Middle East,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Africa,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Latin America,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Southeast Asia,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Eastern Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
Korea,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
India,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2080,biomass,0,0
USA,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
Canada,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
Western Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
Japan,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
Australia_NZ,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
Former Soviet Union,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
China,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
Middle East,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
Africa,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
Latin America,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
Southeast Asia,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,2095,biomass,0,0
