INPUT_TABLE
Variable ID
LN2_Logit

region,LandAllocatorRoot,LandNode1,LandNode2,logit.exponent,ID_AEZ,ID_LN2
USA,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Western Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Japan,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Australia_NZ,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Former Soviet Union,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
China,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Middle East,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Africa,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Latin America,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Southeast Asia,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Eastern Europe,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
Korea,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
India,root,AgroForestLandAEZ01,AgroForest_NonPastureAEZ01,0.625,AEZ01,AgroForest_NonPasture
USA,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Canada,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Western Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Japan,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Australia_NZ,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Former Soviet Union,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
China,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Middle East,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Africa,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Latin America,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Southeast Asia,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Eastern Europe,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
Korea,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
India,root,AgroForestLandAEZ01,AllPastureLandAEZ01,1.5,AEZ01,AllPastureLand
USA,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Canada,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Western Europe,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Japan,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Australia_NZ,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Former Soviet Union,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
China,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Middle East,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Africa,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
Latin America,root,AgroForestLandAEZ02,AgroForest_NonPastureAEZ02,1.25,AEZ02,AgroForest_NonPasture
