Linked GHG configuration,,,,,,,,,,,,,
"Note, the model assumes carbon prices are in 1990$/tC so approriate adjustments must be made",,,,,,,,,,,,,
,,,,,,,,,,,,,
Linked Policies,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
1,,,,,,,,,,,,,
,,,,,,,,,,,,,
region,gas,price-adjust,demand-adjust,market,linked-policy,price-unit,output-unit,,,Gas Lookup,GWP,Include price feedback,Include in constraint
USA,CO2,1,3.666666667,global,GHG,1990$/tC,MtC,,,CO2,3.666666667,1,1
USA,CH4,5.727272727,21,global,GHG,1990$/GgCH4,TgCH4,,,CH4,21,1,1
USA,N2O,84.54545454,310,global,GHG,1990$/GgN2o,TgN2O,,,N2O,310,1,1
USA,C2F6,0,9.2,global,GHG,1990$/MgC2F6,GgC2F6,,,C2F6,9.2,0,1
USA,CF4,0,6.5,global,GHG,1990$/MgCF4,GgCF4,,,CF4,6.5,0,1
USA,HFC125,0,2.8,global,GHG,1990$/MgHFC125,GgHFC125,,,HFC125,2.8,0,1
USA,HFC134a,0,1.3,global,GHG,1990$/MgHFC134a,GgHFC134a,,,HFC134a,1.3,0,1
USA,HFC245fa,0,1.03,global,GHG,1990$/MgHFC245fa,GgHFC245fa,,,HFC245fa,1.03,0,1
USA,SF6,0,23.9,global,GHG,1990$/MgSF6,GgSF6,,,SF6,23.9,0,1
USA,CH4_AWB,5.727272727,21,global,GHG,1990$/GgCH4,TgCH4,,,CH4,21,1,1
USA,CH4_AGR,5.727272727,21,global,GHG,1990$/GgCH4,TgCH4,,,CH4,21,1,1
USA,N2O_AWB,84.54545454,310,global,GHG,1990$/GgN2o,TgN2O,,,N2O,310,1,1
USA,N2O_AGR,84.54545454,310,global,GHG,1990$/GgN2o,TgN2O,,,N2O,310,1,1
,,,,,,,,,,,,,
Market Inclusions,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2,,,,,,,,,,,,,
,,,,,,,,,,,,,
region,gas,market,linked-policy,,,,,,,,,,
Canada,CO2,global,GHG,,,,,,,,,,
Canada,CH4,global,GHG,,,,,,,,,,
Canada,N2O,global,GHG,,,,,,,,,,
Canada,C2F6,global,GHG,,,,,,,,,,
Canada,CF4,global,GHG,,,,,,,,,,
Canada,HFC125,global,GHG,,,,,,,,,,
Canada,HFC134a,global,GHG,,,,,,,,,,
Canada,HFC245fa,global,GHG,,,,,,,,,,
Canada,SF6,global,GHG,,,,,,,,,,
Canada,CH4_AWB,global,GHG,,,,,,,,,,
