GHG Constraint,,,,
INPUT_TABLE,,,,
Variable ID,,,,
1,,,,
,,,,
region,policy,market,isFixedTax,2020
Africa_Eastern,CO2,Africa_Eastern,1,0.00
Africa_Northern,CO2,Africa_Northern,1,0.00
Africa_Southern,CO2,Africa_Southern,1,0.00
Africa_Western,CO2,Africa_Western,1,0.00
Argentina,CO2,Argentina,1,53.14
Australia_NZ,CO2,Australia_NZ,1,53.14
Brazil,CO2,Brazil,1,53.14
Canada,CO2,Canada,1,53.14
Central America and Caribbean,CO2,Central America and Caribbean,1,53.14
Central Asia,CO2,Central Asia,1,53.14
China,CO2,China,1,0.00
Colombia,CO2,Colombia,1,53.14
EU-12,CO2,EU-12,1,53.14
EU-15,CO2,EU-15,1,40.90
Europe_Eastern,CO2,Europe_Eastern,1,0.00
Europe_Non_EU,CO2,Europe_Non_EU,1,0.00
European Free Trade Association,CO2,European Free Trade Association,1,53.14
India,CO2,India,1,9.38
Indonesia,CO2,Indonesia,1,53.12
Japan,CO2,Japan,1,0.00
Mexico,CO2,Mexico,1,53.14
Middle East,CO2,Middle East,1,53.14
Pakistan,CO2,Pakistan,1,0.00
Russia,CO2,Russia,1,0.00
South Africa,CO2,South Africa,1,53.14
South America_Northern,CO2,South America_Northern,1,53.14
South America_Southern,CO2,South America_Southern,1,53.14
South Asia,CO2,South Asia,1,0.00
South Korea,CO2,South Korea,1,53.14
Southeast Asia,CO2,Southeast Asia,1,0.00
Taiwan,CO2,Taiwan,1,53.14
USA,CO2,USA,1,53.14
