# File: socioeconomics_ctry.csv,,,,
# Description: Maps country names and codes  in socioeconomics databases to three digit iso codes,,,,
# ----------,,,,
iso,country_name,Maddison_ctry,Downscale_from,GDP_reg
afg,Afghanistan,Afghanistan,,afg
alb,Albania,Albania,,alb
dza,Algeria,Algeria,,dza
asm,American Samoa,American Samoa,,xse
and,Andorra,Andorra,,xer
ago,Angola,Angola,,ago
aia,Anguilla,Anguilla,,xsm
atg,Antigua & Barbuda,Antigua & Barbuda,,xsm
arg,Argentina,Argentina,,arg
arm,Armenia,Armenia,Total Former USSR,arm
abw,Aruba,Aruba,,xsm
aus,Australia,Australia,,aus
aut,Austria,Austria,,aut
aze,Azerbaijan,Azerbaijan,Total Former USSR,aze
bhs,Bahamas,Bahamas,,xsm
bhr,Bahrain,Bahrain,,bhr
bgd,Bangladesh,Bangladesh,,bgd
brb,Barbados,Barbados,,xsm
blr,Belarus,Belarus,Total Former USSR,blr
bel,Belgium,Belgium,,bel
blz,Belize,Belize,,xsm
ben,Benin,Benin,,ben
bmu,Bermuda,Bermuda,,xer
btn,Bhutan,Bhutan,,xse
bol,Bolivia,Bolivia,,bol
bih,Bosnia and Herzegovina,Bosnia,Yugoslavia,bih
bwa,Botswana,Botswana,,bwa
bra,Brazil,Brazil,,bra
brn,Brunei Darussalam,Brunei,,xss
bgr,Bulgaria,Bulgaria,,bgr
bfa,Burkina Faso,Burkina Faso,,bfa
bdi,Burundi,Burundi,,bdi
khm,Cambodia,Cambodia,,khm
cmr,Cameroon,Cameroon,,cmr
can,Canada,Canada,,can
cpv,Cape Verde,Cape Verde,,cpv
cym,Cayman Islands,Cayman Islands,,xsm
caf,Central African Republic,Central African Republic,,caf
tcd,Chad,Chad,,tcd
chi,Channel Islands,Jersey,,xer
chl,Chile,Chile,,chl
chn,China,China,,chn
cxr,Christmas Island,,,
cck,Cocos (Keeling) Islands,,,
col,Colombia,Colombia,,col
com,Comoros,Comoro Islands,,com
cog,Congo,Congo,,cog
cod,"Congo, the Democratic Republic of the",Zaire,,cod
cok,Cook Islands,Cook Islands,,xse
cri,Costa Rica,Costa Rica,,cri
civ,Cote dIvoire,Cote dIvoire,,civ
hrv,Croatia,Croatia,Yugoslavia,hrv
cub,Cuba,Cuba,,cub
cyp,Cyprus,Cyprus,,xer
cze,Czech Republic,Czech Republic,Czechoslovakia,cze
dnk,Denmark,Denmark,,dnk
dji,Djibouti,Djibouti,,dji
dma,Dominica,Dominica,,xsm
dom,Dominican Republic,Dominican Republic,,dom
ecu,Ecuador,Ecuador,,ecu
egy,Egypt,Egypt,,egy
slv,El Salvador,El Salvador,,slv
gnq,Equatorial Guinea,Equatorial Guinea,,gnq
eri,Eritrea,Eritrea,,xss
est,Estonia,Estonia,Total Former USSR,est
eth,Ethiopia,Ethiopia,,eth
flk,Falkland Islands (Malvinas),,,xsm
fro,Faroe Islands,Faeroe Islands,,xer
fji,Fiji,Fiji,,xse
fin,Finland,Finland,,fin
fra,France,France,,fra
guf,French Guiana,Guyana (Fr.),,xsm
pyf,French Polynesia,French Polynesia,,xse
gab,Gabon,Gabon,,gab
gmb,Gambia,Gambia,,gmb
geo,Georgia,Georgia,Total Former USSR,geo
deu,Germany,Germany,,deu
gha,Ghana,Ghana,,gha
gib,Gibraltar,Gibraltar,,xer
grc,Greece,Greece,,grc
grl,Greenland,Greenland,,xer
grd,Grenada,Grenada,,xsm
glp,Guadeloupe,Guadeloupe,,xsm
gum,Guam,Guam,,xse
gtm,Guatemala,Guatemala,,gtm
gin,Guinea,Guinea,,gin
gnb,Guinea-Bissau,Guinea Bissau,,gnb
guy,Guyana,Guyana,,xsm
hti,Haiti,Haiti,,hti
hnd,Honduras,Honduras,,hnd
hkg,Hong Kong,Hong Kong,,hkg
hun,Hungary,Hungary,,hun
isl,Iceland,Iceland,,xer
ind,India,India,,ind
idn,Indonesia,Indonesia,,idn
irn,"Iran, Islamic Republic of",Iran,,irn
irq,Iraq,Iraq,,irq
irl,Ireland,Ireland,,irl
imn,Isle of Man,Isle of Man,,xer
isr,Israel,Israel,,isr
ita,Italy,Italy,,ita
jam,Jamaica,Jamaica,,jam
jpn,Japan,Japan,,jpn
jor,Jordan,Jordan,,jor
kaz,Kazakhstan,Kazakhstan,Total Former USSR,kaz
ken,Kenya,Kenya,,ken
kir,Kiribati,Kiribati,,xse
prk,"Korea, Democratic Peoples Republic of",North Korea,,prk
kor,"Korea, Republic of",South Korea,,kor
kwt,Kuwait,Kuwait,,kwt
kgz,Kyrgyzstan,Kyrgyzstan,Total Former USSR,kgz
lao,Lao Peoples Democratic Republic,Laos,,lao
lva,Latvia,Latvia,Total Former USSR,lva
lbn,Lebanon,Lebanon,,lbn
lso,Lesotho,Lesotho,,lso
lbr,Liberia,Liberia,,lbr
lby,Libyan Arab Jamahiriya,Libya,,lby
lie,Liechtenstein,Liechtenstein,,xer
ltu,Lithuania,Lithuania,Total Former USSR,ltu
lux,Luxembourg,Luxembourg,,xer
mac,Macau,Macao,,xse
mkd,"Macedonia, the former Yugoslav Republic of",Macedonia,Yugoslavia,mkd
mdg,Madagascar,Madagascar,,mdg
mwi,Malawi,Malawi,,mwi
mys,Malaysia,Malaysia,,mys
mdv,Maldives,Maldives,,xse
mli,Mali,Mali,,mli
mlt,Malta,Malta,,xer
mhl,Marshall Islands,Marshall Islands,,xse
mtq,Martinique,Martinique,,xsm
mrt,Mauritania,Mauritania,,mrt
mus,Mauritius,Mauritius,,mus
myt,Mayotte,Mayotte,,xss
mex,Mexico,Mexico,,mex
fsm,"Micronesia, Federated States of",Micronesia,,xse
mda,"Moldova, Republic of",Moldova,Total Former USSR,mda
