model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD Env-Linkages,SSP1_v5_120504,AFG,GDP|PPP,billion US$2005/yr,0,22,37,54,88,151,259,426,666,994,1420,1950,2574,3268,3993,4734,5461,6152,6789,7359,7856
OECD Env-Linkages,SSP1_v5_120504,AGO,GDP|PPP,billion US$2005/yr,37,60,104,145,208,272,347,434,551,714,935,1220,1575,2004,2508,3086,3734,4452,5221,6014,6825
OECD Env-Linkages,SSP1_v5_120504,ALB,GDP|PPP,billion US$2005/yr,15,19,25,29,35,43,51,60,69,77,85,91,95,99,101,103,104,105,105,104,103
OECD Env-Linkages,SSP1_v5_120504,ARE,GDP|PPP,billion US$2005/yr,145,200,249,302,351,395,447,496,542,582,619,658,703,748,795,839,881,918,951,975,988
OECD Env-Linkages,SSP1_v5_120504,ARG,GDP|PPP,billion US$2005/yr,380,419,580,739,893,1083,1304,1552,1817,2087,2364,2643,2926,3212,3496,3768,4034,4303,4579,4843,5089
OECD Env-Linkages,SSP1_v5_120504,ARM,GDP|PPP,billion US$2005/yr,7,13,15,18,21,25,30,35,42,48,54,59,65,71,77,81,86,91,96,101,106
OECD Env-Linkages,SSP1_v5_120504,AUS,GDP|PPP,billion US$2005/yr,590,696,796,928,1068,1203,1343,1498,1667,1852,2044,2244,2461,2696,2948,3207,3472,3745,4025,4318,4620
OECD Env-Linkages,SSP1_v5_120504,AUT,GDP|PPP,billion US$2005/yr,254,277,297,326,351,374,398,423,453,484,514,544,574,608,644,683,722,762,802,843,886
OECD Env-Linkages,SSP1_v5_120504,AZE,GDP|PPP,billion US$2005/yr,20,38,81,93,102,104,107,110,117,128,143,161,185,214,247,277,308,341,378,416,452
OECD Env-Linkages,SSP1_v5_120504,BDI,GDP|PPP,billion US$2005/yr,2,3,3,4,5,7,11,17,26,40,59,85,119,163,216,277,345,419,499,582,666
OECD Env-Linkages,SSP1_v5_120504,BEL,GDP|PPP,billion US$2005/yr,312,337,358,386,413,443,480,523,571,620,671,725,783,845,912,983,1058,1136,1217,1304,1394
OECD Env-Linkages,SSP1_v5_120504,BEN,GDP|PPP,billion US$2005/yr,9,10,13,16,21,29,42,63,93,136,197,281,392,531,699,900,1128,1386,1668,1970,2286
OECD Env-Linkages,SSP1_v5_120504,BFA,GDP|PPP,billion US$2005/yr,11,14,19,25,36,55,86,133,201,300,437,622,860,1155,1505,1905,2352,2847,3385,3957,4554
OECD Env-Linkages,SSP1_v5_120504,BGD,GDP|PPP,billion US$2005/yr,126,164,221,303,427,601,844,1173,1601,2128,2748,3455,4236,5062,5910,6766,7603,8421,9195,9928,10598
OECD Env-Linkages,SSP1_v5_120504,BGR,GDP|PPP,billion US$2005/yr,58,76,87,102,120,137,154,171,186,197,206,213,221,229,234,236,238,241,246,251,256
OECD Env-Linkages,SSP1_v5_120504,BHR,GDP|PPP,billion US$2005/yr,15,20,27,32,38,45,52,59,66,72,79,86,93,99,105,109,113,117,120,122,123
OECD Env-Linkages,SSP1_v5_120504,BHS,GDP|PPP,billion US$2005/yr,8,8,8,9,10,11,12,13,14,16,17,19,20,22,24,25,27,29,31,33,35
OECD Env-Linkages,SSP1_v5_120504,BIH,GDP|PPP,billion US$2005/yr,19,24,28,33,40,48,57,67,76,85,93,99,105,109,112,115,117,119,120,122,122
OECD Env-Linkages,SSP1_v5_120504,BLR,GDP|PPP,billion US$2005/yr,59,83,122,147,177,207,240,276,309,337,359,378,399,421,440,453,464,476,490,504,518
OECD Env-Linkages,SSP1_v5_120504,BLZ,GDP|PPP,billion US$2005/yr,1,2,2,2,3,3,4,5,6,8,10,13,15,19,22,26,30,34,38,43,46
OECD Env-Linkages,SSP1_v5_120504,BOL,GDP|PPP,billion US$2005/yr,30,35,43,54,69,90,121,162,216,286,373,479,603,742,894,1055,1223,1397,1572,1743,1909
OECD Env-Linkages,SSP1_v5_120504,BRA,GDP|PPP,billion US$2005/yr,1380,1583,1960,2382,2903,3490,4164,4944,5825,6779,7786,8846,9935,11012,12072,13147,14208,15251,16252,17189,18081
OECD Env-Linkages,SSP1_v5_120504,BRB,GDP|PPP,billion US$2005/yr,5,5,5,5,6,7,9,10,11,12,13,14,15,16,16,17,17,18,18,19,19
OECD Env-Linkages,SSP1_v5_120504,BRN,GDP|PPP,billion US$2005/yr,16,18,18,21,23,26,28,31,33,36,39,41,44,46,49,51,54,56,59,62,65
OECD Env-Linkages,SSP1_v5_120504,BTN,GDP|PPP,billion US$2005/yr,2,2,3,5,8,11,15,20,26,33,41,49,58,67,76,85,92,100,107,113,119
OECD Env-Linkages,SSP1_v5_120504,BWA,GDP|PPP,billion US$2005/yr,17,22,25,33,42,53,66,80,96,111,126,142,158,175,191,208,223,239,254,268,282
OECD Env-Linkages,SSP1_v5_120504,CAF,GDP|PPP,billion US$2005/yr,3,3,3,4,5,8,12,18,27,42,62,90,126,172,229,296,370,450,534,620,706
OECD Env-Linkages,SSP1_v5_120504,CAN,GDP|PPP,billion US$2005/yr,998,1132,1202,1345,1485,1583,1687,1807,1950,2119,2309,2517,2748,3015,3316,3637,3975,4327,4693,5079,5482
OECD Env-Linkages,SSP1_v5_120504,CHE,GDP|PPP,billion US$2005/yr,249,266,294,319,341,359,378,398,424,453,483,514,546,583,623,666,713,762,812,863,917
OECD Env-Linkages,SSP1_v5_120504,CHL,GDP|PPP,billion US$2005/yr,162,198,233,295,357,420,491,569,655,746,839,929,1019,1111,1203,1292,1378,1461,1539,1607,1667
OECD Env-Linkages,SSP1_v5_120504,CHN,GDP|PPP,billion US$2005/yr,3367,5363,9121,14189,21877,30985,41006,50953,60207,68507,75069,79614,82723,84520,85239,85064,84450,83453,82260,80858,79125
OECD Env-Linkages,SSP1_v5_120504,CIV,GDP|PPP,billion US$2005/yr,30,30,34,41,58,89,138,210,311,447,623,845,1112,1421,1767,2150,2555,2980,3412,3838,4251
OECD Env-Linkages,SSP1_v5_120504,CMR,GDP|PPP,billion US$2005/yr,29,35,40,50,64,86,120,168,234,325,445,600,792,1023,1292,1597,1934,2296,2676,3062,3446
OECD Env-Linkages,SSP1_v5_120504,COD,GDP|PPP,billion US$2005/yr,13,16,21,28,40,63,102,166,267,424,657,989,1443,2037,2784,3689,4754,5963,7297,8705,10157
OECD Env-Linkages,SSP1_v5_120504,COG,GDP|PPP,billion US$2005/yr,10,12,15,21,28,40,56,77,105,140,183,236,299,370,450,536,629,726,825,925,1024
OECD Env-Linkages,SSP1_v5_120504,COL,GDP|PPP,billion US$2005/yr,263,314,393,491,582,668,788,941,1121,1327,1561,1819,2098,2394,2703,3020,3364,3718,4076,4434,4785
OECD Env-Linkages,SSP1_v5_120504,COM,GDP|PPP,billion US$2005/yr,1,1,1,1,1,2,2,3,5,8,12,17,25,34,46,61,78,98,121,146,172
OECD Env-Linkages,SSP1_v5_120504,CPV,GDP|PPP,billion US$2005/yr,1,1,2,2,3,4,6,8,10,13,15,18,20,23,25,28,30,32,34,36,38
OECD Env-Linkages,SSP1_v5_120504,CRI,GDP|PPP,billion US$2005/yr,32,39,48,59,72,86,103,122,143,166,189,212,234,257,280,302,324,344,363,379,393
OECD Env-Linkages,SSP1_v5_120504,CYP,GDP|PPP,billion US$2005/yr,16,19,21,23,25,28,32,36,40,45,49,53,56,60,64,68,72,75,78,81,84
OECD Env-Linkages,SSP1_v5_120504,CZE,GDP|PPP,billion US$2005/yr,178,218,249,282,319,360,410,462,515,564,617,670,726,790,859,927,996,1067,1141,1217,1297
OECD Env-Linkages,SSP1_v5_120504,DEU,GDP|PPP,billion US$2005/yr,2492,2562,2727,2962,3130,3268,3400,3569,3798,4035,4272,4508,4772,5053,5365,5701,6056,6418,6787,7168,7571
OECD Env-Linkages,SSP1_v5_120504,DJI,GDP|PPP,billion US$2005/yr,1,1,2,2,3,5,7,10,13,18,23,29,36,44,52,61,69,78,87,95,103
OECD Env-Linkages,SSP1_v5_120504,DNK,GDP|PPP,billion US$2005/yr,169,180,180,193,205,215,229,243,261,281,305,330,357,387,421,458,501,547,595,646,700
OECD Env-Linkages,SSP1_v5_120504,DOM,GDP|PPP,billion US$2005/yr,50,59,83,109,143,180,225,274,328,386,446,510,576,642,708,772,835,897,957,1012,1062
OECD Env-Linkages,SSP1_v5_120504,DZA,GDP|PPP,billion US$2005/yr,186,236,267,313,368,429,499,591,714,865,1039,1233,1451,1696,1956,2219,2478,2747,3036,3343,3657
OECD Env-Linkages,SSP1_v5_120504,ECU,GDP|PPP,billion US$2005/yr,68,88,106,127,148,179,221,275,339,414,500,597,703,817,936,1058,1180,1304,1425,1541,1648
OECD Env-Linkages,SSP1_v5_120504,EGY,GDP|PPP,billion US$2005/yr,280,333,460,555,728,958,1267,1659,2123,2645,3211,3817,4451,5088,5702,6291,6875,7457,8032,8584,9096
