Sector 21: EC0721A2: Mining: Geographic Area Series: Detailed Statistics for the State or Offshore Areas: 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data based on the 2007 Economic Census. For information on confidentiality protection, sampling error, nonsampling error, and definitions, see  Survey Methodology. Data in this table represent those available when this file was created; data may not be available for all NAICS industries or geographies. Data in this table may be subject to employment- and/or sales-size minimums that vary by industry.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area Name,2007 NAICS code,Meaning of 2007 NAICS code,Footnote identifier,Number of companies,Number of establishments,Establishments with 0 to 19 employees,Establishments with 20 to 99 employees,Establishments with 100 employees or more,Number of paid employees for pay period including March 12,"Annual payroll ($1,000)","Total fringe benefits ($1,000)","Employer's cost for health insurance ($1,000)","Employer's cost for defined benefit pension plans ($1,000)","Employer's cost for defined contribution plans ($1,000)","Employer's cost for other fringe benefits ($1,000)",Production workers - 1st qtr,"Production workers hours (1,000)","Production workers wages ($1,000)","Total cost of supplies ($1,000)","Supplies used, mineral received, etc. ($1,000)","Resales ($1,000)","Purchased fuels consumed ($1,000)","Purchased electricity ($1,000)","Contract work ($1,000)","Quantity of electricity purchased (1,000 kWh)","Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)","Total other expenses ($1,000)","Communication services ($1,000)","Data processing and other purchased computer services ($1,000)","Refuse removal (including hazardous waste) services ($1,000)","Temporary staff and leased employee expenses ($1,000)","Repair and maintenance services of buildings and/or machinery ($1,000)","Purchased professional and technical services ($1,000)","Taxes and license fees ($1,000)","Expensed computer hardware and other equipment ($1,000)","Advertising and promotional services ($1,000)","Expensed purchases of software ($1,000)","All other expenses ($1,000)","Total value of shipments and receipts for services ($1,000)","Value added ($1,000)","Total BOY inventories ($1,000)","BOY finished goods inventories ($1,000)","BOY supplies inventories ($1,000)","Total EOY inventories ($1,000)","EOY finished goods inventories ($1,000)","Supplies, parts, fuels, etc. inventories, end of 2007 ($1,000)","Capital expenditures (except land and mineral rights) ($1,000)","Capital expenditures- bldgs, mach, equip, etc. ($1,000)","Cap exp- mineral exploration and development ($1,000)","Capital expenditures for mineral land and rights ($1,000)","Total rents ($1,000)","Buildings rentals ($1,000)","Machinery rentals ($1,000)"
Alabama,21,"Mining, quarrying, and oil and gas extraction", ,192,251,162,75,14,"8,343","455,993","158,177","70,277","9,458","5,890","72,552","6,599","14,877","352,886","1,292,909","819,899","76,125","114,294","85,620","196,971","1,559,615",D,0,"772,299","15,597","5,542","11,628","26,496","90,832","37,445","214,298","2,706","1,657","1,734","364,364","6,105,821","6,141,534","115,743","85,341","30,402","207,529",D,D,"1,328,622","549,337","779,285","9,540","72,584","5,531","67,053"
Alaska,21,"Mining, quarrying, and oil and gas extraction", ,90,106,57,28,21,"11,307","966,043","272,159","78,972","19,231","32,715","141,241","6,854","13,681","572,892","2,202,213","1,152,345","15,568","85,575","67,463","881,262","1,288,110",D,0,"2,984,315",D,D,D,D,D,D,D,D,D,"1,930","1,001,061","21,748,761","22,206,105","807,389","261,508","545,881","846,583","301,200","545,383","2,659,557","1,133,503","1,526,054",D,"95,060","19,275","75,785"
Arizona,21,"Mining, quarrying, and oil and gas extraction", ,155,224,152,58,14,"12,430","679,091","290,773","78,777","41,597","66,518","103,881","10,435","21,116","556,220","2,530,855","1,966,657","26,384","243,229","166,892","127,693","3,205,357",D,0,"697,437",D,D,D,"48,946","202,489","51,257",D,"7,135","2,115",947,"140,479","8,400,148","6,573,218","255,415","146,113","109,302","534,811","368,546","166,265","703,925","465,718","238,207",58,"51,272","6,352","44,920"
Arkansas,21,"Mining, quarrying, and oil and gas extraction", ,264,298,228,53,17,"6,992","365,995","96,172","27,963","5,206","7,099","55,904","5,568","11,256","278,027","656,156","452,058","34,296","50,152","15,723","103,927","421,091",0,0,"294,149","3,013","1,302","3,005","13,126","34,300","13,957","33,366","3,189","1,636",825,"186,430","2,705,784","3,575,083","51,037","31,431","19,606","60,398",D,D,"1,525,455","381,239","1,144,216","1,170","55,708","5,555","50,153"
California,21,"Mining, quarrying, and oil and gas extraction", ,589,749,508,189,52,"28,941","1,753,588","511,324","210,897","23,687","45,995","230,745","21,502","40,183","1,236,867","4,369,869","2,366,318","82,090","659,330","259,615","1,002,516","2,782,028",D,D,"1,973,902","19,376","15,608","38,964","91,088","247,397","181,601","381,408","23,930","10,747","6,929","956,854","22,157,706","22,290,862","375,789","251,383","124,406","474,327","337,992","136,335","4,503,025","1,888,389","2,614,636","5,160","184,103","52,249","131,854"
Colorado,21,"Mining, quarrying, and oil and gas extraction", ,880,971,749,171,51,"28,417","1,755,325","511,327","198,884","17,370","45,832","249,241","21,301","42,550","1,238,633","4,199,193","3,263,380","155,624","241,096","134,697","404,396","2,497,105",D,D,"1,355,186","17,137","16,631","20,765","98,272","201,404","109,131","238,365","15,180","17,559","8,536","612,206","15,510,598","16,557,786","408,754","281,668","127,086","351,605","167,973","183,632","5,246,381","1,981,621","3,264,760","42,649","246,100","55,087","191,013"
Connecticut,21,"Mining, quarrying, and oil and gas extraction", ,42,62,45,14,3,"2,130","84,438","30,099","13,086","2,473","3,106","11,434","1,671","2,970","63,952","50,577","24,905","2,625","9,263","7,699","6,085","87,245",0,0,"71,446",572,D,"2,407","1,528",D,D,D,326,330,108,"50,765","387,986","419,177","27,222","22,379","4,843",D,D,D,D,D,"41,664",D,"9,736",D,D
Delaware,21,"Mining, quarrying, and oil and gas extraction", ,11,16,14,1,1,569,"19,474","4,878","1,858",146,398,"2,476",449,816,"15,712","10,590","6,336",D,"1,917",D,"1,688","6,333",0,0,"10,839",190,42,92,342,"1,520",749,639,200,111,37,"6,917","70,030","71,647","4,585",D,D,D,D,D,D,D,D,0,140,D,D
Florida,21,"Mining, quarrying, and oil and gas extraction", ,173,223,158,56,9,"5,749","322,566","108,617","44,488","11,231","10,485","42,413","4,515","9,773","251,916","980,911","546,070","12,507","67,624","193,078","161,632","2,684,121",0,0,"369,198","2,838","1,077","9,681","15,677","70,132","32,890","75,123","5,295","2,005",474,"154,006","2,636,020","2,630,311","274,327","225,073","49,254","193,136","142,505","50,631","975,202","447,956","527,246","11,460","33,500","2,396","31,104"
Georgia,21,"Mining, quarrying, and oil and gas extraction", ,120,203,118,72,13,"6,470","303,381","107,060","46,879","10,099","10,226","39,856","4,949","10,675","223,723","690,862","423,201","3,558","169,188","74,104","20,811","1,344,447",D,D,"309,232","3,101",254,"2,204","4,109","49,644","21,002","21,982","7,025",807,880,"198,224","1,933,718","1,528,957","197,400","163,279","34,121","235,420","194,336","41,084","286,101","254,702","31,399","71,411","17,563","2,294","15,269"
