Sector 31: Annual Survey of Manufactures: Geographic Area Statistics: Statistics for All Manufacturing by State: 2009 and 2008,,,,
"NOTE: For information on confidentiality protection, sampling error, nonsampling error, and definitions, see Survey Methodology.  For information on the ASM industry groupings, see Comparability. Data in this table represent those available when this report was created. Data may not be available for all NAICS industries or geographies. Detail items may not add to total due to independent rounding.
",,,,
Geographic Area Name,NAICS-based code,Meaning of NAICS-based code,Year,"Total value of shipments ($1,000)"
Alabama,31-33,Manufacturing,2008,"116,401,285"
Alabama,311,Food mfg,2008,"9,661,432"
Alabama,3111,Animal food mfg,2008,"1,744,928"
Alabama,3116,Animal  slaughtering & processing,2008,"4,198,062"
Alabama,3118,Bakeries & tortilla mfg,2008,"461,753"
Alabama,3119,Other food mfg,2008,"1,020,629"
Alabama,312,Beverage & tobacco product mfg,2008,D
Alabama,3121,Beverage mfg,2008,D
Alabama,313,Textile mills,2008,"1,201,568"
Alabama,3131,"Fiber, yarn, & thread mills",2008,"746,466"
Alabama,3132,Fabric mills,2008,D
Alabama,314,Textile product mills,2008,"1,156,667"
Alabama,3141,Textile furnishings mills,2008,"747,664"
Alabama,3149,Other textile product mills,2008,"409,003"
Alabama,315,Apparel mfg,2008,"561,695"
Alabama,3151,Apparel knitting mills,2008,"385,143"
Alabama,321,Wood product mfg,2008,"3,682,060"
Alabama,3211,Sawmills & wood preservation,2008,"1,379,999"
Alabama,3212,"Veneer, plywood, & engineered wood product mfg",2008,"631,510"
Alabama,3219,Other wood product mfg,2008,"1,670,551"
Alabama,322,Paper mfg,2008,"8,526,893"
Alabama,3221,"Pulp, paper, & paperboard mills",2008,"7,357,513"
Alabama,3222,Converted paper product mfg,2008,"1,169,380"
Alabama,323,Printing & related support activities,2008,"672,875"
Alabama,3231,Printing & related support activities,2008,"672,875"
Alabama,324,Petroleum & coal products mfg,2008,"6,879,382"
Alabama,3241,Petroleum & coal products mfg,2008,"6,879,382"
Alabama,325,Chemical mfg,2008,"11,455,732"
Alabama,3251,Basic chemical mfg,2008,"6,858,428"
Alabama,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"2,387,700"
Alabama,3255,"Paint, coating, & adhesive mfg",2008,"576,832"
Alabama,326,Plastics & rubber products mfg,2008,"4,127,724"
Alabama,3261,Plastics product mfg,2008,"2,691,075"
Alabama,3262,Rubber product mfg,2008,"1,436,649"
Alabama,327,Nonmetallic mineral product mfg,2008,"2,697,306"
Alabama,3272,Glass & glass product mfg,2008,"257,482"
Alabama,3273,Cement & concrete product mfg,2008,"1,406,408"
Alabama,3279,Other nonmetallic mineral product mfg,2008,"505,653"
Alabama,331,Primary metal mfg,2008,"15,518,820"
Alabama,3311,Iron & steel mills & ferroalloy mfg,2008,"9,178,883"
Alabama,3313,Alumina & aluminum production & processing,2008,"1,544,156"
Alabama,3314,Nonferrous metal (except aluminum) production & processing,2008,"2,067,725"
Alabama,3315,Foundries,2008,"1,879,020"
Alabama,332,Fabricated metal product mfg,2008,"6,561,386"
Alabama,3321,Forging & stamping,2008,"340,634"
Alabama,3323,Architectural & structural metals mfg,2008,"2,756,656"
Alabama,3324,"Boiler, tank, & shipping container mfg",2008,"549,939"
Alabama,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"1,114,159"
Alabama,3328,"Coating, engraving, heat treating, & allied activities",2008,"238,436"
Alabama,3329,Other fabricated metal product mfg,2008,"1,246,899"
Alabama,333,Machinery mfg,2008,"3,905,124"
Alabama,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"608,868"
Alabama,3335,Metalworking machinery mfg,2008,"196,485"
Alabama,3336,"Engine, turbine, & power transmission equipment mfg",2008,"1,214,403"
Alabama,3339,Other general purpose machinery mfg,2008,"1,010,919"
Alabama,334,Computer & electronic product mfg,2008,"4,109,398"
Alabama,3341,Computer & peripheral equipment mfg,2008,"744,707"
Alabama,3342,Communications equipment mfg,2008,"873,080"
Alabama,3344,Semiconductor & other electronic component mfg,2008,"1,268,643"
Alabama,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"693,435"
Alabama,3346,Mfg & reproducing magnetic & optical media,2008,"513,373"
Alabama,335,"Electrical equipment, appliance, & component mfg",2008,"2,148,133"
Alabama,3352,Household appliance mfg,2008,D
Alabama,3353,Electrical equipment mfg,2008,"348,118"
Alabama,3359,Other electrical equipment & component mfg,2008,"901,936"
Alabama,336,Transportation equipment mfg,2008,"29,357,463"
Alabama,3361,Motor vehicle mfg,2008,"16,727,384"
Alabama,3362,Motor vehicle body & trailer mfg,2008,"1,032,218"
Alabama,3363,Motor vehicle parts mfg,2008,"8,349,351"
Alabama,3364,Aerospace product & parts mfg,2008,"1,554,078"
Alabama,3366,Ship & boat building,2008,"845,714"
Alabama,3369,Other transportation equipment mfg,2008,"796,222"
Alabama,337,Furniture & related product mfg,2008,"1,985,898"
Alabama,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"1,236,414"
Alabama,3372,Office furniture (including fixtures) mfg,2008,"675,177"
Alabama,339,Miscellaneous mfg,2008,"1,118,027"
Alabama,3391,Medical equipment & supplies mfg,2008,"379,895"
Alabama,3399,Other miscellaneous mfg,2008,"738,132"
Alaska,31-33,Manufacturing,2008,"9,070,714"
Alaska,311,Food mfg,2008,"2,186,305"
Alaska,3117,Seafood product preparation & packaging,2008,"2,128,847"
Arizona,31-33,Manufacturing,2008,"56,273,714"
Arizona,311,Food mfg,2008,"5,172,923"
Arizona,3115,Dairy product mfg,2008,"2,441,489"
Arizona,3116,Animal  slaughtering & processing,2008,"521,411"
Arizona,3118,Bakeries & tortilla mfg,2008,"558,529"
Arizona,3119,Other food mfg,2008,"755,372"
Arizona,312,Beverage & tobacco product mfg,2008,"1,620,271"
Arizona,3121,Beverage mfg,2008,"1,620,271"
Arizona,321,Wood product mfg,2008,"866,305"
Arizona,3219,Other wood product mfg,2008,"681,200"
Arizona,322,Paper mfg,2008,"971,766"
Arizona,3222,Converted paper product mfg,2008,"687,461"
Arizona,323,Printing & related support activities,2008,"911,949"
Arizona,3231,Printing & related support activities,2008,"911,949"
Arizona,325,Chemical mfg,2008,"4,058,226"
Arizona,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,D
Arizona,326,Plastics & rubber products mfg,2008,"1,713,556"
Arizona,3261,Plastics product mfg,2008,"1,569,170"
Arizona,327,Nonmetallic mineral product mfg,2008,"2,561,274"
Arizona,3272,Glass & glass product mfg,2008,"228,798"
Arizona,3273,Cement & concrete product mfg,2008,"2,031,791"
Arizona,331,Primary metal mfg,2008,"2,851,324"
Arizona,3314,Nonferrous metal (except aluminum) production & processing,2008,"1,955,292"
Arizona,332,Fabricated metal product mfg,2008,"4,452,189"
Arizona,3323,Architectural & structural metals mfg,2008,"1,549,664"
Arizona,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"852,622"
Arizona,3329,Other fabricated metal product mfg,2008,"1,388,623"
Arizona,333,Machinery mfg,2008,"1,827,006"
Arizona,3331,"Agriculture, construction, & mining machinery mfg",2008,"503,226"
Arizona,3332,Industrial machinery mfg,2008,"412,346"
Arizona,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"267,172"
Arizona,3335,Metalworking machinery mfg,2008,"227,280"
Arizona,334,Computer & electronic product mfg,2008,"10,284,847"
Arizona,3344,Semiconductor & other electronic component mfg,2008,"4,811,958"
Arizona,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"4,348,710"
Arizona,335,"Electrical equipment, appliance, & component mfg",2008,"652,100"
Arizona,336,Transportation equipment mfg,2008,"14,397,254"
Arizona,3363,Motor vehicle parts mfg,2008,"694,586"
Arizona,3364,Aerospace product & parts mfg,2008,"13,077,460"
Arizona,337,Furniture & related product mfg,2008,"962,800"
Arizona,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"505,653"
Arizona,339,Miscellaneous mfg,2008,"1,974,885"
Arizona,3391,Medical equipment & supplies mfg,2008,"1,160,002"
Arizona,3399,Other miscellaneous mfg,2008,"814,883"
Arkansas,31-33,Manufacturing,2008,"61,242,015"
Arkansas,311,Food mfg,2008,"15,606,389"
Arkansas,3111,Animal food mfg,2008,"2,155,145"
Arkansas,3112,Grain & oilseed milling,2008,"2,169,040"
Arkansas,3114,Fruit & vegetable preserving & specialty food mfg,2008,"1,696,874"
Arkansas,3116,Animal  slaughtering & processing,2008,"8,050,948"
Arkansas,3118,Bakeries & tortilla mfg,2008,"296,675"
Arkansas,3119,Other food mfg,2008,"848,526"
Arkansas,316,Leather & allied product mfg,2008,"137,736"
Arkansas,3162,Footwear mfg,2008,D
Arkansas,321,Wood product mfg,2008,"2,297,976"
Arkansas,3211,Sawmills & wood preservation,2008,"988,295"
Arkansas,3212,"Veneer, plywood, & engineered wood product mfg",2008,"624,336"
Arkansas,3219,Other wood product mfg,2008,"685,345"
Arkansas,322,Paper mfg,2008,"4,876,086"
Arkansas,3221,"Pulp, paper, & paperboard mills",2008,"2,415,355"
Arkansas,3222,Converted paper product mfg,2008,"2,460,731"
Arkansas,323,Printing & related support activities,2008,"552,435"
Arkansas,3231,Printing & related support activities,2008,"552,435"
Arkansas,325,Chemical mfg,2008,"3,002,656"
Arkansas,3251,Basic chemical mfg,2008,"1,586,654"
Arkansas,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"487,240"
Arkansas,326,Plastics & rubber products mfg,2008,"2,824,392"
Arkansas,3261,Plastics product mfg,2008,"1,868,097"
Arkansas,3262,Rubber product mfg,2008,"956,296"
Arkansas,327,Nonmetallic mineral product mfg,2008,"993,834"
Arkansas,3273,Cement & concrete product mfg,2008,"447,858"
Arkansas,331,Primary metal mfg,2008,"7,572,458"
Arkansas,3311,Iron & steel mills & ferroalloy mfg,2008,"5,321,116"
Arkansas,3312,Steel product mfg from purchased steel,2008,"1,156,249"
Arkansas,332,Fabricated metal product mfg,2008,"4,697,228"
Arkansas,3322,Cutlery & handtool mfg,2008,"202,123"
Arkansas,3323,Architectural & structural metals mfg,2008,"1,596,061"
Arkansas,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"268,376"
Arkansas,3329,Other fabricated metal product mfg,2008,"1,960,139"
Arkansas,333,Machinery mfg,2008,"3,307,138"
Arkansas,3331,"Agriculture, construction, & mining machinery mfg",2008,"787,552"
Arkansas,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"1,260,754"
Arkansas,3339,Other general purpose machinery mfg,2008,"672,480"
Arkansas,334,Computer & electronic product mfg,2008,"467,373"
Arkansas,335,"Electrical equipment, appliance, & component mfg",2008,"2,950,509"
Arkansas,3352,Household appliance mfg,2008,D
Arkansas,3353,Electrical equipment mfg,2008,"1,088,869"
Arkansas,3359,Other electrical equipment & component mfg,2008,D
Arkansas,336,Transportation equipment mfg,2008,"5,575,929"
Arkansas,3363,Motor vehicle parts mfg,2008,"1,243,220"
Arkansas,3364,Aerospace product & parts mfg,2008,"2,850,095"
Arkansas,3366,Ship & boat building,2008,"322,720"
Arkansas,337,Furniture & related product mfg,2008,"876,977"
Arkansas,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"642,289"
Arkansas,3372,Office furniture (including fixtures) mfg,2008,"223,564"
Arkansas,339,Miscellaneous mfg,2008,"1,114,957"
Arkansas,3391,Medical equipment & supplies mfg,2008,"555,388"
Arkansas,3399,Other miscellaneous mfg,2008,"559,569"
California,31-33,Manufacturing,2008,"517,454,354"
California,311,Food mfg,2008,"66,345,481"
California,3111,Animal food mfg,2008,"3,486,767"
California,3112,Grain & oilseed milling,2008,"4,903,927"
California,3113,Sugar & confectionery product mfg,2008,"2,538,648"
California,3114,Fruit & vegetable preserving & specialty food mfg,2008,"13,136,450"
California,3115,Dairy product mfg,2008,"13,918,654"
California,3116,Animal  slaughtering & processing,2008,"7,836,191"
California,3117,Seafood product preparation & packaging,2008,"1,082,255"
California,3118,Bakeries & tortilla mfg,2008,"6,528,308"
California,3119,Other food mfg,2008,"12,914,281"
California,312,Beverage & tobacco product mfg,2008,D
California,3121,Beverage mfg,2008,D
California,313,Textile mills,2008,"1,567,435"
California,3132,Fabric mills,2008,"325,199"
California,3133,Textile & fabric finishing & fabric coating mills,2008,"1,106,228"
California,314,Textile product mills,2008,"2,017,865"
California,3141,Textile furnishings mills,2008,"1,402,954"
California,3149,Other textile product mills,2008,"614,911"
California,315,Apparel mfg,2008,"7,545,890"
California,3151,Apparel knitting mills,2008,"245,714"
California,3152,Cut & sew apparel mfg,2008,"6,957,262"
California,3159,Apparel accessories & other apparel mfg,2008,"342,913"
California,316,Leather & allied product mfg,2008,D
California,3169,Other leather & allied product mfg,2008,"491,025"
California,321,Wood product mfg,2008,"5,231,234"
California,3211,Sawmills & wood preservation,2008,"905,792"
California,3212,"Veneer, plywood, & engineered wood product mfg",2008,"733,716"
California,3219,Other wood product mfg,2008,"3,591,727"
California,322,Paper mfg,2008,"9,869,299"
California,3221,"Pulp, paper, & paperboard mills",2008,"2,074,295"
California,3222,Converted paper product mfg,2008,"7,795,004"
California,323,Printing & related support activities,2008,"8,780,896"
California,3231,Printing & related support activities,2008,"8,780,896"
California,324,Petroleum & coal products mfg,2008,"100,572,800"
California,3241,Petroleum & coal products mfg,2008,"100,572,800"
California,325,Chemical mfg,2008,"45,957,080"
California,3251,Basic chemical mfg,2008,"3,351,100"
California,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"1,736,098"
