table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 1. Annual Estimates of the Population for the United States, Regions, States, and Puerto Rico: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
Geographic Area,Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
United States,"307,006,550","304,374,846","301,579,895","298,593,212","295,753,151","293,045,739","290,326,418","287,803,914","285,081,556","282,171,957","281,424,602","281,421,906"
Northeast,"55,283,679","55,060,196","54,879,379","54,710,026","54,598,185","54,514,298","54,364,452","54,167,735","53,930,017","53,667,506","53,594,828","53,594,378"
Midwest,"66,836,911","66,595,597","66,359,247","66,082,058","65,806,421","65,587,713","65,319,024","65,074,729","64,815,413","64,493,956","64,395,190","64,392,776"
South,"113,317,879","112,021,022","110,573,419","108,930,843","107,411,036","105,874,018","104,431,612","103,185,017","101,868,637","100,559,939","100,235,832","100,236,820"
West,"71,568,081","70,698,031","69,767,850","68,870,285","67,937,509","67,069,710","66,211,330","65,376,433","64,467,489","63,450,556","63,198,752","63,197,932"
.Alabama,"4,708,708","4,677,464","4,637,904","4,597,688","4,545,049","4,512,190","4,490,591","4,472,420","4,464,034","4,451,849","4,447,382","4,447,100"
.Alaska,"698,473","688,125","682,297","677,325","669,488","661,569","650,884","642,691","633,316","627,499","626,931","626,932"
.Arizona,"6,595,778","6,499,377","6,362,241","6,192,100","5,974,834","5,759,425","5,591,206","5,452,108","5,304,417","5,166,697","5,130,607","5,130,632"
.Arkansas,"2,889,450","2,867,764","2,842,194","2,815,097","2,776,221","2,746,161","2,722,291","2,704,732","2,691,068","2,678,288","2,673,386","2,673,400"
.California,"36,961,664","36,580,371","36,226,122","35,979,208","35,795,255","35,558,419","35,251,107","34,876,194","34,485,623","33,994,571","33,871,648","33,871,648"
.Colorado,"5,024,748","4,935,213","4,842,259","4,753,044","4,660,780","4,599,681","4,548,775","4,504,265","4,433,068","4,328,070","4,302,015","4,301,261"
.Connecticut,"3,518,288","3,502,932","3,488,633","3,485,162","3,477,416","3,474,610","3,467,673","3,448,382","3,428,433","3,411,726","3,405,607","3,405,565"
.Delaware,"885,122","876,211","864,896","853,022","839,906","826,639","814,905","804,131","794,620","786,411","783,557","783,600"
.District of Columbia,"599,657","590,074","586,409","583,978","582,049","579,796","577,777","579,585","578,042","571,744","572,055","572,059"
.Florida,"18,537,969","18,423,878","18,277,888","18,088,505","17,783,868","17,375,259","16,981,183","16,680,309","16,353,869","16,047,118","15,982,839","15,982,378"
.Georgia,"9,829,211","9,697,838","9,533,761","9,330,086","9,097,428","8,913,676","8,735,259","8,585,535","8,419,594","8,230,161","8,186,781","8,186,453"
.Hawaii,"1,295,178","1,287,481","1,276,832","1,275,599","1,266,117","1,252,782","1,239,298","1,228,069","1,218,305","1,211,566","1,211,538","1,211,537"
.Idaho,"1,545,801","1,527,506","1,499,245","1,464,413","1,425,862","1,391,718","1,364,109","1,342,149","1,321,170","1,299,551","1,293,955","1,293,953"
.Illinois,"12,910,409","12,842,954","12,779,417","12,718,011","12,674,452","12,645,295","12,597,981","12,558,229","12,507,833","12,437,645","12,419,658","12,419,293"
.Indiana,"6,423,113","6,388,309","6,346,113","6,301,700","6,253,120","6,214,454","6,181,789","6,149,007","6,124,967","6,091,649","6,080,520","6,080,485"
.Iowa,"3,007,856","2,993,987","2,978,719","2,964,391","2,949,450","2,941,358","2,932,799","2,929,264","2,929,424","2,928,184","2,926,380","2,926,324"
.Kansas,"2,818,747","2,797,375","2,775,586","2,755,700","2,741,771","2,730,765","2,721,955","2,712,598","2,701,456","2,692,810","2,688,811","2,688,418"
.Kentucky,"4,314,113","4,287,931","4,256,278","4,219,374","4,182,293","4,147,970","4,118,627","4,091,330","4,069,191","4,048,903","4,042,288","4,041,769"
.Louisiana,"4,492,076","4,451,513","4,376,122","4,240,327","4,497,691","4,489,327","4,474,726","4,466,068","4,460,816","4,468,979","4,468,972","4,468,976"
.Maine,"1,318,301","1,319,691","1,317,308","1,314,963","1,311,631","1,308,253","1,303,102","1,293,938","1,284,791","1,277,211","1,274,915","1,274,923"
.Maryland,"5,699,478","5,658,655","5,634,242","5,612,196","5,582,520","5,542,659","5,496,708","5,439,913","5,375,033","5,310,579","5,296,544","5,296,486"
.Massachusetts,"6,593,587","6,543,595","6,499,275","6,466,399","6,453,031","6,451,279","6,451,637","6,440,978","6,411,730","6,363,015","6,349,119","6,349,097"
.Michigan,"9,969,727","10,002,486","10,050,847","10,082,438","10,090,554","10,089,305","10,066,351","10,038,767","10,006,093","9,955,308","9,938,492","9,938,444"
.Minnesota,"5,266,214","5,230,567","5,191,206","5,148,346","5,106,560","5,079,344","5,047,862","5,017,458","4,982,813","4,933,958","4,919,492","4,919,479"
.Mississippi,"2,951,996","2,940,212","2,921,723","2,897,150","2,900,116","2,886,006","2,867,678","2,858,643","2,853,313","2,848,310","2,844,666","2,844,658"
.Missouri,"5,987,580","5,956,335","5,909,824","5,861,572","5,806,639","5,758,444","5,714,847","5,680,852","5,643,986","5,606,065","5,596,684","5,595,211"
.Montana,"974,989","968,035","957,225","946,230","934,801","925,887","916,750","909,868","905,873","903,293","902,190","902,195"
.Nebraska,"1,796,619","1,781,949","1,769,912","1,760,435","1,751,721","1,742,184","1,733,680","1,725,083","1,717,948","1,713,345","1,711,265","1,711,263"
.Nevada,"2,643,085","2,615,772","2,567,752","2,493,405","2,408,804","2,328,703","2,236,949","2,166,214","2,094,509","2,018,211","1,998,260","1,998,257"
.New Hampshire,"1,324,575","1,321,872","1,317,343","1,311,894","1,301,415","1,292,766","1,281,871","1,271,163","1,256,879","1,240,446","1,235,791","1,235,786"
.New Jersey,"8,707,739","8,663,398","8,636,043","8,623,721","8,621,837","8,611,530","8,583,481","8,544,115","8,489,469","8,430,921","8,414,378","8,414,350"
