"Electricity system own-use losses, and transmission & distribution losses",,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,
,,,,,price,,,,,,,,,,
region,supplysector,output-unit,input-unit,price-unit,1975,,,,,,,,,,Region ID
USA,electricity_net_ownuse,EJ,EJ,1975$/GJ,6.35,,,,,,,,,,1
Canada,electricity_net_ownuse,EJ,EJ,1975$/GJ,6.33,,,,,,,,,,2
Western Europe,electricity_net_ownuse,EJ,EJ,1975$/GJ,6.62,,,,,,,,,,3
Japan,electricity_net_ownuse,EJ,EJ,1975$/GJ,6.70,,,,,,,,,,4
Australia_NZ,electricity_net_ownuse,EJ,EJ,1975$/GJ,6.06,,,,,,,,,,5
Former Soviet Union,electricity_net_ownuse,EJ,EJ,1975$/GJ,8.27,,,,,,,,,,6
China,electricity_net_ownuse,EJ,EJ,1975$/GJ,6.92,,,,,,,,,,7
Middle East,electricity_net_ownuse,EJ,EJ,1975$/GJ,8.76,,,,,,,,,,8
Africa,electricity_net_ownuse,EJ,EJ,1975$/GJ,6.75,,,,,,,,,,9
Latin America,electricity_net_ownuse,EJ,EJ,1975$/GJ,8.24,,,,,,,,,,10
Southeast Asia,electricity_net_ownuse,EJ,EJ,1975$/GJ,7.59,,,,,,,,,,11
Eastern Europe,electricity_net_ownuse,EJ,EJ,1975$/GJ,7.83,,,,,,,,,,12
Korea,electricity_net_ownuse,EJ,EJ,1975$/GJ,7.50,,,,,,,,,,13
India,electricity_net_ownuse,EJ,EJ,1975$/GJ,6.94,,,,,,,,,,14
Subsector shareweights for elect ownuse,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,
,,,share-weight,,,,,,,,,,,,
region,supplysector,subsector,1975 fillout,,,,,,,,,,,,
ALL,electricity_net_ownuse,electricity_net_ownuse,1,,,,,,,,,,,,
non-energy costs,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
670,,,,,,,,,,,,,,,
,,,,non-energy costs,,,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,Region ID
USA,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,1
Canada,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,2
Western Europe,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,3
Japan,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,4
Australia_NZ,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,5
Former Soviet Union,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,6
China,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,7
Middle East,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,8
Africa,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,9
Latin America,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,10
Southeast Asia,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,11
Eastern Europe,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,12
Korea,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,13
India,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,0,0,0,0,0,0,0,0,0,,,14,
Ownuse losses,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,,,,
,,,,,coefficient,,,,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,Region ID,rate of improvement
USA,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.065042116,1.052526974,1.050949288,1.049373968,1.047801008,1.046230406,1.044662159,1.043096262,,1,0.010%
Canada,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.031023016,1.033046521,1.033046521,1.033046521,1.033046521,1.033046521,1.033046521,1.033046521,,2,0.000%
Western Europe,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.060167592,1.052325635,1.050748252,1.049173232,1.047600573,1.046030272,1.044462324,1.042896727,,3,0.010%
Japan,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.043870593,1.041587791,1.040806873,1.040026541,1.039246794,1.038467632,1.037689054,1.036911059,,4,0.005%
Australia_NZ,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.056734838,1.071675754,1.068465224,1.065264312,1.06207299,1.058891228,1.055718997,1.052556271,,5,0.020%
Former Soviet Union,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.058172979,1.075537142,1.072315044,1.069102599,1.065899777,1.062706551,1.059522891,1.056348768,,6,0.020%
China,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.07776198,1.085475953,1.08222408,1.078981949,1.075749531,1.072526797,1.069313717,1.066110263,,7,0.020%
Middle East,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.048954335,1.0520615,1.050484512,1.048909887,1.047337623,1.045767716,1.044200162,1.042634958,,8,0.010%
Africa,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.068381274,1.054711627,1.053130666,1.051552075,1.049975851,1.048401989,1.046830487,1.04526134,,9,0.010%
Latin America,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.035558415,1.033067272,1.033067272,1.033067272,1.033067272,1.033067272,1.033067272,1.033067272,,10,0.000%
Southeast Asia,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.050348167,1.049007733,1.047435323,1.045865269,1.044297569,1.042732218,1.041169214,1.039608553,,11,0.010%
Eastern Europe,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.108945512,1.086877579,1.083621507,1.08037519,1.077138598,1.073911702,1.070694474,1.067486883,,12,0.020%
Korea,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.075036707,1.046019296,1.044451365,1.042885784,1.04132255,1.039761659,1.038203107,1.036646892,,13,0.010%
India,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,1,1.084551401,1.073734653,1.070517955,1.067310893,1.064113439,1.060925564,1.05774724,1.054578437,,14,0.020%
,,,,,,,,,,,,,,,,
Shareweights of elect ownuse technology,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
675,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
region,supplysector,subsector,technology,period,share-weight,,,,,,,,,,,
