# File: FAO_industrial_water_AQUASTAT.csv
# Title: Industrial water withdrawals from FAO AQUASTAT database
# Units: km^3
# Comments: Industrial includes both manufacturing and electric power sector
# Column types: ciciincc 
# ----------
Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Afghanistan,2,Industrial water withdrawal,4252,1987,0,,
Afghanistan,2,Industrial water withdrawal,4252,2000,0.1285,L,
Afghanistan,2,Industrial water withdrawal,4252,2005,0.1695,L,
Albania,3,Industrial water withdrawal,4252,1990,0.1,,
Albania,3,Industrial water withdrawal,4252,2000,0.2274,L,
Albania,3,Industrial water withdrawal,4252,2005,0.2318,L,
Algeria,4,Industrial water withdrawal,4252,1980,0.12,,
Algeria,4,Industrial water withdrawal,4252,1990,0.68,,
Algeria,4,Industrial water withdrawal,4252,2000,0.5,I,
Algeria,4,Industrial water withdrawal,4252,2012,0.415,I,[1]
Algeria,4,Industrial water withdrawal,4252,2017,0.191,,
Angola,7,Industrial water withdrawal,4252,1987,0.048,,
Angola,7,Industrial water withdrawal,4252,2000,0.1845,L,
Angola,7,Industrial water withdrawal,4252,2005,0.2396,L,
Antigua and Barbuda,8,Industrial water withdrawal,4252,1990,0.001,,
Antigua and Barbuda,8,Industrial water withdrawal,4252,2005,0.0018,L,
Antigua and Barbuda,8,Industrial water withdrawal,4252,2012,0.0025,,
Argentina,9,Industrial water withdrawal,4252,1995,2.5,,
Argentina,9,Industrial water withdrawal,4252,2000,3.975,L,
Argentina,9,Industrial water withdrawal,4252,2011,4,,
Armenia,1,Industrial water withdrawal,4252,1995,0.12,,
Armenia,1,Industrial water withdrawal,4252,2002,0.0766,I,
Armenia,1,Industrial water withdrawal,4252,2006,0.125,I,
Armenia,1,Industrial water withdrawal,4252,2012,0.2322,,
Armenia,1,Industrial water withdrawal,4252,2017,0.1224,,
Australia,10,Industrial water withdrawal,4252,2001,2.227,,
Australia,10,Industrial water withdrawal,4252,2005,2.332,,
Australia,10,Industrial water withdrawal,4252,2012,2.688,,
Australia,10,Industrial water withdrawal,4252,2017,2.662,,
Austria,11,Industrial water withdrawal,4252,1980,2.694,E,
Austria,11,Industrial water withdrawal,4252,1985,2.671,E,
Austria,11,Industrial water withdrawal,4252,1990,3.022,E,
Austria,11,Industrial water withdrawal,4252,1997,2.857,E,
Austria,11,Industrial water withdrawal,4252,1999,2.899,E,
Austria,11,Industrial water withdrawal,4252,2008,2.695,E,
Azerbaijan,52,Industrial water withdrawal,4252,1992,4.259,,
Azerbaijan,52,Industrial water withdrawal,4252,1997,2.904,,
Azerbaijan,52,Industrial water withdrawal,4252,2002,2.88,,
Azerbaijan,52,Industrial water withdrawal,4252,2007,3.088,,
Azerbaijan,52,Industrial water withdrawal,4252,2012,3.109,,
Azerbaijan,52,Industrial water withdrawal,4252,2017,3.062,,
Bahrain,13,Industrial water withdrawal,4252,1990,0.01,,
Bahrain,13,Industrial water withdrawal,4252,2003,0.0203,,
Bahrain,13,Industrial water withdrawal,4252,2016,0.0141,,
Bangladesh,16,Industrial water withdrawal,4252,1987,0.225,,
Bangladesh,16,Industrial water withdrawal,4252,1990,0.33,,
Bangladesh,16,Industrial water withdrawal,4252,2008,0.77,,
Barbados,14,Industrial water withdrawal,4252,1996,0.0062,,
Barbados,14,Industrial water withdrawal,4252,2005,0.0062,I,
Belarus,57,Industrial water withdrawal,4252,1995,0.66,I,[2]
Belarus,57,Industrial water withdrawal,4252,2000,0.5445,I,[3]
Belarus,57,Industrial water withdrawal,4252,2005,0.494,I,[4]
Belarus,57,Industrial water withdrawal,4252,2010,0.4875,I,[5]
Belarus,57,Industrial water withdrawal,4252,2017,0.443,,
Belgium,255,Industrial water withdrawal,4252,1980,7.676,,
Belgium,255,Industrial water withdrawal,4252,1997,6.8,E,
Belgium,255,Industrial water withdrawal,4252,2002,5.964,E,
Belgium,255,Industrial water withdrawal,4252,2007,5.45,E,
Belgium,255,Industrial water withdrawal,4252,2009,5.256,E,
Belgium,255,Industrial water withdrawal,4252,2015,3.21,,
Belize,23,Industrial water withdrawal,4252,1987,0,,
Belize,23,Industrial water withdrawal,4252,2000,0.0212,,
Benin,53,Industrial water withdrawal,4252,1985,0.015,,
Benin,53,Industrial water withdrawal,4252,2001,0.03,I,
Bhutan,18,Industrial water withdrawal,4252,1987,0.002,,
Bhutan,18,Industrial water withdrawal,4252,2008,0.003,,
Bolivia (Plurinational State of),19,Industrial water withdrawal,4252,1987,0.062,,
Bolivia (Plurinational State of),19,Industrial water withdrawal,4252,2009,0.032,,
Bosnia and Herzegovina,80,Industrial water withdrawal,4252,2002,0.0199,,
Bosnia and Herzegovina,80,Industrial water withdrawal,4252,2007,0.0392,,
Bosnia and Herzegovina,80,Industrial water withdrawal,4252,2012,0.0721,,
Bosnia and Herzegovina,80,Industrial water withdrawal,4252,2017,0.0718,,
Botswana,20,Industrial water withdrawal,4252,1992,0.023,,
Botswana,20,Industrial water withdrawal,4252,1995,0.0275,I,
Botswana,20,Industrial water withdrawal,4252,2000,0.035,,[6]
Botswana,20,Industrial water withdrawal,4252,2005,0.0389,L,
Botswana,20,Industrial water withdrawal,4252,2012,0.0363,,
Botswana,20,Industrial water withdrawal,4252,2017,0.0234,,
Brazil,21,Industrial water withdrawal,4252,1996,9.94,,
Brazil,21,Industrial water withdrawal,4252,2006,10.14,,
Brazil,21,Industrial water withdrawal,4252,2010,12.72,,
Brazil,21,Industrial water withdrawal,4252,2017,9.511,,
Bulgaria,27,Industrial water withdrawal,4252,1990,4.852,E,
Bulgaria,27,Industrial water withdrawal,4252,2002,4.776,E,
Bulgaria,27,Industrial water withdrawal,4252,2012,3.817,,
Bulgaria,27,Industrial water withdrawal,4252,2017,3.942,I,
Burkina Faso,233,Industrial water withdrawal,4252,1985,0,,
Burkina Faso,233,Industrial water withdrawal,4252,1992,0,,
Burkina Faso,233,Industrial water withdrawal,4252,1995,0.003,I,
Burkina Faso,233,Industrial water withdrawal,4252,2000,0.0161,L,
Burkina Faso,233,Industrial water withdrawal,4252,2005,0.0217,L,
Burundi,29,Industrial water withdrawal,4252,1987,0,,
Burundi,29,Industrial water withdrawal,4252,2000,0.017,I,
Burundi,29,Industrial water withdrawal,4252,2005,0.015,L,
Cabo Verde,35,Industrial water withdrawal,4252,2001,4.00E-04,,
Cambodia,115,Industrial water withdrawal,4252,1987,0.0052,,
Cambodia,115,Industrial water withdrawal,4252,2006,0.033,,
Cameroon,32,Industrial water withdrawal,4252,1987,0.076,,
Cameroon,32,Industrial water withdrawal,4252,1992,0.076,,
Cameroon,32,Industrial water withdrawal,4252,2000,0.0683,L,
Cameroon,32,Industrial water withdrawal,4252,2005,0.1046,L,
Canada,33,Industrial water withdrawal,4252,1991,36,E,
Canada,33,Industrial water withdrawal,4252,1996,32.91,E,
Canada,33,Industrial water withdrawal,4252,2000,31.57,L,
Canada,33,Industrial water withdrawal,4252,2007,33.12,E,
Canada,33,Industrial water withdrawal,4252,2015,28.07,,
Central African Republic,37,Industrial water withdrawal,4252,1987,0.004,,
Central African Republic,37,Industrial water withdrawal,4252,2000,0.011,L,
Central African Republic,37,Industrial water withdrawal,4252,2005,0.012,L,
Chad,39,Industrial water withdrawal,4252,1987,0.004,,
Chad,39,Industrial water withdrawal,4252,2000,0.0885,L,
Chad,39,Industrial water withdrawal,4252,2005,0.1037,L,
Chile,40,Industrial water withdrawal,4252,1975,0.84,,
Chile,40,Industrial water withdrawal,4252,1992,2.211,,
Chile,40,Industrial water withdrawal,4252,2000,2.324,L,
Chile,40,Industrial water withdrawal,4252,2006,4.744,,
China,351,Industrial water withdrawal,4252,1980,45.73,,
China,351,Industrial water withdrawal,4252,1985,36.17,I,
China,351,Industrial water withdrawal,4252,1990,50,,
China,351,Industrial water withdrawal,4252,1993,92.55,,
China,351,Industrial water withdrawal,4252,2000,113.9,,
China,351,Industrial water withdrawal,4252,2007,140.3,,
China,351,Industrial water withdrawal,4252,2012,142.4,,
China,351,Industrial water withdrawal,4252,2015,133.5,,
Colombia,44,Industrial water withdrawal,4252,2000,0.359,,
Colombia,44,Industrial water withdrawal,4252,2008,2.242,,[7]
Colombia,44,Industrial water withdrawal,4252,2016,3.73,,
Comoros,45,Industrial water withdrawal,4252,1999,5.00E-04,,
Congo,46,Industrial water withdrawal,4252,1987,0.0108,,
Congo,46,Industrial water withdrawal,4252,2002,0.01,,
Congo,46,Industrial water withdrawal,4252,2005,0.024,L,
Costa Rica,48,Industrial water withdrawal,4252,2012,0.086,,
Costa Rica,48,Industrial water withdrawal,4252,2015,0.24,,
Cote dIvoire,107,Industrial water withdrawal,4252,1987,0.078,,
Cote dIvoire,107,Industrial water withdrawal,4252,1994,0.27,,
Cote dIvoire,107,Industrial water withdrawal,4252,2000,0.2696,L,
Cote dIvoire,107,Industrial water withdrawal,4252,2005,0.318,L,
Cote dIvoire,107,Industrial water withdrawal,4252,2014,0.242,,
Croatia,98,Industrial water withdrawal,4252,2002,0.0628,E,
Croatia,98,Industrial water withdrawal,4252,2012,0.1477,E,
Croatia,98,Industrial water withdrawal,4252,2017,0.184,,
Cuba,49,Industrial water withdrawal,4252,1975,0.162,,
Cuba,49,Industrial water withdrawal,4252,1995,0.765,,
Cuba,49,Industrial water withdrawal,4252,2007,0.7607,I,
Cuba,49,Industrial water withdrawal,4252,2013,0.74,,
Cyprus,50,Industrial water withdrawal,4252,1975,0,I,
Cyprus,50,Industrial water withdrawal,4252,1980,0,I,
Cyprus,50,Industrial water withdrawal,4252,1985,0,I,
Cyprus,50,Industrial water withdrawal,4252,1990,0.005,,
Cyprus,50,Industrial water withdrawal,4252,1993,0.005,,
Cyprus,50,Industrial water withdrawal,4252,2000,0.0035,L,
Cyprus,50,Industrial water withdrawal,4252,2007,0.008,I,
Cyprus,50,Industrial water withdrawal,4252,2009,0.006,I,
Cyprus,50,Industrial water withdrawal,4252,2017,0.017,I,
Czech Republic,167,Industrial water withdrawal,4252,1997,1.514,E,
Czech Republic,167,Industrial water withdrawal,4252,2012,0.2355,E,
Czech Republic,167,Industrial water withdrawal,4252,2017,0.9672,,
Democratic Peoples Republic of Korea,116,Industrial water withdrawal,4252,1987,2.27,,
Democratic Peoples Republic of Korea,116,Industrial water withdrawal,4252,2000,1.088,L,
Democratic Peoples Republic of Korea,116,Industrial water withdrawal,4252,2005,1.145,L,
Democratic Republic of the Congo,250,Industrial water withdrawal,4252,1990,0.058,,
Democratic Republic of the Congo,250,Industrial water withdrawal,4252,2000,0.1229,L,
Democratic Republic of the Congo,250,Industrial water withdrawal,4252,2005,0.1468,L,
Denmark,54,Industrial water withdrawal,4252,1970,0.08,E,
Denmark,54,Industrial water withdrawal,4252,1975,0.045,E,
Denmark,54,Industrial water withdrawal,4252,1980,0.045,E,
Denmark,54,Industrial water withdrawal,4252,1985,0.33,E,
Denmark,54,Industrial water withdrawal,4252,1990,0.225,E,
Denmark,54,Industrial water withdrawal,4252,2002,0.0619,E,
Denmark,54,Industrial water withdrawal,4252,2007,0.0423,E,
Denmark,54,Industrial water withdrawal,4252,2012,0.141,I,
Denmark,54,Industrial water withdrawal,4252,2016,0.0329,,
Djibouti,72,Industrial water withdrawal,4252,1985,0,,
Djibouti,72,Industrial water withdrawal,4252,2000,0,,
Dominica,55,Industrial water withdrawal,4252,2010,0,I,
Dominican Republic,56,Industrial water withdrawal,4252,2000,0.065,L,
Dominican Republic,56,Industrial water withdrawal,4252,2005,0.259,,
Dominican Republic,56,Industrial water withdrawal,4252,2010,0.586,,
Dominican Republic,56,Industrial water withdrawal,4252,2015,0.6599,,[8]
Ecuador,58,Industrial water withdrawal,4252,2000,0.3852,L,
Ecuador,58,Industrial water withdrawal,4252,2005,0.549,L,
Egypt,59,Industrial water withdrawal,4252,1995,4.429,I,
Egypt,59,Industrial water withdrawal,4252,2000,4,,[9]
Egypt,59,Industrial water withdrawal,4252,2012,1.2,,
Egypt,59,Industrial water withdrawal,4252,2017,5.4,,
El Salvador,60,Industrial water withdrawal,4252,1992,0.147,,
El Salvador,60,Industrial water withdrawal,4252,2000,0.2369,L,
El Salvador,60,Industrial water withdrawal,4252,2005,0.213,,
Equatorial Guinea,61,Industrial water withdrawal,4252,1987,0.0013,,
Equatorial Guinea,61,Industrial water withdrawal,4252,2000,0.0026,L,
Equatorial Guinea,61,Industrial water withdrawal,4252,2005,0.003,L,
Eritrea,178,Industrial water withdrawal,4252,2000,0.0617,L,
Eritrea,178,Industrial water withdrawal,4252,2004,0.001,,
Estonia,63,Industrial water withdrawal,4252,1992,2.253,E,
Estonia,63,Industrial water withdrawal,4252,1995,1.262,,[10]
Estonia,63,Industrial water withdrawal,4252,2012,0.2451,,
Estonia,63,Industrial water withdrawal,4252,2017,0.2145,,
Swaziland,209,Industrial water withdrawal,4252,1980,0.016,,
Swaziland,209,Industrial water withdrawal,4252,2000,0.012,I,
Swaziland,209,Industrial water withdrawal,4252,2005,0.0207,L,
Ethiopia,238,Industrial water withdrawal,4252,2002,0.021,I,
Ethiopia,238,Industrial water withdrawal,4252,2005,0.0511,L,
Fiji,66,Industrial water withdrawal,4252,1987,0.006,,
Fiji,66,Industrial water withdrawal,4252,2000,0.0088,I,
Fiji,66,Industrial water withdrawal,4252,2005,0.0096,I,
Finland,67,Industrial water withdrawal,4252,1990,1.903,E,
Finland,67,Industrial water withdrawal,4252,1995,2.124,E,
Finland,67,Industrial water withdrawal,4252,2017,15,,
France,68,Industrial water withdrawal,4252,1985,24.51,E,
France,68,Industrial water withdrawal,4252,1992,28.32,E,
