# File: FAO_municipal_water_AQUASTAT.csv
# Title: Municipal water withdrawals from FAO AQUASTAT database
# Units: km^3
#Comments: missing data for Taiwan filled in from municipal.water.demand.32.csv
Area,AreaId,VariableName,VariableId,Year,Value,Symbol,Md
Afghanistan,2,Municipal water withdrawal,4251,1987,0.2611,,
Afghanistan,2,Municipal water withdrawal,4251,2000,0.1542,L,
Afghanistan,2,Municipal water withdrawal,4251,2005,0.2034,L,
Albania,3,Municipal water withdrawal,4251,1990,0.1,,
Albania,3,Municipal water withdrawal,4251,2000,0.5504,L,
Albania,3,Municipal water withdrawal,4251,2005,0.5613,L,
Algeria,4,Municipal water withdrawal,4251,1980,0.66,,
Algeria,4,Municipal water withdrawal,4251,1990,1.12,,
Algeria,4,Municipal water withdrawal,4251,2000,1.721,I,
Algeria,4,Municipal water withdrawal,4251,2012,3.02,I,
Angola,7,Municipal water withdrawal,4251,1987,0.067,,
Angola,7,Municipal water withdrawal,4251,2000,0.246,L,
Angola,7,Municipal water withdrawal,4251,2005,0.3195,L,
Antigua and Barbuda,8,Municipal water withdrawal,4251,1990,0.003,,
Antigua and Barbuda,8,Municipal water withdrawal,4251,2005,0.0053,L,
Antigua and Barbuda,8,Municipal water withdrawal,4251,2012,0.0072,,
Argentina,9,Municipal water withdrawal,4251,1995,4.56,,
Argentina,9,Municipal water withdrawal,4251,2011,5.85,,
Armenia,1,Municipal water withdrawal,4251,1995,0.865,,
Armenia,1,Municipal water withdrawal,4251,2002,0.5168,I,
Armenia,1,Municipal water withdrawal,4251,2006,0.843,I,
Australia,10,Municipal water withdrawal,4251,2001,4.443,,
Australia,10,Municipal water withdrawal,4251,2005,4.191,,
Australia,10,Municipal water withdrawal,4251,2012,3.744,,
Austria,11,Municipal water withdrawal,4251,1980,0.5582,E,
Austria,11,Municipal water withdrawal,4251,1985,0.7088,E,
Austria,11,Municipal water withdrawal,4251,1990,0.6851,E,
Austria,11,Municipal water withdrawal,4251,1997,0.6871,E,
Austria,11,Municipal water withdrawal,4251,1999,0.6687,E,
Austria,11,Municipal water withdrawal,4251,2010,0.72,E,
Azerbaijan,52,Municipal water withdrawal,4251,1997,0.222,,
Azerbaijan,52,Municipal water withdrawal,4251,2002,0.503,,
Azerbaijan,52,Municipal water withdrawal,4251,2005,0.521,,
Bahamas,12,Municipal water withdrawal,4251,2000,0.025,,
Bahrain,13,Municipal water withdrawal,4251,1990,0.094,,
Bahrain,13,Municipal water withdrawal,4251,2003,0.1779,,
Bangladesh,16,Municipal water withdrawal,4251,1987,0.675,,
Bangladesh,16,Municipal water withdrawal,4251,1990,1.7,,
Bangladesh,16,Municipal water withdrawal,4251,2008,3.6,,
Barbados,14,Municipal water withdrawal,4251,1996,0.02,I,
Barbados,14,Municipal water withdrawal,4251,2005,0.02,I,
Belarus,57,Municipal water withdrawal,4251,1995,0.752,I,
Belarus,57,Municipal water withdrawal,4251,2000,0.8505,I,
Belarus,57,Municipal water withdrawal,4251,2005,0.803,I,
