# File: __TEMP_L125.LC_bm2_R_GLU.csv
# Title: Total land cover by GCAM region and GLU (TEMP FILE)
# Units: bm2
"GCAM_region_ID","GLU","LC_bm2"
13,"GLU001",1962.97109
23,"GLU001",51.45264
8,"GLU002",2636.11471
23,"GLU003",1092.68509
23,"GLU004",2888.22733
23,"GLU005",623.64261
23,"GLU006",2315.32854
1,"GLU007",1395.61709
8,"GLU007",647.68451
13,"GLU008",30.6958
16,"GLU008",269.64659
23,"GLU008",204.57331
23,"GLU009",638.64999
8,"GLU010",1628.48249
16,"GLU011",92.05983
13,"GLU012",425.78081
16,"GLU012",16.96817
13,"GLU013",236.11447
23,"GLU013",13.40905
23,"GLU014",274.92209
8,"GLU015",1517.65328
13,"GLU016",70.26147
13,"GLU017",3.62473
14,"GLU017",0.33182
23,"GLU017",179.43927
10,"GLU018",9.68287
23,"GLU018",1474.84098
8,"GLU019",484.82266
12,"GLU020",77.18745
23,"GLU020",19.4431
12,"GLU021",0.05112
13,"GLU021",65.14764
12,"GLU022",18.09514
23,"GLU022",32.54946
1,"GLU023",145.86969
8,"GLU023",886.51009
13,"GLU024",78.3767899999999
12,"GLU025",24.71939
14,"GLU025",31.63163
23,"GLU025",26.0107
13,"GLU026",146.16122
1,"GLU027",0.28189
8,"GLU027",221.83126
13,"GLU028",62.67342
12,"GLU029",112.26315
13,"GLU029",5.15841
12,"GLU030",169.08097
14,"GLU030",22.70109
12,"GLU031",50.96976
13,"GLU031",91.0708999999999
13,"GLU032",191.61859
16,"GLU032",26.99956
12,"GLU033",28.49796
23,"GLU033",8.6551
8,"GLU034",88.21444
12,"GLU035",49.6525
14,"GLU035",44.13309
23,"GLU035",1.87648
13,"GLU036",24.83723
11,"GLU037",32.07067
23,"GLU037",101.42337
29,"GLU037",10.07553
10,"GLU038",97.74501
23,"GLU038",120.06677
14,"GLU039",406.85307
23,"GLU039",101.10267
8,"GLU040",236.19563
13,"GLU041",101.60531
10,"GLU042",1020.86265
11,"GLU042",1099.8933
23,"GLU042",24.68446
10,"GLU043",187.35717
11,"GLU043",878.21666
23,"GLU043",993.78918
13,"GLU044",118.93088
10,"GLU045",336.27538
23,"GLU045",162.54938
13,"GLU046",74.93873
10,"GLU047",0.911260000000001
14,"GLU047",145.94989
23,"GLU047",101.66081
10,"GLU048",321.85065
23,"GLU048",2239.14259
12,"GLU049",0.16724
14,"GLU049",72.1679999999999
13,"GLU050",72.8374
19,"GLU051",358.60382
10,"GLU052",630.92004
21,"GLU052",138.28066
27,"GLU052",98.62447
14,"GLU053",53.38559
23,"GLU053",382.41186
12,"GLU054",457.48718
13,"GLU054",136.79126
14,"GLU054",43.03607
15,"GLU054",157.14235
16,"GLU054",1.86109
12,"GLU055",70.92411
13,"GLU055",121.79567
15,"GLU055",123.09349
10,"GLU056",740.21006
11,"GLU056",89.3257
23,"GLU056",2152.55634
13,"GLU057",84.7306
16,"GLU057",3.90128000000001
10,"GLU058",573.59796
11,"GLU058",0.45048
22,"GLU058",0.06928
27,"GLU058",164.1074
13,"GLU059",65.80498
13,"GLU060",80.45188
13,"GLU061",30.03901
13,"GLU062",89.85671
16,"GLU062",7.02216
13,"GLU063",58.93955
13,"GLU064",79.14675
28,"GLU065",94.36789
29,"GLU065",76.55768
11,"GLU066",316.44429
29,"GLU066",33.69366
