# File: basin_water_demand_1990_2010.csv
# Title: water demand (all sectors) by basin for water supply calibration period
# Source: queried from prior GCAM calibration period run
# Comments: This data is used solely for calibrating accessible water fractions using historical runoff and groundwater extraction rates. It is not used to set up water demand in GCAM. Actual GCAM Water demands are determined dynamically within the model for each sector (see sean.turner@pnnl.gov for details)
# Units: km^3/yr
# Column types: iin
# ----------
basin.id,year,demand
55,1990,15.0914
55,2005,17.3037
55,2010,17.1995
171,1990,1.7239
171,2005,2.9934
171,2010,3.8269
190,1990,0.7234
190,2005,1.1257
190,2010,1.2044
144,1990,3.0618
144,2005,5.6283
144,2010,7.213
86,1990,10.0768
86,2005,16.5824
86,2010,19.316
100,1990,0.6039
100,2005,0.9664
100,2010,1.0677
197,1990,0.1125
197,2005,0.1804
197,2010,0.1945
142,1990,1.1319
142,2005,3.2377
142,2010,1.8988
168,1990,4.9007
168,2005,7.6667
168,2010,8.5338
58,1990,66.2726
58,2005,45.8593
58,2010,47.1339
43,1990,30.6089
43,2005,44.5554
43,2010,51.6201
182,1990,0.309
182,2005,0.5462
182,2010,0.6172
94,1990,15.0806
94,2005,23.7856
94,2010,23.4766
104,1990,3.1963
104,2005,5.1897
104,2010,5.6775
1,1990,0.0063
1,2005,0.0052
1,2010,0.0056
224,1990,19.9724
224,2005,24.5448
224,2010,24.622
19,1990,1.1249
19,2005,1.5192
19,2010,1.4814
189,1990,7.9315
189,2005,13.0285
189,2010,11.4143
193,1990,0.4538
193,2005,0.749
193,2010,0.664
184,1990,0.4357
184,2005,0.6724
184,2010,0.6062
202,1990,0.7803
202,2005,1.305
202,2010,1.165
191,1990,0.9734
191,2005,1.6367
191,2010,1.4639
91,1990,0.6437
91,2005,0.8044
91,2010,0.8626
20,1990,2.6046
20,2005,2.0796
20,2010,1.9698
116,1990,0.7663
116,2005,1.175
116,2010,1.5418
47,1990,12.153
47,2005,7.8722
47,2010,8.5671
70,1990,10.5367
70,2005,12.5616
70,2010,14.13
66,1990,25.3242
66,2005,38.6621
66,2010,45.1126
120,1990,1.9994
120,2005,3.3126
120,2010,3.8521
217,1990,29.1028
217,2005,34.2409
217,2010,32.6846
101,1990,10.9373
101,2005,10.3033
101,2010,10.4407
143,1990,4.0873
143,2005,9.0501
143,2010,5.8066
52,1990,47.2575
52,2005,40.7225
52,2010,39.3996
72,1990,26.5356
72,2005,34.6528
72,2010,36.1375
45,1990,7.8336
45,2005,4.9341
45,2010,5.8313
153,1990,11.0938
153,2005,15.5534
153,2010,17.6118
82,1990,27.2861
82,2005,44.8447
82,2010,42.8766
214,1990,0.0431
214,2005,0.0503
214,2010,0.0556
146,1990,18.5647
146,2005,31.2305
146,2010,35.9
78,1990,51.8613
78,2005,70.3829
78,2010,80.7408
34,1990,0.032
34,2005,0.0429
34,2010,0.0416
157,1990,4.2027
157,2005,6.4997
157,2010,7.4148
183,1990,0.9103
183,2005,2.8279
183,2010,2.8279
54,1990,25.4745
54,2005,23.7146
54,2010,23.1342
25,1990,1.9916
25,2005,1.4054
25,2010,1.3464
95,1990,2.4783
95,2005,4.4772
95,2010,4.6309
21,1990,4.6286
21,2005,5.1582
21,2010,4.7083
39,1990,27.301
39,2005,16.4971
39,2010,16.195
49,1990,4.5911
49,2005,2.9296
49,2010,3.0209
53,1990,17.4478
53,2005,10.8853
53,2010,11.6288
74,1990,6.7834
74,2005,7.1883
74,2010,6.9746
186,1990,2.8925
186,2005,4.4609
186,2010,5.6791
99,1990,3.1699
99,2005,5.4152
99,2010,5.1802
73,1990,6.7215
73,2005,7.3125
73,2010,7.1202
31,1990,10.6335
31,2005,10.9685
31,2010,10.0153
28,1990,5.7132
28,2005,6.3723
28,2010,5.7941
26,1990,16.9248
26,2005,18.9217
26,2010,17.1796
90,1990,0.9985
90,2005,1.55
90,2010,1.77
13,1990,1.918
13,2005,2.1159
13,2010,1.9359
181,1990,0.0097
181,2005,0.0227
181,2010,0.0256
61,1990,2.4736
61,2005,2.7657
61,2010,2.5455
41,1990,5.6354
41,2005,6.19
41,2010,5.825
27,1990,1.4625
27,2005,1.9591
27,2010,1.9049
110,1990,207.8873
110,2005,292.2856
110,2010,338.2137
64,1990,3.2187
64,2005,3.6099
64,2010,3.5172
42,1990,18.8256
42,2005,27.6291
42,2010,32.2131
123,1990,26.834
123,2005,39.7327
123,2010,46.3614
222,1990,2.795
222,2005,2.9582
222,2010,2.8799
227,1990,39.6243
227,2005,50.2049
227,2010,48.7879
133,1990,1.8174
133,2005,2.4694
133,2010,2.5467
83,1990,7.4465
83,2005,8.9354
83,2010,8.7682
81,1990,5.2058
81,2005,5.73
81,2010,5.771
162,1990,0.2215
162,2005,0.7214
162,2010,0.3599
148,1990,3.4649
148,2005,5.9486
148,2010,6.8623
124,1990,1.6057
124,2005,2.7245
124,2010,3.1566
102,1990,1.3663
102,2005,2.2982
102,2010,2.5445
234,1990,0.4382
234,2005,0.4722
234,2010,0.4422
97,1990,3.3248
97,2005,5.1222
97,2010,5.9828
109,1990,6.3892
109,2005,11.4268
109,2010,13.4736
79,1990,46.8624
79,2005,68.488
79,2010,80.1283
15,1990,0.6308
15,2005,0.8447
15,2010,0.8205
11,1990,0.0848
11,2005,0.093
11,2010,0.1195
145,1990,8.8623
145,2005,12.2766
145,2010,13.8983
128,1990,4.1062
128,2005,5.7863
128,2010,6.5302
155,1990,8.6715
155,2005,11.6421
155,2010,12.8985
129,1990,3.939
129,2005,6.6155
129,2010,7.6259
89,1990,177.7477
89,2005,263.0508
89,2010,288.0009
24,1990,2.2768
24,2005,2.5222
24,2010,2.3176
167,1990,1.661
167,2005,4.2292
167,2010,4.4429
137,1990,5.094
137,2005,8.6372
137,2010,9.9366
136,1990,1.1025
136,2005,1.5342
136,2010,1.6106
50,1990,7.4106
50,2005,8.244
50,2010,7.7233
59,1990,4.2938
59,2005,4.783
59,2010,4.5295
51,1990,42.3794
51,2005,41.7414
51,2010,39.3831
175,1990,23.4459
175,2005,30.7078
175,2010,35.0139
165,1990,1.823
165,2005,4.3061
165,2010,4.5608
5,1990,0.464
5,2005,0.384
5,2010,0.4172
140,1990,38.1981
140,2005,53.4533
140,2010,61.4033
206,1990,22.2884
206,2005,32.1703
206,2010,37.1745
200,1990,0.6619
200,2005,1.0335
200,2010,1.0974
68,1990,7.5071
68,2005,7.3623
68,2010,8.2581
151,1990,1.6126
151,2005,2.9718
151,2010,2.5638
6,1990,3.5115
6,2005,2.8911
6,2010,3.1405
199,1990,5.1108
199,2005,6.4193
199,2010,6.5949
44,1990,5.0106
44,2005,5.4678
44,2010,5.1782
221,1990,6.3268
221,2005,6.9815
221,2010,6.4609
219,1990,28.5932
219,2005,36.3425
219,2010,34.9778
10,1990,1.8582
10,2005,2.4864
10,2010,2.4149
177,1990,7.023
177,2005,10.1289
177,2010,13.8457
166,1990,4.7476
166,2005,6.073
166,2010,6.2799
122,1990,7.6113
122,2005,11.7552
122,2010,13.4046
113,1990,3.3997
113,2005,5.0044
113,2010,6.0027
203,1990,1.5301
203,2005,1.9914
203,2010,2.2205
75,1990,26.6024
75,2005,35.8123
75,2010,36.3461
63,1990,3.6413
