"# modifications to default demand assumptions, by region",,,,,
region_GCAM3,energy.final.demand,X1971,X2020,X2050,X2100
Former Soviet Union,trn_pass,0.8,0.8,0.8,0.8
Africa,trn_aviation_intl,1,1,1,1
Australia_NZ,trn_aviation_intl,0.5,0.5,0.5,0.5
Brazil,trn_aviation_intl,1,1,1,1
Canada,trn_aviation_intl,1.25,1.25,1.25,1.25
China,trn_aviation_intl,1.25,1.25,1.25,1.25
Eastern Europe,trn_aviation_intl,1.1,1.1,1.1,1.1
Former Soviet Union,trn_aviation_intl,0.75,0.75,0.75,0.75
India,trn_aviation_intl,1.25,1.25,1.25,1.25
Japan,trn_aviation_intl,1.25,1.25,1.25,1.25
Korea,trn_aviation_intl,2,2,2,2
Latin America,trn_aviation_intl,1,1,1,1
Middle East,trn_aviation_intl,0.5,0.5,0.5,0.5
Southeast Asia,trn_aviation_intl,0.75,0.75,0.75,0.75
USA,trn_aviation_intl,1,1,1,1
Western Europe,trn_aviation_intl,0.8,0.8,0.8,0.8
