# Primary energy transformation subsector shareweights,,,,
supplysector,subsector,year.fillout,year,share.weight
gas processing,natural gas,start-year,,1
gas processing,biomass gasification,start-year,,1
gas processing,coal gasification,start-year,,1
nuclearFuelGenII,enrichedUranium,start-year,,1
nuclearFuelGenIII,enrichedUranium,start-year,,1
refining,oil refining,start-year,,1
refining,biomass liquids,initial-future-year,,1
refining,coal to liquids,initial-future-year,,0
refining,coal to liquids,end-year,,0.1
refining,gas to liquids,initial-future-year,,0
refining,gas to liquids,end-year,,0.25
