Population,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,
,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,,
region,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,,
Africa,412028,630697,919484,1032840,1134742,1225761,1319913,1404323,1493557,1559406,1630097,1683839,1755813,1809448,1864499,1893855,1922680,1937867,1948830,1944503,1928285,,
Australia_NZ,16909,20532,24548,25835,27057,28226,29387,30430,31400,32164,32819,33278,33647,33809,33832,33652,33363,32961,32509,32029,31592,,
Canada,23139,27698,32318,33896,35040,35934,36799,37386,37910,38126,38344,38425,38630,38755,38938,39070,39283,39521,39813,40094,40343,,
China,980561,1223291,1426771,1469426,1511917,1544737,1564310,1574451,1574778,1564877,1548112,1523878,1500563,1473884,1449614,1422749,1399717,1376916,1355263,1328750,1293598,,
Eastern Europe,112678,122883,119100,118410,117147,115835,114477,112907,110998,109156,106905,104655,101539,98436,94866,91661,88225,85111,82267,80347,79646,,
Former Soviet Union,254228,289091,284342,283390,283487,284059,284080,284395,283991,284128,283238,282204,279466,276550,272704,269095,264977,261167,257763,255727,255638,,
India,606142,849515,1094583,1214464,1291722,1352178,1412225,1456108,1494751,1521585,1544450,1561583,1569149,1569662,1559181,1544504,1519125,1487947,1449540,1411441,1377394,,
Japan,111469,123478,127773,126995,126369,125521,124121,122841,121335,120020,118428,116732,114698,112501,110071,107461,104726,101995,99478,97414,96155,,
Korea,35278,42869,48138,48501,48866,48896,48574,48264,47965,47528,47119,46495,46156,45559,45025,44054,43149,42102,41194,40297,39629,,
Latin America,319222,436676,549919,584391,619954,654891,686786,717081,743913,770226,793205,815184,833139,850658,866087,881779,895362,907541,916824,923083,924592,,
Middle East,76657,131495,188106,210542,232198,253011,273172,292929,312247,330563,347974,363789,378471,390958,401515,409339,415117,418699,420752,421589,422203,,
Southeast Asia,474445,666169,875769,955566,1033074,1108389,1180396,1247683,1308968,1364412,1412063,1452295,1482438,1504280,1516383,1520705,1515847,1503409,1483694,1458934,1430679,,
USA,215079,250181,299730,321704,336265,349627,365110,379007,393314,407363,421860,437135,450656,464450,476574,489725,501034,512070,521816,532323,544015,,
Western Europe,402474,434467,473526,485073,490863,493372,496156,495666,495146,489924,485052,477411,471984,464058,456467,446389,437248,428119,420708,414689,411450,,
,,,,,,,,,,,,,,,,,,,,,,,
Labor Force Participation Rate,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,
,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,,
region,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,,
Africa,0.425,0.440,0.419,0.434,0.446,0.457,0.466,0.475,0.480,0.491,0.497,0.505,0.502,0.500,0.491,0.486,0.475,0.464,0.452,0.446,0.446,,
Australia_NZ,0.446,0.499,0.510,0.508,0.500,0.491,0.480,0.472,0.464,0.462,0.460,0.460,0.458,0.458,0.455,0.454,0.449,0.445,0.440,0.437,0.440,,
Canada,0.453,0.542,0.527,0.533,0.530,0.524,0.514,0.503,0.491,0.482,0.472,0.466,0.456,0.449,0.440,0.434,0.427,0.420,0.413,0.408,0.406,,
China,0.522,0.574,0.609,0.609,0.614,0.620,0.620,0.615,0.603,0.586,0.564,0.541,0.515,0.493,0.474,0.463,0.457,0.456,0.457,0.457,0.448,,
Eastern Europe,0.506,0.489,0.515,0.514,0.505,0.493,0.477,0.464,0.450,0.445,0.439,0.440,0.434,0.434,0.430,0.432,0.431,0.430,0.427,0.427,0.430,,
Former Soviet Union,0.502,0.498,0.515,0.509,0.502,0.493,0.485,0.477,0.470,0.462,0.456,0.450,0.447,0.443,0.440,0.436,0.433,0.430,0.429,0.428,0.430,,
India,0.432,0.430,0.447,0.458,0.468,0.476,0.483,0.488,0.491,0.492,0.490,0.486,0.482,0.475,0.467,0.457,0.447,0.437,0.428,0.422,0.418,,
Japan,0.502,0.518,0.525,0.515,0.503,0.489,0.476,0.464,0.453,0.446,0.440,0.437,0.434,0.433,0.433,0.434,0.434,0.435,0.435,0.435,0.435,,
Korea,0.383,0.458,0.606,0.575,0.547,0.522,0.500,0.481,0.465,0.455,0.446,0.440,0.432,0.427,0.420,0.416,0.410,0.405,0.398,0.394,0.393,,
Latin America,0.347,0.387,0.431,0.436,0.442,0.448,0.450,0.450,0.445,0.441,0.433,0.427,0.416,0.408,0.400,0.397,0.395,0.395,0.395,0.394,0.390,,
Middle East,0.292,0.285,0.311,0.324,0.343,0.364,0.384,0.402,0.415,0.428,0.435,0.441,0.439,0.438,0.433,0.432,0.428,0.427,0.424,0.422,0.419,,
Southeast Asia,0.420,0.445,0.463,0.467,0.465,0.459,0.452,0.444,0.437,0.426,0.418,0.408,0.404,0.398,0.394,0.385,0.379,0.371,0.365,0.359,0.355,,
USA,0.447,0.494,0.508,0.504,0.497,0.489,0.480,0.471,0.462,0.457,0.450,0.447,0.440,0.436,0.431,0.428,0.425,0.422,0.418,0.417,0.416,,
Western Europe,0.434,0.463,0.471,0.471,0.468,0.464,0.458,0.453,0.445,0.441,0.434,0.429,0.418,0.409,0.396,0.387,0.375,0.365,0.355,0.351,0.354,,
,,,,,,,,,,,,,,,,,,,,,,,
Labor Productivity Growth Rate,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,
30,,,1990-2005,2005-2010,,,,,,,,,,,,,,,,,,,
,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,,
region,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,,
Africa,0.00000,-0.00415,0.00911,0.01201,0.01223,0.01233,0.01233,0.01131,0.01238,0.01246,0.01634,0.01976,0.02618,0.02990,0.03398,0.03562,0.03716,0.03704,0.03627,0.03451,0.03233,,
Australia_NZ,0.00000,0.00621,0.02286,0.00922,0.01663,0.01669,0.01646,0.01564,0.01508,0.01398,0.01363,0.01302,0.01325,0.01294,0.01311,0.01292,0.01316,0.01319,0.01328,0.01310,0.01282,,
Canada,0.00000,0.00659,0.01934,-0.00466,0.01684,0.01568,0.01535,0.01562,0.01598,0.01658,0.01685,0.01712,0.01701,0.01700,0.01677,0.01663,0.01635,0.01617,0.01604,0.01606,0.01621,,
China,0.00000,0.05924,0.08354,0.08401,0.06637,0.05683,0.05238,0.04963,0.04800,0.04615,0.04469,0.04283,0.04111,0.03896,0.03687,0.03459,0.03242,0.03017,0.02795,0.02569,0.02341,,
Eastern Europe,0.00000,0.01015,0.02302,0.02833,0.03888,0.03687,0.03329,0.03312,0.03097,0.03321,0.03129,0.03196,0.02911,0.02974,0.02862,0.02917,0.02802,0.02757,0.02669,0.02626,0.02568,,
Former Soviet Union,0.00000,0.00075,-0.00726,0.03192,0.03888,0.03687,0.03329,0.03312,0.03097,0.03321,0.03129,0.03196,0.02911,0.02974,0.02862,0.02917,0.02802,0.02757,0.02669,0.02626,0.02568,,
India,0.00000,0.02580,0.03944,0.04650,0.04848,0.04789,0.04701,0.04607,0.04514,0.04425,0.04338,0.04252,0.04165,0.04076,0.03987,0.03896,0.03804,0.03712,0.03619,0.03528,0.03438,,
Japan,0.00000,0.03169,0.00968,-0.00050,0.01579,0.01660,0.01709,0.01677,0.01658,0.01557,0.01525,0.01446,0.01449,0.01383,0.01365,0.01307,0.01301,0.01279,0.01274,0.01256,0.01244,,
Korea,0.00000,0.05457,0.03082,0.03339,0.02451,0.02428,0.02374,0.02314,0.02251,0.02202,0.02151,0.02114,0.02076,0.02051,0.02025,0.02006,0.01984,0.01963,0.01938,0.01913,0.01884,,
Latin America,0.00000,-0.00304,0.00952,0.01600,0.01225,0.01529,0.01628,0.01743,0.01797,0.02011,0.02131,0.02360,0.02468,0.02686,0.02806,0.02941,0.02962,0.02956,0.02887,0.02793,0.02657,,
Middle East,0.00000,-0.02257,0.01068,0.01095,0.00864,0.00830,0.00815,0.00905,0.00980,0.01193,0.01305,0.01494,0.01549,0.01708,0.01778,0.01894,0.01913,0.01939,0.01923,0.01910,0.01874,,
Southeast Asia,0.00000,0.03977,0.02810,0.01518,0.04522,0.04606,0.04334,0.04216,0.03982,0.04028,0.03863,0.03858,0.03681,0.03684,0.03594,0.03574,0.03464,0.03377,0.03262,0.03158,0.03043,,
USA,0.00000,0.01674,0.01712,-0.00194,0.01682,0.01602,0.01528,0.01502,0.01467,0.01494,0.01477,0.01500,0.01471,0.01496,0.01492,0.01519,0.01511,0.01516,0.01508,0.01508,0.01503,,
Western Europe,0.00000,0.01709,0.01478,-0.00153,0.01396,0.01521,0.01546,0.01484,0.01470,0.01412,0.01480,0.01532,0.01697,0.01781,0.01892,0.01917,0.01939,0.01874,0.01752,0.01536,0.01234,,
,,,,,,,,,,,,,,,,,,,,,,,
Price elasticity of GDP,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,
,e_GDP_elas,,,,,,,,,,,,,,,,,,,,,,
region,1975,,,,,,,,,,,,,,,,,,,,,,
Africa,0,,,,,,,,,,,,,,,,,,,,,,
Australia_NZ,0,,,,,,,,,,,,,,,,,,,,,,
Canada,0,,,,,,,,,,,,,,,,,,,,,,
China,0,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,0,,,,,,,,,,,,,,,,,,,,,,
Former Soviet Union,0,,,,,,,,,,,,,,,,,,,,,,
India,0,,,,,,,,,,,,,,,,,,,,,,
Japan,0,,,,,,,,,,,,,,,,,,,,,,
Korea,0,,,,,,,,,,,,,,,,,,,,,,
Latin America,0,,,,,,,,,,,,,,,,,,,,,,
Middle East,0,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,0,,,,,,,,,,,,,,,,,,,,,,
USA,0,,,,,,,,,,,,,,,,,,,,,,
Western Europe,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Base GDP,,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,
,baseGDP,,,,,,,,,,,,,,,,,,,,,,
region,1975,,,,,,,,,,,,,,,,,,,,,,
Africa,250238,,,,,,,,,,,,,,,,,,,,,,
Australia_NZ,174747,,,,,,,,,,,,,,,,,,,,,,
Canada,278868,,,,,,,,,,,,,,,,,,,,,,
China,118793,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,232364,,,,,,,,,,,,,,,,,,,,,,
Former Soviet Union,410608,,,,,,,,,,,,,,,,,,,,,,
India,106889,,,,,,,,,,,,,,,,,,,,,,
Japan,1830703,,,,,,,,,,,,,,,,,,,,,,
Korea,71339,,,,,,,,,,,,,,,,,,,,,,
Latin America,814694,,,,,,,,,,,,,,,,,,,,,,
Middle East,298287,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,222332,,,,,,,,,,,,,,,,,,,,,,
USA,3473912,,,,,,,,,,,,,,,,,,,,,,
Western Europe,3802404,,,,,,,,,,,,,,,,,,,,,,
