Population,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,totalPop,,,,,,,
region,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,
Africa,412028,630697,919484,1225761,1493557,1683839,1864499,1937867,1928285,,,,,,,
Australia_NZ,16909,20532,24548,28226,31400,33278,33832,32961,31592,,,,,,,
Canada,23139,27698,32318,35934,37910,38425,38938,39521,40343,,,,,,,
China,980561,1223291,1426771,1544737,1574778,1523878,1449614,1376916,1293598,,,,,,,
Eastern Europe,112678,122883,119100,115835,110998,104655,94866,85111,79646,,,,,,,
Former Soviet Union,254228,289091,284342,284059,283991,282204,272704,261167,255638,,,,,,,
India,606142,849515,1094583,1352178,1494751,1561583,1559181,1487947,1377394,,,,,,,
Japan,111469,123478,127773,125521,121335,116732,110071,101995,96155,,,,,,,
Korea,35278,42869,48138,48896,47965,46495,45025,42102,39629,,,,,,,
Latin America,319222,436676,549919,654891,743913,815184,866087,907541,924592,,,,,,,
Middle East,76657,131495,188106,253011,312247,363789,401515,418699,422203,,,,,,,
Southeast Asia,474445,666169,875769,1108389,1308968,1452295,1516383,1503409,1430679,,,,,,,
USA,215079,250181,299730,349627,393314,437135,476574,512070,544015,,,,,,,
Western Europe,402474,434467,473526,493372,495146,477411,456467,428119,411450,,,,,,,
,,,,,,,,,,,,,,,,
Labor Force Participation Rate,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,laborforce,,,,,,,
region,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,
Africa,0.425,0.440,0.419,0.457,0.480,0.505,0.491,0.464,0.446,,,,,,,
Australia_NZ,0.446,0.499,0.510,0.491,0.464,0.460,0.455,0.445,0.440,,,,,,,
Canada,0.453,0.542,0.527,0.524,0.491,0.466,0.440,0.420,0.406,,,,,,,
China,0.522,0.574,0.609,0.620,0.603,0.541,0.474,0.456,0.448,,,,,,,
Eastern Europe,0.506,0.489,0.515,0.493,0.450,0.440,0.430,0.430,0.430,,,,,,,
Former Soviet Union,0.502,0.498,0.515,0.493,0.470,0.450,0.440,0.430,0.430,,,,,,,
India,0.432,0.430,0.447,0.476,0.491,0.486,0.467,0.437,0.418,,,,,,,
Japan,0.502,0.518,0.525,0.489,0.453,0.437,0.433,0.435,0.435,,,,,,,
Korea,0.383,0.458,0.606,0.522,0.465,0.440,0.420,0.405,0.393,,,,,,,
Latin America,0.347,0.387,0.431,0.448,0.445,0.427,0.400,0.395,0.390,,,,,,,
Middle East,0.292,0.285,0.311,0.364,0.415,0.441,0.433,0.427,0.419,,,,,,,
Southeast Asia,0.420,0.445,0.463,0.459,0.437,0.408,0.394,0.371,0.355,,,,,,,
USA,0.447,0.494,0.508,0.489,0.462,0.447,0.431,0.422,0.416,,,,,,,
Western Europe,0.434,0.463,0.471,0.464,0.445,0.429,0.396,0.365,0.354,,,,,,,
,,,,,,,,,,,,,,,,
Labor Productivity Growth Rate,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,laborproductivity,,,,,,,
region,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,
Africa,0.00000,-0.00415,0.00911,0.01219,0.01201,0.01619,0.03002,0.03661,0.03437,,,,,,,
Australia_NZ,0.00000,0.00621,0.02286,0.01418,0.01573,0.01354,0.01310,0.01309,0.01307,,,,,,,
Canada,0.00000,0.00659,0.01934,0.00924,0.01565,0.01685,0.01693,0.01639,0.01610,,,,,,,
China,0.00000,0.05924,0.08354,0.06901,0.05000,0.04455,0.03898,0.03239,0.02568,,,,,,,
Eastern Europe,0.00000,0.01015,0.02302,0.03468,0.03246,0.03215,0.02916,0.02825,0.02621,,,,,,,
Former Soviet Union,0.00000,0.00075,-0.00726,0.03589,0.03246,0.03215,0.02916,0.02825,0.02621,,,,,,,
India,0.00000,0.02580,0.03944,0.04762,0.04608,0.04338,0.04076,0.03804,0.03529,,,,,,,
Japan,0.00000,0.03169,0.00968,0.01060,0.01681,0.01509,0.01399,0.01295,0.01258,,,,,,,
Korea,0.00000,0.05457,0.03082,0.02739,0.02313,0.02156,0.02050,0.01984,0.01912,,,,,,,
Latin America,0.00000,-0.00304,0.00952,0.01451,0.01723,0.02167,0.02653,0.02953,0.02779,,,,,,,
Middle East,0.00000,-0.02257,0.01068,0.00930,0.00900,0.01331,0.01678,0.01915,0.01903,,,,,,,
Southeast Asia,0.00000,0.03977,0.02810,0.03539,0.04177,0.03917,0.03653,0.03471,0.03154,,,,,,,
USA,0.00000,0.01674,0.01712,0.01026,0.01499,0.01490,0.01486,0.01515,0.01506,,,,,,,
Western Europe,0.00000,0.01709,0.01478,0.00918,0.01500,0.01475,0.01790,0.01910,0.01507,,,,,,,
,,,,,,,,,,,,,,,,
Price elasticity of GDP,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
,e_GDP_elas,,,,,,,,,,,,,,,
region,1975,,,,,,,,,,,,,,,
Africa,0,,,,,,,,,,,,,,,
Australia_NZ,0,,,,,,,,,,,,,,,
Canada,0,,,,,,,,,,,,,,,
China,0,,,,,,,,,,,,,,,
Eastern Europe,0,,,,,,,,,,,,,,,
Former Soviet Union,0,,,,,,,,,,,,,,,
India,0,,,,,,,,,,,,,,,
Japan,0,,,,,,,,,,,,,,,
Korea,0,,,,,,,,,,,,,,,
Latin America,0,,,,,,,,,,,,,,,
Middle East,0,,,,,,,,,,,,,,,
Southeast Asia,0,,,,,,,,,,,,,,,
USA,0,,,,,,,,,,,,,,,
Western Europe,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Base GDP,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
,baseGDP,,,,,,,,,,,,,,,
region,1975,,,,,,,,,,,,,,,
Africa,250238,,,,,,,,,,,,,,,
Australia_NZ,174747,,,,,,,,,,,,,,,
Canada,278868,,,,,,,,,,,,,,,
China,118793,,,,,,,,,,,,,,,
Eastern Europe,232364,,,,,,,,,,,,,,,
Former Soviet Union,410608,,,,,,,,,,,,,,,
India,106889,,,,,,,,,,,,,,,
Japan,1830703,,,,,,,,,,,,,,,
Korea,71339,,,,,,,,,,,,,,,
Latin America,814694,,,,,,,,,,,,,,,
Middle East,298287,,,,,,,,,,,,,,,
Southeast Asia,222332,,,,,,,,,,,,,,,
USA,3473912,,,,,,,,,,,,,,,
Western Europe,3802404,,,,,,,,,,,,,,,
