# File: ctry_AGLU.csv,,,,,,,,,,
# Description: Maps countries in all AGLU databases to iso codes,,,,,,,,,,
# ----------,,,,,,,,,,
FAO_country,iso,GTAP_region,CROSIT_ctry,CROSIT_country_ID,MIRCA_country,IFA2002_country,IFA_region,IMAGE_region_ID,IMAGE_region_name,FAO2050_reg
Aruba,abw,xcb,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Afghanistan,afg,xsa,AFGH,65,Afghanistan,,Rest of world,18,South Asia,South Asia
Angola,ago,xsd,ANGO,18,Angola,,Rest of world,10,Southern Africa,sub-Saharan Africa
Anguilla,aia,xcb,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Albania,alb,alb,OEEU,197,Albania,ALBANIA,Rest of world,12,Central Europe,Transition countries
Andorra,and,xer,,,Andorra,,Rest of world,11,Western Europe,Industrial countries
Netherlands Antilles,ant,xcb,NEAN,144,,,Rest of world,4,Rest Central America,Latin America and Caribbean
United Arab Emirates,are,xme,UAEM,166,United Arab Emirates,,Rest of world,17,Middle East,Near East / North Africa
Argentina,arg,arg,ARGE,50,Argentina,ARGENTINA,Argentina,6,Rest South America,Latin America and Caribbean
Armenia,arm,xsu,ARME,178,Armenia,,Rest of world,16,Russia plus,Transition countries
USSR,arm,xsu,ARME,178,Armenia,,Rest of world,16,Russia plus,Transition countries
American Samoa,asm,xoc,,,,,Rest of world,24,Oceania,South Asia
Antigua and Barbuda,atg,xfa,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Australia,aus,aus,ALIA,112,Australia,AUSTRALIA,Australia,24,Oceania,Industrial countries
Austria,aut,aut,EU15,195,Austria,AUSTRIA,EU-27,11,Western Europe,Industrial countries
Azerbaijan,aze,xsu,CEAS,198,Azerbaijan,AZERBAIJAN,Rest of world,16,Russia plus,Transition countries
USSR,aze,xsu,CEAS,198,Azerbaijan,AZERBAIJAN,Rest of world,16,Russia plus,Transition countries
Burundi,bdi,xss,BURU,25,Burundi,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Belgium,bel,bel,EU15,195,Belgium,BELGIUM,EU-27,11,Western Europe,Industrial countries
Belgium-Luxembourg,bel,bel,EU15,195,Belgium,BELGIUM,EU-27,11,Western Europe,Industrial countries
Benin,ben,xss,BENI,4,Benin,,Rest of world,8,Western Africa,sub-Saharan Africa
Burkina Faso,bfa,xss,BURK,17,Burkina Faso,,Rest of world,8,Western Africa,sub-Saharan Africa
Bangladesh,bgd,bgd,BANG,76,Bangladesh,BANGLADESH,Bangladesh,18,South Asia,South Asia
Bulgaria,bgr,bgr,EUN9,196,Bulgaria,BULGARIA,EU-27,12,Central Europe,Transition countries
Bahrain,bhr,xme,,,Bahrain,,Rest of world,17,Middle East,Near East / North Africa
Bahamas,bhs,xfa,BAHA,136,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Bosnia and Herzegovina,bih,xer,OEEU,197,,,Rest of world,12,Central Europe,Transition countries
Yugoslav SFR,bih,xer,,,,,,12,Central Europe,Transition countries
Belarus,blr,xsu,OEEU,197,Belarus,BELARUS,Rest of world,14,Ukraine plus,Transition countries
USSR,blr,xsu,OEEU,197,Belarus,BELARUS,Rest of world,14,Ukraine plus,Transition countries
Belize,blz,xca,BELI,138,Belize,,Rest of world,4,Rest Central America,Latin America and Caribbean
Bermuda,bmu,xna,BERM,153,,,Rest of world,4,Rest Central America,Industrial countries
Bolivia (Plurinational State of),bol,xap,BOLI,51,Bolivia,BOLIVIA,Rest of world,6,Rest South America,Latin America and Caribbean
Brazil,bra,bra,BRAZ,52,Brazil,BRAZIL,Brazil,5,Brazil,Latin America and Caribbean
Barbados,brb,xfa,BARB,137,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Brunei Darussalam,brn,xse,BRUN,148,Brunei,,Rest of world,21,Southeastern Asia,South Asia
Bhutan,btn,xsa,,,Bhutan,,Rest of world,18,South Asia,South Asia
Botswana,bwa,bwa,BOTS,126,Botswana,,Rest of world,10,Southern Africa,sub-Saharan Africa
Central African Republic,caf,xss,CAR,20,Central African Republic,,Rest of world,8,Western Africa,sub-Saharan Africa
Canada,can,can,CANA,91,Canada,CANADA,Canada,1,Canada,Industrial countries
Cocos (Keeling) Islands,cck,,,,,,,24,Oceania,South Asia
Switzerland,che,che,SWIT,110,Switzerland,SWITZERLAND,Rest of world,11,Western Europe,Industrial countries
Channel Islands,chi,,,,,,,11,Western Europe,Industrial countries
Chile,chl,chl,CHIL,53,Chile,CHILE,Chile,6,Rest South America,Latin America and Caribbean
China,chn,chn,CHIN,117,China,CHINA,China,20,China plus,East Asia
Cote dIvoire,civ,xss,CDIV,8,,,Rest of world,8,Western Africa,sub-Saharan Africa
Cameroon,cmr,xss,CAME,19,Cameroon,,Rest of world,8,Western Africa,sub-Saharan Africa
Democratic Republic of the Congo,cod,xsd,CODR,24,DRC,,Rest of world,8,Western Africa,sub-Saharan Africa
Congo,cog,xss,CONG,22,Congo,,Rest of world,8,Western Africa,sub-Saharan Africa
Cook Islands,cok,xoc,,,,,Rest of world,24,Oceania,Industrial countries
Colombia,col,col,COLO,54,Colombia,COLOMBIA,Rest of world,6,Rest South America,Latin America and Caribbean
Comoros,com,xss,COMO,128,,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Cape Verde,cpv,xss,CAPE,127,,,Rest of world,8,Western Africa,sub-Saharan Africa
Costa Rica,cri,xca,COST,38,Costa Rica,COSTA RICA,Rest of world,4,Rest Central America,Latin America and Caribbean
Cuba,cub,xcb,CUBA,45,Cuba,CUBA,Rest of world,4,Rest Central America,Latin America and Caribbean
Christmas Island,cxr,,,,,,,24,Oceania,South Asia
Cayman Islands,cym,xcb,,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Cyprus,cyp,cyp,EUN9,196,,,EU-27,12,Central Europe,Industrial countries
Czech Republic,cze,cze,EUN9,196,Czech Republic,CZECH REPUBLIC,EU-27,12,Central Europe,Transition countries
Czechoslovakia,cze,cze,EUN9,196,Czech Republic,CZECH REPUBLIC,EU-27,12,Central Europe,Transition countries
Germany,deu,deu,EU15,195,Germany,GERMANY,EU-27,11,Western Europe,Industrial countries
Djibouti,dji,xss,DJIB,168,Djibouti,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Dominica,dma,xfa,DOMA,139,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Denmark,dnk,dnk,EU15,195,Denmark,DENMARK,EU-27,11,Western Europe,Industrial countries
Dominican Republic,dom,xfa,DOMI,46,Dominican Republic,DOMINICAN REPUBLIC,Rest of world,4,Rest Central America,Latin America and Caribbean
Algeria,dza,xnf,ALGE,1,Algeria,ALGERIA,Rest of world,7,Northern Africa,sub-Saharan Africa
Ecuador,ecu,xap,ECUA,55,Ecuador,ECUADOR,Rest of world,6,Rest South America,Latin America and Caribbean
Egypt,egy,xnf,EGYP,62,Egypt,EGYPT,Egypt,7,Northern Africa,sub-Saharan Africa
Eritrea,eri,xss,ERIT,171,Eritrea,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Western Sahara,esh,,,,,,Rest of world,7,Northern Africa,sub-Saharan Africa
Spain,esp,esp,EU15,195,Spain,SPAIN,EU-27,11,Western Europe,Industrial countries
Estonia,est,est,EUN9,196,Estonia,ESTONIA,EU-27,12,Central Europe,Transition countries
USSR,est,xsu,EUN9,196,Estonia,ESTONIA,EU-27,12,Central Europe,Transition countries
Ethiopia,eth,xss,ETHN,172,Ethiopia,ETHIOPIA,Rest of world,9,Eastern Africa,sub-Saharan Africa
Ethiopia PDR,eth,xss,ETHN,172,Ethiopia,ETHIOPIA,Rest of world,9,Eastern Africa,sub-Saharan Africa
Finland,fin,fin,EU15,195,Finland,FINLAND,EU-27,11,Western Europe,Industrial countries
Fiji,fji,xoc,FIJI,155,,FIJI,Rest of world,24,Oceania,South Asia
Falkland Islands (Malvinas),flk,xsm,,,,,Rest of world,6,Rest South America,Latin America and Caribbean
France,fra,fra,EU15,195,France,FRANCE,EU-27,11,Western Europe,Industrial countries
Faroe Islands,fro,xer,,,,,Rest of world,11,Western Europe,Industrial countries
Micronesia (Federated States of),fsm,xoc,,,,,Rest of world,24,Oceania,South Asia
Pacific Islands Trust Territory,fsm,xoc,,,,,Rest of world,24,Oceania,South Asia
Gabon,gab,xss,GABO,23,Gabon,,Rest of world,8,Western Africa,sub-Saharan Africa
