# File: socioeconomics_ctry.csv
# Title: Mapping (iso-standard country name-Maddisson country name - aggregate region name)
# Units: NA
# Description: Maps country names and codes  in socioeconomics databases to three digit iso codes
# Source: Internally generated mapping file
# ----------
iso,country_name,Maddison_ctry,Downscale_from
afg,Afghanistan,Afghanistan,
alb,Albania,Albania,
dza,Algeria,Algeria,
asm,American Samoa,American Samoa,
and,Andorra,Andorra,
ago,Angola,Angola,
aia,Anguilla,Anguilla,
atg,Antigua & Barbuda,Antigua & Barbuda,
arg,Argentina,Argentina,
arm,Armenia,Armenia,Total Former USSR
abw,Aruba,Aruba,
aus,Australia,Australia,
aut,Austria,Austria,
aze,Azerbaijan,Azerbaijan,Total Former USSR
bhs,Bahamas,Bahamas,
bhr,Bahrain,Bahrain,
bgd,Bangladesh,Bangladesh,
brb,Barbados,Barbados,
blr,Belarus,Belarus,Total Former USSR
bel,Belgium,Belgium,
blz,Belize,Belize,
ben,Benin,Benin,
bmu,Bermuda,Bermuda,
btn,Bhutan,Bhutan,
bol,Bolivia,Bolivia,
bih,Bosnia and Herzegovina,Bosnia,Yugoslavia
bwa,Botswana,Botswana,
bra,Brazil,Brazil,
brn,Brunei Darussalam,Brunei,
bgr,Bulgaria,Bulgaria,
bfa,Burkina Faso,Burkina Faso,
bdi,Burundi,Burundi,
khm,Cambodia,Cambodia,
cmr,Cameroon,Cameroon,
can,Canada,Canada,
cpv,Cape Verde,Cape Verde,
cym,Cayman Islands,Cayman Islands,
caf,Central African Republic,Central African Republic,
tcd,Chad,Chad,
chi,Channel Islands,Jersey,
chl,Chile,Chile,
chn,China,China,
cxr,Christmas Island,,
cck,Cocos (Keeling) Islands,,
col,Colombia,Colombia,
com,Comoros,Comoro Islands,
cog,Congo,Congo,
cod,"Congo, the Democratic Republic of the",Zaire,
cok,Cook Islands,Cook Islands,
cri,Costa Rica,Costa Rica,
civ,Cote dIvoire,Cote dIvoire,
hrv,Croatia,Croatia,Yugoslavia
cub,Cuba,Cuba,
cyp,Cyprus,Cyprus,
cze,Czech Republic,Czech Republic,Czechoslovakia
dnk,Denmark,Denmark,
