# File: FAO_an_items_cal_SUA.csv
# Title: Mapping file of FAO and GCAM animal commodities and caloric content
# Unit: Mcal per tonne
# Description: Maps FAO Supply Utilization Accounts animal commodities to GCAM animal commodities and reports caloric content
# Original source: http://www.fao.org/DOCREP/003/X9892E/X9892e05.htm#P8217_125315
# Column types: ciccn
# ----------
item,item.code,GCAM_commodity,crop_cal,Mcal_t
"Aquatic Animals, Others",2769,OtherMeat_Fish,AQUATIC ANIMALS NES FRESH,300
Aquatic Plants,2775,,,0
Bovine Meat,2731,Beef,BEEF BONELESS,1500
"Butter, Ghee",2740,Dairy,GHEE FROM COW MILK,8730
Cephalopods,2766,OtherMeat_Fish,CEPHALOPODS FRESH,660
Cheese,2741,,CHEESE WHOLE COW MILK,3870
Cream,2743,Dairy,"CREAM, FRESH",1950
Crustaceans,2765,OtherMeat_Fish,CRUSTACEANS FRESH,470
Demersal Fish,2762,OtherMeat_Fish,DEMERSAL FISH FRESH,420
Eggs,2744,Poultry,HEN EGGS,1390
"Fats, Animals, Raw",2737,OtherMeat_Fish,ANIMAL OILS AND FATS NES,9020
Fish Meal,2855,OtherMeat_Fish,FRESHWATER DIADROM. FISH PREPARED NES,2620
"Fish, Body Oil",2781,OtherMeat_Fish,MARINE FISH NES BODY OIL,9020
"Fish, Liver Oil",2782,OtherMeat_Fish,MARINE FISH L221NES LIVER OIL,9020
Freshwater Fish,2761,OtherMeat_Fish,FRESHWATER DIADROMOUS FISH FRESH,690
Hides and skins,2748,,,0
Honey,2745,,,0
"Marine Fish, Other",2764,OtherMeat_Fish,MARINE FISH NES FRESH,640
Meat Meal,2749,OtherMeat_Fish,MEAT PREPARED NES,2420
"Meat, Aquatic Mammals",2768,OtherMeat_Fish,AQUATIC MAMMALS MEAT,1360
"Meat, Other",2735,OtherMeat_Fish,MEAT NES,1260
Milk - Excluding Butter,2848,Dairy,STANDARDIZED MILK,480
"Milk, Skimmed",2739,,,0
"Milk, Whole",2738,,,0
"Molluscs, Other",2767,OtherMeat_Fish,MOLLUSCS FRESH,150
Mutton & Goat Meat,2732,SheepGoat,MUTTON AND LAMB,2630
"Offals, Edible",2736,OtherMeat_Fish,OFFALS NES,1050
Pelagic Fish,2763,OtherMeat_Fish,PELAGIC FISH FRESH,860
Pigmeat,2733,Pork,PIGMEAT,3260
Poultry Meat,2734,Poultry,CHICKEN MEAT,1220
Silk,2747,,,0
Whey,2742,,WHEY FRESH,260
Wool (Clean Eq.),2746,,,0
