# File: FAO_an_Imp_t_SUA.csv
# Title: FAO animal imports by country, item, year
# Units: tons
# Column types: ciciciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii 
# ----------
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,3,"Aquatic Animals, Others",2769,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,2,0,0,0,0
Albania,3,Aquatic Plants,2775,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,2,2,0,0,0
Albania,3,Bovine Meat,2731,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2000,500,20,20,1400,1300,1600,18397,16172,6199,4529,3715,7292,3461,3598,3330,1605,1880,4854,5004,8029,7196,9200,8362,6832,4094
Albania,3,"Butter, Ghee",2740,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,497,495,579,1103,3700,8200,10607,5000,4000,1735,651,356,511,634,640,989,999,1350,983,925,1324,581,327
Albania,3,Cephalopods,2766,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,10,11,2,1,0,17,20,29,58,45,109,72,378,632,632,632
Albania,3,Cheese,2741,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1500,1500,706,1049,600,505,329,327,2300,2300,2518,5400,3500,3158,494,455,679,606,840,1264,1180,1283,1450,1519,1308,1284,1222
Albania,3,Cream,2743,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,47,0,127,185,206,449,181,311,383,439,504,504,442
Albania,3,Crustaceans,2765,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,5,30,20,3,25,14,7,8,15,18,49,186,175,175,175
Albania,3,Demersal Fish,2762,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,294,20,38,71,204,72,74,334,159,131,279,260,260,260
Albania,3,Eggs,2744,Import Quantity (tonnes),61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,1339,5687,5000,4700,5641,1509,667,15349,2642,929,87,2,9,173,51,64,152,175
