# File: SUA_item_code_map.csv
# Title: Mapping of SUA items to their item_code
# Units: NA
# Description: Ideally we just use SUA (supply utilization accounts) item names directly.  However, given the volume of data
# it helps to use item_code to reduce the size of the input data as well as speed up processing.  We will then need this mapping
# to ultimately translate back to item names. TM is TRUE when bilateral data was used for the item.
# Last update: 06-09-2024 (XZ)
# Column types: cicicl
# ----------
item,item_code,item_new_2024,tier,DS_trade,TM
Wheat,15,Wheat,1,TM,TRUE
"Flour, wheat",16,Wheat and meslin flour,2,TM,TRUE
"Bran, wheat",17,Bran of wheat,2,TM,TRUE
Macaroni,18,"Uncooked pasta, not stuffed or otherwise prepared",2,TM,TRUE
"Germ, wheat",19,Germ of wheat,2,TM,TRUE
Bread,20,Bread,2,TM,TRUE
Bulgur,21,Bulgur,2,TM,TRUE
Pastry,22,Pastry,2,TM,TRUE
"Starch, wheat",23,Starch of wheat,4,SCL,FALSE
"Gluten, wheat",24,Wheat gluten,4,SCL,FALSE
"Beverages, fermented wheat",26,Wheat-fermented beverages,4,SCL,FALSE
"Rice, paddy",27,Rice,1,TM,TRUE
"Rice, husked",28,Husked rice,2,TM,TRUE
"Rice, milled/husked",29,"Rice, milled (husked)",2,TM,TRUE
"Rice, milled",31,"Rice, milled",2,TM,TRUE
"Rice, broken",32,"Rice, broken",2,TM,TRUE
"Gluten, rice",33,"Rice, gluten",4,SCL,FALSE
"Starch, rice",34,Starch of rice,4,SCL,FALSE
"Bran, rice",35,Bran of rice,2,TM,TRUE
"Oil, rice bran",36,Oil of rice bran,2,TM,TRUE
"Flour, rice",38,Flour of rice,2,TM,TRUE
"Beverages, fermented rice",39,Rice-fermented beverages,2,TM,TRUE
"Cereals, breakfast",41,Breakfast cereals,2,TM,TRUE
Barley,44,Barley,1,TM,TRUE
"Barley, pot",45,Pot barley,2,TM,TRUE
"Barley, pearled",46,"Barley, pearled",2,TM,TRUE
"Bran, barley",47,Bran of barley,2,TM,TRUE
"Flour, barley and grits",48,Barley flour and grits,2,TM,TRUE
Malt,49,"Malt, whether or not roasted",2,TM,TRUE
Malt extract,50,Malt extract,2,TM,TRUE
Beer of barley,51,"Beer of barley, malted",1,TM,TRUE
Maize,56,Maize (corn),1,TM,TRUE
"Germ, maize",57,Germ of maize,2,TM,TRUE
"Flour, maize",58,Flour of maize,2,TM,TRUE
"Bran, maize",59,Bran of maize,2,TM,TRUE
"Oil, maize",60,Oil of maize,1,TM,TRUE
"Gluten, maize",63,Maize gluten,4,SCL,FALSE
"Starch, maize",64,Starch of maize,4,SCL,FALSE
Beer of maize,66,"Beer of maize, malted",4,SCL,FALSE
Rye,71,Rye,1,TM,TRUE
"Flour, rye",72,Flour of rye,2,TM,TRUE
"Bran, rye",73,Bran of rye,2,TM,TRUE
Oats,75,Oats,1,TM,TRUE
Oats rolled,76,"Oats, rolled",2,TM,TRUE
"Bran, oats",77,Bran of oats,2,TM,TRUE
Millet,79,Millet,1,TM,TRUE
"Flour, millet",80,Flour of millet,2,TM,TRUE
"Bran, millet",81,Bran of millet,2,TM,TRUE
Beer of millet,82,"Beer of millet, malted",4,SCL,FALSE
Sorghum,83,Sorghum,1,TM,TRUE
"Flour, sorghum",84,Flour of sorghum,2,TM,TRUE
"Bran, sorghum",85,Bran of sorghum,2,TM,TRUE
Beer of sorghum,86,"Beer of sorghum, malted",4,SCL,FALSE
Buckwheat,89,Buckwheat,1,TM,TRUE
"Flour, buckwheat",90,Flour of buckwheat,2,TM,TRUE
"Bran, buckwheat",91,Bran of buckwheat,4,SCL,FALSE
Quinoa,92,Quinoa,1,TM,TRUE
Fonio,94,Fonio,1,TM,TRUE
"Flour, fonio",95,Flour of fonio,4,SCL,FALSE
"Bran, fonio",96,Bran of fonio,4,SCL,FALSE
Triticale,97,Triticale,1,TM,TRUE
"Flour, triticale",98,Flour of triticale,4,SCL,FALSE
"Bran, triticale",99,Bran of triticale,4,SCL,FALSE
Canary seed,101,Canary seed,1,TM,TRUE
"Grain, mixed",103,Mixed grain,1,TM,TRUE
"Flour, mixed grain",104,Flour of mixed grain,2,TM,TRUE
"Bran, mixed grains",105,Bran of mixed grain,2,TM,TRUE
Cereals nes,108,Cereals n.e.c.,1,TM,TRUE
Infant food,109,Infant food,2,TM,TRUE
Wafers,110,"Communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",2,TM,TRUE
"Flour, cereals",111,Flour of cereals n.e.c.,2,TM,TRUE
"Bran, cereals nes",112,Bran of cereals n.e.c.,2,TM,TRUE
Cereal preparations nes,113,Cereal preparations,2,TM,TRUE
Mixes and doughs,114,Mixes and doughs for the preparation of bakers wares,2,TM,TRUE
"Food preparations, flour, malt extract",115,"Food preparations of flour, meal or malt extract",2,TM,TRUE
Potatoes,116,Potatoes,1,TM,TRUE
"Flour, potatoes",117,"Flour, meal, powder, flakes, granules and pellets of potatoes",2,TM,TRUE
"Potatoes, frozen",118,"Potatoes, frozen",2,TM,TRUE
"Starch, potatoes",119,Starch of potatoes,4,SCL,FALSE
"Tapioca, potatoes",121,Tapioca of potatoes,2,TM,TRUE
Sweet potatoes,122,Sweet potatoes,1,TM,TRUE
Cassava,125,"Cassava, fresh",1,TM,TRUE
"Flour, cassava",126,Flour of cassava,2,TM,TRUE
"Tapioca, cassava",127,Tapioca of cassava,2,TM,TRUE
Cassava dried,128,"Cassava, dry",2,TM,TRUE
"Starch, cassava",129,Starch of cassava,2,TM,TRUE
Yautia (cocoyam),135,Yautia,1,TM,TRUE
Taro (cocoyam),136,Taro,1,TM,TRUE
Yams,137,Yams,1,TM,TRUE
Roots and tubers nes,149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1,TM,TRUE
"Flour, roots and tubers nes",150,Flour of roots and tubers n.e.c.,2,TM,TRUE
Roots and tubers dried,151,"Edible roots and tubers with high starch or inulin content, n.e.c., dry",2,TM,TRUE
Fructose chemically pure,154,"Fructose, chemically pure",4,SCL,FALSE
Maltose chemically pure,155,"Maltose, chemically pure",4,SCL,FALSE
Sugar cane,156,Sugar cane,1,TM,TRUE
Sugar beet,157,Sugar beet,1,TM,TRUE
"Sugar, cane, raw, centrifugal",158,"Cane sugar, centrifugal",4,SCL,FALSE
Maple sugar and syrups,160,"Refined cane or beet sugar, in solid form, containing added flavouring or colouring matter; maple sugar and maple syrup",2,TM,TRUE
Sugar crops nes,161,Other sugar crops n.e.c.,1,TM,TRUE
Sugar Raw Centrifugal,162,Raw cane or beet sugar (centrifugal only),1,TM,TRUE
Sugar non-centrifugal,163,"Cane sugar, non-centrifugal",2,TM,TRUE
Sugar refined,164,Refined sugar,2,TM,TRUE
Molasses,165,Molasses,1,TM,TRUE
"Fructose and syrup, other",166,Other fructose and syrup,2,TM,TRUE
Sugar nes,167,Sugar and syrups n.e.c.,2,TM,TRUE
Sugar confectionery,168,Sugar confectionery,2,TM,TRUE
Glucose and dextrose,172,Glucose and dextrose,2,TM,TRUE
Lactose,173,Lactose,2,TM,TRUE
Isoglucose,175,Isoglucose,2,TM,TRUE
"Beans, dry",176,"Beans, dry",1,TM,TRUE
"Broad beans, horse beans, dry",181,"Broad beans and horse beans, dry",1,TM,TRUE
"Peas, dry",187,"Peas, dry",1,TM,TRUE
Chick peas,191,"Chick peas, dry",1,TM,TRUE
"Cow peas, dry",195,"Cow peas, dry",1,TM,TRUE
Pigeon peas,197,"Pigeon peas, dry",1,TM,TRUE
Lentils,201,"Lentils, dry",1,TM,TRUE
Bambara beans,203,"Bambara beans, dry",1,TM,TRUE
Vetches,205,Vetches,1,TM,TRUE
Lupins,210,Lupins,1,TM,TRUE
Pulses nes,211,Other pulses n.e.c.,1,TM,TRUE
"Flour, pulses",212,Flour of pulses,2,TM,TRUE
"Bran, pulses",213,Bran of pulses,2,TM,TRUE
"Brazil nuts, with shell",216,"Brazil nuts, in shell",1,TM,TRUE
"Cashew nuts, with shell",217,"Cashew nuts, in shell",1,TM,TRUE
Chestnut,220,"Chestnuts, in shell",1,TM,TRUE
"Almonds, with shell",221,"Almonds, in shell",1,TM,TRUE
"Walnuts, with shell",222,"Walnuts, in shell",1,TM,TRUE
Pistachios,223,"Pistachios, in shell",1,TM,TRUE
Kola nuts,224,Kola nuts,1,TM,TRUE
"Hazelnuts, with shell",225,"Hazelnuts, in shell",1,TM,TRUE
Areca nuts,226,Areca nuts,1,TM,TRUE
"Brazil nuts, shelled",229,"Brazil nuts, shelled",2,TM,TRUE
"Cashew nuts, shelled",230,"Cashew nuts, shelled",2,TM,TRUE
Almonds shelled,231,"Almonds, shelled",2,TM,TRUE
"Walnuts, shelled",232,"Walnuts, shelled",2,TM,TRUE
"Hazelnuts, shelled",233,"Hazelnuts, shelled",2,TM,TRUE
Nuts nes,234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1,TM,TRUE
"Nuts, prepared (exc. groundnuts)",235,Prepared nuts,2,TM,TRUE
Soybeans,236,Soya beans,1,TM,TRUE
"Oil, soybean",237,Soya bean oil,2,TM,TRUE
"Cake, soybeans",238,Cake of  soya beans,2,TM,TRUE
Soya sauce,239,Soya sauce,2,TM,TRUE
Soya paste,240,Soya paste,2,TM,TRUE
Soya curd,241,Soya curd,4,SCL,FALSE
"Groundnuts, with shell",242,"Groundnuts, excluding shelled",1,TM,TRUE
"Groundnuts, shelled",243,"Groundnuts, shelled",2,TM,TRUE
"Oil, groundnut",244,Groundnut oil,1,TM,TRUE
"Cake, groundnuts",245,Cake of groundnuts,2,TM,TRUE
"Groundnuts, prepared",246,Prepared groundnuts,2,TM,TRUE
Peanut butter,247,Peanut butter,2,TM,TRUE
Coconuts,249,"Coconuts, in shell",1,TM,TRUE
"Coconuts, desiccated",250,"Coconuts, desiccated",2,TM,TRUE
Copra,251,Copra,2,TM,TRUE
"Oil, coconut (copra)",252,Coconut oil,1,TM,TRUE
"Cake, copra",253,Cake of copra,2,TM,TRUE
Oil palm fruit,254,Oil palm fruit,3,SCL,FALSE
Palm kernels,256,Palm kernels,1,TM,TRUE
"Oil, palm",257,Palm oil,1,TM,TRUE
"Oil, palm kernel",258,Oil of palm kernel,1,TM,TRUE
"Cake, palm kernel",259,Cake of palm kernel,2,TM,TRUE
Olives,260,Olives,1,TM,TRUE
"Oil, olive, virgin",261,Olive oil,1,TM,TRUE
Olives preserved,262,Olives preserved,2,TM,TRUE
Karite nuts (sheanuts),263,Karite nuts (sheanuts),1,TM,TRUE
Butter of karite nuts,264,Butter of karite nuts,2,TM,TRUE
Castor oil seed,265,Castor oil seeds,1,TM,TRUE
"Oil, castor beans",266,Oil of castor beans,2,TM,TRUE
Sunflower seed,267,Sunflower seed,1,TM,TRUE
"Oil, sunflower",268,"Sunflower-seed oil, crude",1,TM,TRUE
"Cake, sunflower",269,Cake of sunflower seed,2,TM,TRUE
Rapeseed,270,Rape or colza seed,1,TM,TRUE
