# File: GCAMDATA_FAOSTAT_ForExportPrice_214Regs_Roundwood_1973to2020.csv
# Title: FAO forests export qunatity and export value by country_year
# Units: Export Quantity in m3; Export Value in 1000 US$
# Description:  Data is generated by gcamdata-FAOSTAT for deriving export prices
# Data source: FAOSTAT (domain:FO FAO.udpate:2021-12-16T00:00:00)
# Date of CSV last update: 2022-09-14
# Column types: iciccicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element,element_code,unit,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2,Afghanistan,1872,Sawnwood,Export Quantity,5916,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,18,345,345,33,33,33,10,469,452,452,178,2111,1073,317,49,49,49,294,294,982,43,65,452,66
2,Afghanistan,1872,Sawnwood,Export Value,5922,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,8,58,58,8,8,8,2,158,148,148,75,1740,1393,475,49,49,49,164,164,239,21,52,172,18
2,Afghanistan,1634,Veneer sheets,Export Quantity,5916,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,59,10,10,0,0,16,16,115,115,115,15,3,3,3,3,3,0,0,0,0,0
2,Afghanistan,1634,Veneer sheets,Export Value,5922,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,58,9,9,0,0,12,12,190,190,190,54,8,8,8,8,8,0,0,0,0,0
2,Afghanistan,1875,Wood pulp,Export Quantity,5910,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,35,35,35,35,35,35,35,35,35,35,35,38,38
2,Afghanistan,1875,Wood pulp,Export Value,5922,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17
2,Afghanistan,1873,Wood-based panels,Export Quantity,5916,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,54,54,54,54,54,54,0,440,440,440,106,106,442,746,265,32,36,36,53,55,55,6,57,11
2,Afghanistan,1873,Wood-based panels,Export Value,5922,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,20,20,20,20,20,20,0,52,52,52,15,15,443,767,368,102,107,107,34,39,38,6,30,8
3,Albania,1872,Sawnwood,Export Quantity,5916,m3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,2110,3720,4098,4098,414,8651,8900,8900,607,13499,9000,9050,9050,242700,7671,21409,21409,21409,21409,21409,21409,21409,21409,5862,6546,6550,1050,850,850,0,0,0
3,Albania,1872,Sawnwood,Export Value,5922,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,309,524,762,762,139,6351,5799,5799,265,3535,2694,5535,3156,24784,1089,4304,4304,4304,4304,4304,4304,4304,4304,1227,1952,1952,1952,1952,1952,0,0,0
