# File: BEA_GDP_87_96_97USD_state.csv
# Title: Real GDP by State (All Industry Total) 1987-1996
# Units: millions of chained 1997 dollars
# Source: Bureau of Economic Analysis (no stable link, but see: https://apps.bea.gov/iTable/index_regional.cfm)
# Column types: iccccccccccccccccccccccccciiiiiiiiii 
# ----------
Fips,Area,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996
1000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,78659,82507,82408,83766,86115,89814,91168,94803,98024,101379
2000,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,29525,27843,28985,28772,25821,26151,26048,26188,27608,27271
4000,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,76600,80258,80971,81606,81946,90282,94916,104104,112019,120869
5000,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,41566,43158,44012,44496,46498,49260,50756,53641,55836,58346
6000,California,,,,,,,,,,,,,,,,,,,,,,,,,802816,848272,880307,906103,893112,891631,888070,904778,940599,978299
8000,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,83322,85880,86898,88933,90780,97058,103457,110529,116821,123144
9000,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,112210,119047,120607,121176,118216,119832,118315,121001,128538,131913
10000,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,22563,23599,25312,25887,26929,27178,26946,28750,29941,30503
11000,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,47149,49206,50146,51175,50241,50598,51310,51290,49889,49232
12000,Florida,,,,,,,,,,,,,,,,,,,,,,,,,270018,286786,297215,304324,305979,317416,329410,345550,358419,376851
13000,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,152163,158946,162167,165062,167209,176731,184789,198125,209292,223307
15000,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,32376,34587,36643,39176,39756,40834,40152,40062,39552,39132
16000,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,17350,18284,19453,20161,20592,22022,23940,25845,27995,28927
17000,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,297698,314485,320572,324012,323640,336296,343470,364916,374858,389704
18000,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,117397,123242,127701,128197,128215,136438,140645,149157,153785,160020
19000,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,56536,59479,61635,63460,63818,66862,66913,72503,74568,78834
20000,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,57350,58843,59286,60672,61275,63062,63516,66732,67531,70361
21000,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,70822,75562,77233,78206,78908,83288,85810,91063,94259,97781
22000,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,104284,108142,108117,110272,110055,102935,105296,114156,120333,121489
23000,Maine,,,,,,,,,,,,,,,,,,,,,,,,,25426,27344,27882,27644,26836,27176,27337,28058,28769,29627
24000,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,123260,131777,134612,136165,133662,134748,137003,142086,144424,147889
25000,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,183712,194619,195609,189730,183996,186430,187751,196432,203189,214299
