# File: EIA_oil_GOM_refineries_input_2022.csv
# Title: Golf Coast gross inputs to refineries by refining district (1985-2022)
# Units: thousand barrels per day
# Source: EIA https://www.eia.gov/dnav/pet/pet_pnp_unc_a_EPXXX2_YIY_mbblpd_a.htm
# Comments: release data May 31 2023
# Column types: innnnnn
# ----------
Year,Gulf Coast (PADD 3) Gross Inputs to Refineries Mbbl/d,Refining District North Louisiana-Arkansas Gross Inputs to Refineries Mbbl/d,Texas Inland Refinery District Gross Inputs to Refineries Mbbl/d,Refining District Texas Gulf Coast Gross Inputs to Atmospheric Crude Oil Distillation Units Mbbl/d,Refining District New Mexico Gross Inputs to Atmospheric Crude Oil Distillation Units Mbbl/d,Louisiana Gulf Coast Refinery District Gross Inputs to Refineries Mbbl/d
2022,8993,226,666,4822,86,3193
2021,8393,193,662,4415,92,3031
2020,7981,206,614,4233,100,2828
2019,9090,199,695,4545,125,3526
2018,9228,203,673,4706,136,3510
2017,8881,202,665,4374,126,3514
2016,8675,199,674,4216,121,3465
2015,8618,203,651,4215,125,3425
2014,8390,187,648,4111,123,3321
2013,8154,187,640,3998,112,3219
2012,7887,187,616,3762,115,3207
2011,7686,199,602,3538,105,3242
2010,7642,185,589,3664,105,3099
2009,7133,163,574,3437,103,2856
2008,7037,173,593,3318,107,2846
2007,7402,178,580,3438,106,3100
2006,7375,188,620,3491,95,2981
2005,7204,174,580,3529,95,2826
2004,7494,140,608,3699,93,2954
2003,7297,142,575,3599,81,2900
2002,7094,140,557,3438,84,2875
2001,7271,145,577,3529,79,2941
2000,7109,171,575,3418,90,2855
1999,7025,179,560,3364,90,2831
1998,6953,176,582,3466,92,2638
1997,6851,170,589,3305,87,2701
1996,6656,163,564,3242,94,2593
1995,6413,167,559,3122,95,2470
1994,6386,178,551,3041,94,2523
1993,6251,195,526,2961,88,2481
1992,6144,194,520,2909,87,2435
1991,6056,175,512,2884,74,2410
1990,6130,179,518,2966,70,2397
1989,6211,167,511,3047,70,2415
1988,6092,173,483,3057,69,2310
1987,5923,164,471,2949,66,2273
1986,5932,172,477,3051,63,2169
1985,5555,169,478,2859,60,1989
