# File: A44.satiation_flsp.csv
# Title: Assumed satiation levels of floorspace 
# Units: m2 per capita
# Column types: cii 
# ----------
state,resid,comm
AK,60,27
AL,60,27
AR,60,27
AZ,60,27
CA,60,27
CO,60,27
CT,60,27
DC,60,27
DE,60,27
FL,60,27
GA,60,27
HI,60,27
IA,60,27
ID,60,27
IL,60,27
IN,60,27
KS,60,27
KY,60,27
LA,60,27
MA,60,27
MD,60,27
ME,60,27
MI,60,27
MN,60,27
MO,60,27
MS,60,27
MT,60,27
NC,60,27
ND,60,27
NE,60,27
NH,60,27
NJ,60,27
NM,60,27
NV,60,27
NY,60,27
OH,60,27
OK,60,27
OR,60,27
PA,60,27
RI,60,27
SC,60,27
SD,60,27
TN,60,27
TX,60,27
UT,60,27
VA,60,27
VT,60,27
WA,60,27
WI,60,27
WV,60,27
WY,60,27
