# File: EIA_NG_prod_mapping_coalbed.csv
# Title: mapping EIA coalbed methane production region into US states
# Units: unitless
# Source: None (GCAM assumptions)
# Comments: type total means state total which is what we need; we do not need sub-state or multi-state results
# Column types: ccc
# ----------
category,type,state
U.S. Coalbed Methane Production (Billion Cubic Feet),total,USA
Alabama Coalbed Methane Production (Billion Cubic Feet),total,AL
Alaska (with Total Offshore) Coalbed Methane Production (Billion Cubic Feet),total,AK
Arkansas Coalbed Methane Production (Billion Cubic Feet),total,AR
California (with State off) Coalbed Methane Production (Billion Cubic Feet),total,CA
Colorado Coalbed Methane Production (Billion Cubic Feet),total,CO
Florida Coalbed Methane Production (Billion Cubic Feet),total,FL
Kansas Coalbed Methane Production (Billion Cubic Feet),total,KS
Kentucky Coalbed Methane Production (Billion Cubic Feet),total,KY
Louisiana (with State Offshore) Coalbed Methane Production (Billion Cubic Feet),total,LA
Louisiana--North Coalbed Methane Production (Billion Cubic Feet),substate,LA
Louisiana--South Onshore Coalbed Methane Production (Billion Cubic Feet),substate,LA
Louisiana--State Offshore Coalbed Methane Production (Billion Cubic Feet),substate,LA
Michigan Coalbed Methane Production (Billion Cubic Feet),total,MI
Mississippi (with State off) Coalbed Methane Production (Billion Cubic Feet),total,MS
Montana Coalbed Methane Production (Billion Cubic Feet),total,MT
New Mexico Coalbed Methane Production (Billion Cubic Feet),total,NM
New Mexico--East Coalbed Methane Production (Billion Cubic Feet),substate,NM
New Mexico--West Coalbed Methane Production (Billion Cubic Feet),substate,NM
New York Coalbed Methane Production (Billion Cubic Feet),total,NY
North Dakota Coalbed Methane Production (Billion Cubic Feet),total,ND
Ohio Coalbed Methane Production (Billion Cubic Feet),total,OH
Oklahoma Coalbed Methane Production (Billion Cubic Feet),total,OK
Pennsylvania Coalbed Methane Production (Billion Cubic Feet),total,PA
Texas (with State Offshore) Coalbed Methane Production (Billion Cubic Feet),total,TX
Texas--RRC District 1 Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 2 Onshore Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 3 Onshore Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 4 Onshore Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 5 Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 6 Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 7B Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 7C Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 8 Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 8A Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 9 Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--RRC District 10 Coalbed Methane Production (Billion Cubic Feet),substate,TX
Texas--State Offshore Coalbed Methane Production (Billion Cubic Feet),substate,TX
Utah Coalbed Methane Production (Billion Cubic Feet),total,UT
Virginia Coalbed Methane Production (Billion Cubic Feet),total,VA
West Virginia Coalbed Methane Production (Billion Cubic Feet),total,WV
Wyoming Coalbed Methane Production (Billion Cubic Feet),total,WY
Lower 48 Federal Offshore Coalbed Methane Production (Billion Cubic Feet),multistate,Lower48
Lower 48 States Coalbed Methane Production (Billion Cubic Feet),multistate,Lower48
Eastern States Coalbed Methane Production (Billion Cubic Feet),multistate,Eastern
Western States Coalbed Methane Production (Billion Cubic Feet),multistate,Western
"Other States Natural Gas Coalbed Methane, Reserves Based Production (Bcf)", Reserves Based Production (Bcf),multistate
