# File: USGS_oil_supply_Quad.csv
# Title: USGS oil resource estimates
# Comments: Estimates are given by basin and rock type, and characterized by probability of extraction being economic
# Units: quads
# Source: USGS National Assessment of Oil and Gas Resources Update (March, 2013) https://energy.usgs.gov/OilGas/AssessmentsData/NationalOilGasAssessment/Methodology.aspx
# Column types: ccnnn
# ----------
basin,resource,F95,F50,F05
Alaska North Slope,conventional oil,48.43387471,88.39907193,142.1113689
Central Alaska,conventional oil,0,0.986078886,3.422273782
Southern Alaska,conventional oil,0.638051044,3.480278422,7.88863109
Western Oregon-Wash.,conventional oil,0,0.05800464,0.232018561
Eastern Oregon-Wash.,conventional oil,0,0,0
Northern Coastal,conventional oil,0.05800464,0.174013921,0.522041763
Sonoma-Livermore,conventional oil,0,0.05800464,0.348027842
Sacramento Basin,conventional oil,0,0,0
San Joaquin Basin,conventional oil,0.464037123,2.262180974,4.930394432
Central Coastal,conventional oil,0.580046404,2.842227378,6.786542923
Santa Maria Basin,conventional oil,0.116009281,1.218097448,3.480278422
Ventura Basin,conventional oil,1.62412993,6.148491879,13.16705336
Los Angeles Basin,conventional oil,2.378190255,5.684454756,10.32482599
Idaho-Snake River Downwarp,conventional oil,0,0.05800464,0.05800464
Western Great Basin,conventional oil,0,0.348027842,2.146171694
Eastern Great Basin,conventional oil,1.392111369,9.048723898,22.04176334
Uinta-Piceance Basin,conventional oil,0,0.116009281,0.232018561
Paradox Basin,conventional oil,0.174013921,0.522041763,1.044083527
San Juan Basin,conventional oil,0,0.116009281,0.232018561
Albuquerque-Sante Fe Rift,conventional oil,0,0.290023202,0.870069606
Northern Arizona,conventional oil,0,0.406032483,1.856148492
S. Ariz.-S.W. New Mexico,conventional oil,0,0.116009281,0.348027842
South-Central New Mexico,conventional oil,0,0,0
Montana Thrust Belt,conventional oil,0.05800464,0.464037123,1.102088167
Central Montana,conventional oil,0.754060325,1.56612529,2.436194896
Southwest Montana,conventional oil,0,0.174013921,0.754060325
"Hanna, Laramie, Shirley",conventional oil,0.05800464,0.348027842,0.696055684
Williston Basin,conventional oil,0.406032483,1.218097448,2.262180974
Powder River Basin,conventional oil,0.348027842,1.218097448,2.494199536
Big Horn Basin,conventional oil,0.116009281,0.406032483,0.754060325
Wind River Basin,conventional oil,0.05800464,0.232018561,0.522041763
Wyoming Thrust Belt,conventional oil,0.05800464,0.232018561,0.464037123
Southwestern Wyoming,conventional oil,0.05800464,0.174013921,0.406032483
Park Basins,conventional oil,0.05800464,0.174013921,0.638051044
Denver Basin,conventional oil,0.05800464,0.348027842,0.928074246
Las Animas Arch,conventional oil,0.232018561,0.812064965,1.62412993
Raton Basin-Sierra Grande Uplift,conventional oil,0,0,0
Palo Duro Basin,conventional oil,0.05800464,0.174013921,0.406032483
Permian Basin,conventional oil,1.218097448,4.350348028,8.236658933
Bend Arch-Ft. Worth Basin,conventional oil,0.174013921,0.580046404,1.044083527
Marathon Thrust Belt,conventional oil,0.05800464,0.116009281,0.232018561
Gulf Coast,conventional oil,2.262180974,8.584686775,17.34338747
Florida Peninsula,conventional oil,0.232018561,2.030162413,4.930394432
Superior,conventional oil,0,0.290023202,2.552204176
Cambridge Arch-Central Kansas,conventional oil,0.232018561,1.160092807,2.494199536
