# File: USGS_gas_supply_Quad.csv
# Title: USGS natural gas resource estimates
# Comments: Estimates are given by basin and rock type, and characterized by probability of extraction being economic
# Units: quads
# Source: USGS National Assessment of Oil and Gas Resources Update (March, 2013) https://energy.usgs.gov/OilGas/AssessmentsData/NationalOilGasAssessment/Methodology.aspx
# Column types: ccnnn
# ----------
basin,resource,F95,F50,F05
Alaska North Slope,conventional gas,57.11500975,179.7173489,314.9025341
Central Alaska,conventional gas,0,5.321637427,14.25925926
Southern Alaska,conventional gas,3.06042885,13.38206628,27.69005848
Western Oregon-Wash.,conventional gas,0.116959064,0.711500975,1.71539961
Eastern Oregon-Wash.,conventional gas,0,0.30214425,0.838206628
Northern Coastal,conventional gas,0.341130604,1.062378168,2.270955166
Sonoma-Livermore,conventional gas,0,0.058479532,0.409356725
Sacramento Basin,conventional gas,0.136452242,0.516569201,1.04288499
San Joaquin Basin,conventional gas,0.311890838,1.71539961,4.220272904
Central Coastal,conventional gas,0.029239766,0.14619883,0.360623782
Santa Maria Basin,conventional gas,0.009746589,0.116959064,0.341130604
Ventura Basin,conventional gas,0.643274854,1.851851852,3.567251462
Los Angeles Basin,conventional gas,0.59454191,1.56920078,3.001949318
Idaho-Snake River Downwarp,conventional gas,0,0.009746589,0.087719298
Western Great Basin,conventional gas,0,0.419103314,2.426900585
Eastern Great Basin,conventional gas,0.185185185,1.79337232,4.85380117
Uinta-Piceance Basin,conventional gas,0.068226121,0.204678363,0.428849903
Paradox Basin,conventional gas,0.22417154,0.808966862,1.549707602
San Juan Basin,conventional gas,0.058479532,0.155945419,0.30214425
Albuquerque-Sante Fe Rift,conventional gas,0,0.350877193,1.257309942
Northern Arizona,conventional gas,0,0.165692008,0.935672515
S. Ariz.-S.W. New Mexico,conventional gas,0.009746589,0.194931774,0.516569201
South-Central New Mexico,conventional gas,0,0,0
Montana Thrust Belt,conventional gas,1.072124756,8.313840156,20.14619883
Central Montana,conventional gas,0.389863548,0.81871345,1.335282651
Southwest Montana,conventional gas,0.116959064,0.389863548,0.740740741
"Hanna, Laramie, Shirley",conventional gas,0.058479532,0.272904483,0.614035088
