# File: A44.subsector_logit.csv
# Title: Building subsector default logit exponents
# Units: Unitless
# Source: None (GCAM assumptions)
# Column types: ccic 
# ----------
supplysector,subsector,logit.exponent,logit.type
resid heating,biomass,-6,
resid heating,coal,-6,
resid heating,gas,-6,
resid heating,electricity,-6,
resid heating,refined liquids,-6,
resid cooling,electricity,-8,
resid hot water,gas,-6,
resid hot water,electricity,-6,
resid hot water,refined liquids,-7,
resid lighting,electricity,-2,
resid refrigerators,electricity,-6,
resid freezers,electricity,-6,
resid dishwashers,electricity,-6,
resid cooking,electricity,-6,
resid cooking,gas,-6,
resid cooking,refined liquids,-6,
resid clothes dryers,electricity,-6,
resid clothes dryers,gas,-6,
resid clothes washers,electricity,-6,
resid televisions,electricity,-6,
resid computers,electricity,-6,
resid furnace fans,electricity,-6,
resid other,gas,-6,
resid other,electricity,-6,
resid other,refined liquids,-6,
comm heating,biomass,-6,
comm heating,coal,-6,
comm heating,gas,-6,
comm heating,electricity,-3,
comm heating,refined liquids,-6,
comm cooling,gas,-6,
comm cooling,electricity,-6,
comm hot water,gas,-6,
comm hot water,electricity,-3,
comm hot water,refined liquids,-6,
comm ventilation,electricity,-8,
comm cooking,gas,-6,
comm cooking,electricity,-6,
comm lighting,electricity,-2,
comm refrigeration,electricity,-8,
comm office,electricity,-6,
comm other,gas,-6,
comm other,electricity,-6,
comm other,refined liquids,-6,
comm non-building,electricity,-6,
