# File: EIA_state_energy_prices.csv
# Title: EIA_state_energy_prices
# Source: http://www.eia.gov/state/seds/data.cfm?incfile=/state/seds/sep_sum/html/sum_pr_tot.html&sid=US  Table E1. Primary Energy Electricity and Total Energy Price Estimates 2012
# Units: Dollars per Million Btu
# Column types: cnnnnnnnnnnnnnnn 
# ----------
State,Coal,Natural.gas,Distillate.fuel.oil,Jet.fuel,LPG,Motor.gasoline,Residual.fuel.oil,Other.petroleum,Petroleum.total,Nuclear.fuel,Biomass,Total.primary,Electricity,Retail.electricity,Total.energy
Alabama,3.3,4.28,27.28,23.24,22.63,27.57,14.1,21.12,26.58,0.69,2.87,8.66,2.27,27.31,19.74
Alaska,4.06,6.26,28.98,23.28,27.47,35.56,21.45,36.73,27.17,,16.03,20.9,6.35,47.84,25.33
Arizona,2.09,5.52,28.51,23.28,28.88,28.27,,18.55,27.76,0.8,6.08,10.81,1.97,28.74,25.98
Arkansas,2.27,5.53,27.32,22.84,24.66,27.69,17.88,34.24,27.58,0.69,3.19,10.14,2.02,22.56,19.87
California,3.05,5.72,28.07,22.88,27.51,31.59,23.28,23.39,28.77,0.7,4.4,18.05,3.21,39.75,24.7
Colorado,1.86,6.32,27.54,23.04,23.51,28.41,,21.29,27.06,,13.87,13.25,2.28,27.63,21.71
Connecticut,3.59,7.05,28.98,23.55,31.19,29.95,19.67,28.99,29.4,0.7,3.85,14.81,2.1,45.57,28.25
Delaware,3.35,7.43,26.96,23.08,30.15,28.95,16.96,26.03,28.06,,5.17,15.17,3.37,32.47,24.64
District of Columbia,3.08,11.18,27.69,,27.11,30.5,,52.26,30.31,,12.59,18.23,22.91,34.74,25.83
Florida,3.51,5.27,27.76,23.23,26.6,27.71,14.66,21.29,26.39,0.71,2.75,13.67,4,30.58,25.41
Georgia,3.51,6.23,26.28,22.84,25.7,27.09,17.68,18.44,25.83,0.83,3,12.28,2.58,27.47,21.6
Hawaii,2.01,44.19,29.97,22.94,36.91,35.52,21.03,29.5,26.82,,1.82,24.73,18.39,99.96,40.04
Idaho,3.04,6.43,28.33,24.5,22.29,29.72,15.71,13.78,27.82,,3.63,18.81,3.95,20.29,19.87
Illinois,2.2,6.84,27.56,22.85,20.95,28.66,13.95,26.84,27.08,0.69,4.49,9.71,1.37,24.7,19.1
Indiana,3.25,6.2,26.74,22.8,23.01,27.68,13.95,16.99,26.01,,3.88,10.4,2.66,24.4,17.86
Iowa,1.66,5.87,27.14,23.44,20.66,28.09,16.91,24.37,26.61,0.69,3.11,11.43,1.55,22.6,17.82
Kansas,1.84,5.76,27.46,22.97,20.13,27.73,16.96,29.1,26.13,0.7,8.92,11.58,1.73,27.42,20.9
