INPUT_TABLE
Variable ID
InputEmissCoeff

region,supplysector,subsector,stub.technology,year,Non.CO2,emiss.coef
USA,comm cooling,gas,gas,1975,BC,0
USA,comm heating,biomass,biomass,1975,BC,0.0627973
USA,comm heating,gas,gas,1975,BC,0
USA,comm heating,refined liquids,refined liquids,1975,BC,0.0132636
USA,comm others,coal,coal,1975,BC,0.5438491
USA,comm others,gas,gas,1975,BC,0
USA,comm others,refined liquids,refined liquids,1975,BC,0.0132636
USA,electricity,biomass,biomass (conv),1975,BC,0.0048922
USA,electricity,coal,coal (conv pul),1975,BC,4.05e-05
USA,electricity,gas,gas (steam/CT),1975,BC,3.5e-06
USA,electricity,refined liquids,refined liquids (steam/CT),1975,BC,0.0004583
USA,industrial energy use,biomass,biomass,1975,BC,0.0030459
USA,industrial energy use,coal,coal,1975,BC,0.0239186
USA,industrial energy use,gas,gas,1975,BC,6e-07
USA,industrial energy use,refined liquids,refined liquids,1975,BC,0.0305335
USA,N fertilizer,gas,gas,1975,BC,6e-07
USA,resid heating,biomass,biomass,1975,BC,0
USA,resid heating,gas,gas,1975,BC,2.17e-05
USA,resid heating,refined liquids,refined liquids,1975,BC,0.0141786
USA,resid others,gas,gas,1975,BC,2.17e-05
USA,resid others,refined liquids,refined liquids,1975,BC,0.0141786
USA,transportation,gas,gas,1975,BC,0
USA,transportation,refined liquids,refined liquids,1975,BC,0.0082828
USA,comm cooling,gas,gas,1975,OC,0.0001453
USA,comm heating,biomass,biomass,1975,OC,0.3475222
USA,comm heating,gas,gas,1975,OC,0.0001453
USA,comm heating,refined liquids,refined liquids,1975,OC,0.0067885
USA,comm others,coal,coal,1975,OC,0.442833
USA,comm others,gas,gas,1975,OC,0.0001453
USA,comm others,refined liquids,refined liquids,1975,OC,0.0067885
USA,electricity,biomass,biomass (conv),1975,OC,0.0107138
USA,electricity,coal,coal (conv pul),1975,OC,1.98e-05
USA,electricity,gas,gas (steam/CT),1975,OC,1.75e-05
USA,electricity,refined liquids,refined liquids (steam/CT),1975,OC,0.0001735
USA,industrial energy use,biomass,biomass,1975,OC,0.0087278
USA,industrial energy use,coal,coal,1975,OC,0.0189817
USA,industrial energy use,gas,gas,1975,OC,3.9e-06
USA,industrial energy use,refined liquids,refined liquids,1975,OC,0.0097303
USA,N fertilizer,gas,gas,1975,OC,3.9e-06
USA,resid heating,biomass,biomass,1975,OC,0
USA,resid heating,gas,gas,1975,OC,0.0001302
USA,resid heating,refined liquids,refined liquids,1975,OC,0.0076801
USA,resid others,gas,gas,1975,OC,0.0001302
USA,resid others,refined liquids,refined liquids,1975,OC,0.0076801
USA,transportation,gas,gas,1975,OC,0
USA,transportation,refined liquids,refined liquids,1975,OC,0.0061398
Africa_Eastern,comm heating,coal,coal,1975,BC,16.8641167
Africa_Eastern,comm heating,refined liquids,refined liquids,1975,BC,0.4112881
Africa_Eastern,comm others,biomass,biomass,1975,BC,1.9472696
Africa_Eastern,comm others,coal,coal,1975,BC,16.8641167
Africa_Eastern,comm others,refined liquids,refined liquids,1975,BC,0.4112881
Africa_Eastern,electricity,biomass,biomass (conv),1975,BC,0.0031515
Africa_Eastern,electricity,coal,coal (conv pul),1975,BC,2.61e-05
Africa_Eastern,electricity,refined liquids,refined liquids (steam/CT),1975,BC,0.0002952
