INPUT_TABLE
Variable ID
FinalDemandInfo

region,energy.final.demand,perCapitaBased,income.elasticity,year,base.service,aeei
USA,urban processes,1,0,1975,0.004,0
Africa_Eastern,urban processes,1,0,1975,0.004,0
Africa_Northern,urban processes,1,0,1975,0.004,0
Africa_Southern,urban processes,1,0,1975,0.004,0
Africa_Western,urban processes,1,0,1975,0.004,0
Australia_NZ,urban processes,1,0,1975,0.004,0
Brazil,urban processes,1,0,1975,0.004,0
Canada,urban processes,1,0,1975,0.004,0
Central America and Caribbean,urban processes,1,0,1975,0.004,0
Central Asia,urban processes,1,0,1975,0.004,0
China,urban processes,1,0,1975,0.004,0
EU-12,urban processes,1,0,1975,0.004,0
EU-15,urban processes,1,0,1975,0.004,0
Europe_Eastern,urban processes,1,0,1975,0.004,0
Europe_Non_EU,urban processes,1,0,1975,0.004,0
European Free Trade Association,urban processes,1,0,1975,0.004,0
India,urban processes,1,0,1975,0.004,0
Indonesia,urban processes,1,0,1975,0.004,0
Japan,urban processes,1,0,1975,0.004,0
Mexico,urban processes,1,0,1975,0.004,0
Middle East,urban processes,1,0,1975,0.004,0
Pakistan,urban processes,1,0,1975,0.004,0
Russia,urban processes,1,0,1975,0.004,0
South Africa,urban processes,1,0,1975,0.004,0
South America_Northern,urban processes,1,0,1975,0.004,0
South America_Southern,urban processes,1,0,1975,0.004,0
South Asia,urban processes,1,0,1975,0.004,0
South Korea,urban processes,1,0,1975,0.004,0
Southeast Asia,urban processes,1,0,1975,0.004,0
Taiwan,urban processes,1,0,1975,0.004,0
Argentina,urban processes,1,0,1975,0.004,0
Colombia,urban processes,1,0,1975,0.004,0
USA,urban processes,1,0,1990,0.004,0
Africa_Eastern,urban processes,1,0,1990,0.004,0
Africa_Northern,urban processes,1,0,1990,0.004,0
Africa_Southern,urban processes,1,0,1990,0.004,0
Africa_Western,urban processes,1,0,1990,0.004,0
Australia_NZ,urban processes,1,0,1990,0.004,0
Brazil,urban processes,1,0,1990,0.004,0
Canada,urban processes,1,0,1990,0.004,0
Central America and Caribbean,urban processes,1,0,1990,0.004,0
Central Asia,urban processes,1,0,1990,0.004,0
China,urban processes,1,0,1990,0.004,0
EU-12,urban processes,1,0,1990,0.004,0
EU-15,urban processes,1,0,1990,0.004,0
Europe_Eastern,urban processes,1,0,1990,0.004,0
Europe_Non_EU,urban processes,1,0,1990,0.004,0
European Free Trade Association,urban processes,1,0,1990,0.004,0
India,urban processes,1,0,1990,0.004,0
Indonesia,urban processes,1,0,1990,0.004,0
Japan,urban processes,1,0,1990,0.004,0
Mexico,urban processes,1,0,1990,0.004,0
Middle East,urban processes,1,0,1990,0.004,0
Pakistan,urban processes,1,0,1990,0.004,0
Russia,urban processes,1,0,1990,0.004,0
South Africa,urban processes,1,0,1990,0.004,0
South America_Northern,urban processes,1,0,1990,0.004,0
South America_Southern,urban processes,1,0,1990,0.004,0
South Asia,urban processes,1,0,1990,0.004,0
South Korea,urban processes,1,0,1990,0.004,0
Southeast Asia,urban processes,1,0,1990,0.004,0
Taiwan,urban processes,1,0,1990,0.004,0
Argentina,urban processes,1,0,1990,0.004,0
Colombia,urban processes,1,0,1990,0.004,0
USA,urban processes,1,0,2005,0.004,0
Africa_Eastern,urban processes,1,0,2005,0.004,0
Africa_Northern,urban processes,1,0,2005,0.004,0
Africa_Southern,urban processes,1,0,2005,0.004,0
Africa_Western,urban processes,1,0,2005,0.004,0
Australia_NZ,urban processes,1,0,2005,0.004,0
Brazil,urban processes,1,0,2005,0.004,0
Canada,urban processes,1,0,2005,0.004,0
Central America and Caribbean,urban processes,1,0,2005,0.004,0
Central Asia,urban processes,1,0,2005,0.004,0
China,urban processes,1,0,2005,0.004,0
EU-12,urban processes,1,0,2005,0.004,0
EU-15,urban processes,1,0,2005,0.004,0
Europe_Eastern,urban processes,1,0,2005,0.004,0
Europe_Non_EU,urban processes,1,0,2005,0.004,0
European Free Trade Association,urban processes,1,0,2005,0.004,0
India,urban processes,1,0,2005,0.004,0
Indonesia,urban processes,1,0,2005,0.004,0
Japan,urban processes,1,0,2005,0.004,0
Mexico,urban processes,1,0,2005,0.004,0
Middle East,urban processes,1,0,2005,0.004,0
Pakistan,urban processes,1,0,2005,0.004,0
Russia,urban processes,1,0,2005,0.004,0
South Africa,urban processes,1,0,2005,0.004,0
South America_Northern,urban processes,1,0,2005,0.004,0
South America_Southern,urban processes,1,0,2005,0.004,0
South Asia,urban processes,1,0,2005,0.004,0
South Korea,urban processes,1,0,2005,0.004,0
Southeast Asia,urban processes,1,0,2005,0.004,0
Taiwan,urban processes,1,0,2005,0.004,0
Argentina,urban processes,1,0,2005,0.004,0
Colombia,urban processes,1,0,2005,0.004,0
USA,urban processes,1,0,2010,0.004,0
Africa_Eastern,urban processes,1,0,2010,0.004,0
Africa_Northern,urban processes,1,0,2010,0.004,0
Africa_Southern,urban processes,1,0,2010,0.004,0
Africa_Western,urban processes,1,0,2010,0.004,0
Australia_NZ,urban processes,1,0,2010,0.004,0
Brazil,urban processes,1,0,2010,0.004,0
Canada,urban processes,1,0,2010,0.004,0
Central America and Caribbean,urban processes,1,0,2010,0.004,0
Central Asia,urban processes,1,0,2010,0.004,0
China,urban processes,1,0,2010,0.004,0
EU-12,urban processes,1,0,2010,0.004,0
EU-15,urban processes,1,0,2010,0.004,0
Europe_Eastern,urban processes,1,0,2010,0.004,0
Europe_Non_EU,urban processes,1,0,2010,0.004,0
