INPUT_TABLE
Variable ID
Supplysector

region,supplysector,output.unit,input.unit,price.unit,logit.year.fillout,logit.exponent
USA,industrial processes,NA,NA,NA,1975,0
USA,urban processes,NA,NA,NA,1975,0
Africa_Eastern,industrial processes,NA,NA,NA,1975,0
Africa_Eastern,urban processes,NA,NA,NA,1975,0
Africa_Northern,industrial processes,NA,NA,NA,1975,0
Africa_Northern,urban processes,NA,NA,NA,1975,0
Africa_Southern,industrial processes,NA,NA,NA,1975,0
Africa_Southern,urban processes,NA,NA,NA,1975,0
Africa_Western,industrial processes,NA,NA,NA,1975,0
Africa_Western,urban processes,NA,NA,NA,1975,0
Australia_NZ,industrial processes,NA,NA,NA,1975,0
Australia_NZ,urban processes,NA,NA,NA,1975,0
Brazil,industrial processes,NA,NA,NA,1975,0
Brazil,urban processes,NA,NA,NA,1975,0
Canada,industrial processes,NA,NA,NA,1975,0
Canada,urban processes,NA,NA,NA,1975,0
Central America and Caribbean,industrial processes,NA,NA,NA,1975,0
Central America and Caribbean,urban processes,NA,NA,NA,1975,0
Central Asia,industrial processes,NA,NA,NA,1975,0
Central Asia,urban processes,NA,NA,NA,1975,0
China,industrial processes,NA,NA,NA,1975,0
China,urban processes,NA,NA,NA,1975,0
EU-12,industrial processes,NA,NA,NA,1975,0
EU-12,urban processes,NA,NA,NA,1975,0
EU-15,industrial processes,NA,NA,NA,1975,0
EU-15,urban processes,NA,NA,NA,1975,0
Europe_Eastern,industrial processes,NA,NA,NA,1975,0
Europe_Eastern,urban processes,NA,NA,NA,1975,0
Europe_Non_EU,industrial processes,NA,NA,NA,1975,0
Europe_Non_EU,urban processes,NA,NA,NA,1975,0
European Free Trade Association,industrial processes,NA,NA,NA,1975,0
European Free Trade Association,urban processes,NA,NA,NA,1975,0
India,industrial processes,NA,NA,NA,1975,0
India,urban processes,NA,NA,NA,1975,0
Indonesia,industrial processes,NA,NA,NA,1975,0
Indonesia,urban processes,NA,NA,NA,1975,0
Japan,industrial processes,NA,NA,NA,1975,0
Japan,urban processes,NA,NA,NA,1975,0
Mexico,industrial processes,NA,NA,NA,1975,0
Mexico,urban processes,NA,NA,NA,1975,0
Middle East,industrial processes,NA,NA,NA,1975,0
Middle East,urban processes,NA,NA,NA,1975,0
Pakistan,industrial processes,NA,NA,NA,1975,0
Pakistan,urban processes,NA,NA,NA,1975,0
Russia,industrial processes,NA,NA,NA,1975,0
Russia,urban processes,NA,NA,NA,1975,0
South Africa,industrial processes,NA,NA,NA,1975,0
South Africa,urban processes,NA,NA,NA,1975,0
South America_Northern,industrial processes,NA,NA,NA,1975,0
South America_Northern,urban processes,NA,NA,NA,1975,0
South America_Southern,industrial processes,NA,NA,NA,1975,0
South America_Southern,urban processes,NA,NA,NA,1975,0
South Asia,industrial processes,NA,NA,NA,1975,0
South Asia,urban processes,NA,NA,NA,1975,0
South Korea,industrial processes,NA,NA,NA,1975,0
South Korea,urban processes,NA,NA,NA,1975,0
Southeast Asia,industrial processes,NA,NA,NA,1975,0
Southeast Asia,urban processes,NA,NA,NA,1975,0
Taiwan,industrial processes,NA,NA,NA,1975,0
Taiwan,urban processes,NA,NA,NA,1975,0
Argentina,industrial processes,NA,NA,NA,1975,0
Argentina,urban processes,NA,NA,NA,1975,0
Colombia,industrial processes,NA,NA,NA,1975,0
Colombia,urban processes,NA,NA,NA,1975,0
