INPUT_TABLE
Variable ID
GDPCtrlMax

region,supplysector,subsector,stub.technology,year,Non.CO2,ctrl.name,max.reduction
Africa_Eastern,refining,coal to liquids,coal to liquids,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,coal to liquids,coal to liquids CCS level 1,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,coal to liquids,coal to liquids CCS level 2,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,gas to liquids,gas to liquids,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,biomass liquids,cellulosic ethanol,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,biomass liquids,cellulosic ethanol CCS level 1,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,biomass liquids,cellulosic ethanol CCS level 2,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,biomass liquids,FT biofuels,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 1,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,biomass liquids,FT biofuels CCS level 2,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,biomass liquids,corn ethanol,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,biomass liquids,sugar cane ethanol,2015,SO2_3,GDP_control,25
Africa_Eastern,refining,biomass liquids,biodiesel,2015,SO2_3,GDP_control,25
Africa_Eastern,electricity,coal,coal (IGCC),2015,SO2_3,GDP_control,0
Africa_Eastern,electricity,coal,coal (IGCC CCS),2015,SO2_3,GDP_control,0
Africa_Eastern,electricity,gas,gas (CC),2015,SO2_3,GDP_control,10
Africa_Eastern,electricity,gas,gas (CC CCS),2015,SO2_3,GDP_control,10
Africa_Eastern,electricity,refined liquids,refined liquids (IGCC),2015,SO2_3,GDP_control,100
Africa_Eastern,electricity,refined liquids,refined liquids (IGCC CCS),2015,SO2_3,GDP_control,50
Africa_Eastern,electricity,biomass,biomass (IGCC),2015,SO2_3,GDP_control,0
Africa_Eastern,electricity,biomass,biomass (IGCC CCS),2015,SO2_3,GDP_control,0
Africa_Eastern,H2 central production,coal,coal chemical,2015,SO2_3,GDP_control,10
Africa_Eastern,H2 central production,coal,coal chemical CCS,2015,SO2_3,GDP_control,10
Africa_Eastern,H2 central production,biomass,biomass to H2,2015,SO2_3,GDP_control,10
Africa_Eastern,H2 central production,biomass,biomass to H2 CCS,2015,SO2_3,GDP_control,10
Africa_Northern,refining,coal to liquids,coal to liquids,2015,SO2_3,GDP_control,25
Africa_Northern,refining,coal to liquids,coal to liquids CCS level 1,2015,SO2_3,GDP_control,25
Africa_Northern,refining,coal to liquids,coal to liquids CCS level 2,2015,SO2_3,GDP_control,25
Africa_Northern,refining,gas to liquids,gas to liquids,2015,SO2_3,GDP_control,25
Africa_Northern,refining,biomass liquids,cellulosic ethanol,2015,SO2_3,GDP_control,25
Africa_Northern,refining,biomass liquids,cellulosic ethanol CCS level 1,2015,SO2_3,GDP_control,25
Africa_Northern,refining,biomass liquids,cellulosic ethanol CCS level 2,2015,SO2_3,GDP_control,25
Africa_Northern,refining,biomass liquids,FT biofuels,2015,SO2_3,GDP_control,25
Africa_Northern,refining,biomass liquids,FT biofuels CCS level 1,2015,SO2_3,GDP_control,25
Africa_Northern,refining,biomass liquids,FT biofuels CCS level 2,2015,SO2_3,GDP_control,25
Africa_Northern,refining,biomass liquids,corn ethanol,2015,SO2_3,GDP_control,25
Africa_Northern,refining,biomass liquids,sugar cane ethanol,2015,SO2_3,GDP_control,25
Africa_Northern,refining,biomass liquids,biodiesel,2015,SO2_3,GDP_control,25
