# File: WSA_steel_prod_cons_1970_2018.csv
# Title: Crude steel production and consumption by country
# Units: thousand tons
# Description: Crude steel production and apparent steel consumption (crude equivalent) by country (1970-2021)
# Source: World Steel Association Statistical Year Books (1980 1989 1999 2000 2019)
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Country,Metric,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,Crude Steel Production,,,,,,,,,,,,,,,,,,,,205,143,28,20,19,19,22,23,22,22,16,5,80,140,140,143,180,206,263,300,221,390,464,500,550,560,150,50,,,0,0,0
Algeria,Crude Steel Production,31,28,98,195,173,221,356,410,580,450,388,557,868,950,1080,1414,1400,1400,1400,1041,836,840,842,865,807,827,651,399,600,758,842,947,1091,1051,1014,1007,1158,1278,646,597,662,551,557,417,415,650,650,415,2000,2400,3000,3491
Angola,Crude Steel Production,,,,,,,,,,,,,,,,,,,,10,10,10,10,9,9,,,,,9,9,,,,,,,,,,,,,,,,,,,290,250,275
Argentina,Crude Steel Production,1823,1915,2151,2205,2353,2208,2410,2684,2782,3199,2687,2526,2913,2942,2647,2946,3235,3610,3631,3909,3636,2991,2700,2886,3289,3581,4075,4169,4216,3799,4474,4107,4356,5044,5133,5380,5533,5387,5541,4013,5138,5611,4995,5186,5488,5028,4126,4624,5162,4645,3651,4875
Armenia,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Australia,Crude Steel Production,6839,6753,6751,7699,7813,7869,7794,7338,7596,8119,7589,7635,6371,5676,6302,6609,6674,6100,6400,6735,6676,6141,6803,7853,8424,8460,8415,8831,8941,8172,7129,7033,7527,7544,7414,7757,7881,7939,7625,5249,7296,6404,4893,4688,4607,4925,5259,5328,5689,5493,5490,5780
Austria,Crude Steel Production,4079,3960,4069,4238,4699,4069,4476,4093,4335,4917,4623,4656,4258,4411,4870,4660,4292,4301,4560,4718,4291,4187,3953,4149,4399,4990,4442,5181,5282,5202,5707,5869,6189,6261,6530,7031,7129,7578,7594,5662,7206,7474,7421,7953,7876,7687,7438,8135,6885,7424,6765,7884
Azerbaijan,Crude Steel Production,378.1667232,393.670495,409.8301831,429.0573402,444.4566876,461.1809205,472.5370826,478.5741227,494.1757925,487,483,485,480,498,503,505,524,528,532,522.44,503.97,433.49,385,236,40,20,20,25,8,,,80,125,250,250,330,300,150,150,120,120,120,120,173,180,180,180,180,200,200,200,286
Bahrain,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,900,1167
Bangladesh,Crude Steel Production,,,,,,,,,,125,131,134,78,58,88,122,116,120,120,86,90,58,36,32,34,36,37,40,40,,,,,,,,,,,70,78,85,87,84,90,100,100,100,100,5100,5500,5500
Belarus,Crude Steel Production,1085.387608,1129.885447,1176.26585,1231.450288,1275.648415,1323.649135,1356.242795,1373.569885,1418.348703,1396,1386,1391,1378,1428,1445,1448,1504,1517,1527,1499.46,1446.45,1244.17,1105,946,880,744,886,1219,1412,1448,1502,1486,1484,1591,1792,2027,2324,2410,2552,2417,2530,2614,2687,2245,2513,2510,2188,2343,2470,2621,2482,2481
Belgium-Luxembourg,Crude Steel Production,18069,17686,19989,21446,22674,16206,16710,15585,17391,18484,17040,16167,13502,13448,15287,14628,13418,13085,14876,14695,15013,14727,13399,13465,14404,14219,13320,13319,13902,13531,14207,13487,14062,13789,14382,12614,14433,13550,13258,7776,10521,10547,9509,9217,9524,9384,9862,10014,10208,10100,9867,10054
Benin,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bolivia,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Bosnia-Herzegovina,Crude Steel Production,362.99,399.65,421.64,435.98,462.04,475.08,448.2,518.42,563.06,576,592,648,626,674,690,730,736,711,731,724.67,587.82,354.52,261,,,,68,72,88,60,77,84,74,95,75,289,490,533,608,519,592,649,700,722,793,819,806,756,695,801,759,775
Brazil,Crude Steel Production,5390,5997,6518,7150,7515,8387,9253,11253,12205,13891,15337,13226,12995,14671,18386,20456,21233,22228,24657,25055,20567,22617,23934,25207,25747,25076,25237,26153,25760,24996,27865,26717,29604,31147,32909,31610,30901,33782,33716,26506,32948,35220,34524,34163,33897,33258,31642,34778,35407,32569,31415,36071
Bulgaria,Crude Steel Production,1800,1948,2121,2246,2188,2265,2460,2589,2470,2482,2567,2483,2586,2825,2878,2945,2965,3044,2880,2899,2180,1615,1552,1941,2491,2724,2457,2628,2216,1889,2022,1972,1860,2317,2106,1949,2102,1909,1330,726,737,835,633,523,612,543,527,652,666,566,484,548
Cameroon,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Canada,Crude Steel Production,11200,11040,11863,13388,12623,13025,13290,12631,14899,16054,15901,14811,11871,12832,14699,14637,14081,14737,15194,15458,12281,12987,13933,14387,13897,14415,14735,15553,15930,16235,16595,15276,16002,15929,16305,15327,15493,15572,14845,9292,13009,12891,13507,12417,12730,12473,12646,13208,13443,12897,10986,12976
Chile,Crude Steel Production,592,654,631,549,634,508,503,559,616,657,704,644,492,618,692,689,706,719,899,800,772,807,1013,1069,1040,1014,1178,1167,1171,1291,1352,1247,1279,1377,1579,1537,1627,1679,1523,1308,1011,1615,1671,1323,1079,1112,1153,1158,1145,1133,1157,1318
China,Crude Steel Production,18000,21000,23000,26000,26000,26000,21000,23700,31780,34484,37121,35604,37160,40021,43475,46794,52208,56020,59200,61587,66349,71000,80935,89539,92613,95360,101237,108911,114588,124260,128500,151634,182366,222336,282911,353240,419149,489288,500915,577070,638743,701968,731040,822000,822306,803825,807609,870855,928264,995419,1064767,1035243
Colombia,Crude Steel Production,310,325,373,362,311,390,370,330,390,354,420,402,422,482,507,530,632,691,718,711,701,652,657,687,693,714,695,734,671,534,660,638,664,668,730,842,1220,1245,1053,1052,1208,1287,1302,1236,1208,1211,1272,1253,1219,1333,1149,1338
Congo,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Croatia,Crude Steel Production,141.86,156.18,164.78,170.38,180.57,185.66,175.16,202.6,220.04,225,231,253,244,263,270,285,288,278,286,283.21,229.72,138.55,102,74,63,45,46,69,101,74,71,58,34,41,86,73,81,75,89,43,95,96,1,135,167,122,,,136,69,45,185
Cuba,Crude Steel Production,140,160,185,220,240,300,296,302,300,328,304,330,301,364,338,408,411,402,450,314,255,180,134,91,131,207,231,342,284,303,336,270,268,210,192,245,257,268,279,267,278,282,277,322,256,284,244,221,225,230,185,231
Cyprus,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Czech Republic,Crude Steel Production,7546.308192,7933.48376,8366.673403,8649.331288,8966.171057,9415.794298,9658.354204,9895.655359,10053.4179,9740,9811,10038,9855,9876,9749,9884,9934,10134,10110,10165.82371,9779.305485,7934.798448,7286,6769,7085,7184,6509,6750,6498,5616,6216,6316,6512,6783,7033,6189,6862,7059,6387,4594,5180,5583,5072,5171,5360,5262,5305,4550,4938,4437,4465,4817
Dem. Rep. of the Congo,Crude Steel Production,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,
Denmark,Crude Steel Production,473,471,498,453,536,557,722,686,863,804,734,612,560,493,548,528,632,606,650,624,610,633,591,603,722,654,739,786,790,729,801,751,392,,,,,,,,,,,,,,,,,0,0,0
Djibouti,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Crude Steel Production,,,,,,,,,,,,,,,,,,,,55,37,39,33,,,,42,82,36,43,39,,,,,,,,,,,,,,,,,,,0,0,0
Ecuador,Crude Steel Production,,,,,,,,,,8,17,28,28,23,18,17,17,25,23,23,20,20,20,27,32,35,20,44,46,53,58,60,69,80,72,84,85,87,128,259,372,463,425,570,667,720,576,561,583,607,482,612
Egypt,Crude Steel Production,450,450,450,525,500,500,500,600,600,925,968,1015,1074,979,928,1028,1013,1433,2025,2114,2247,2556,2524,2772,2622,2642,2618,2717,2870,2627,2838,3799,4316,4398,4810,5603,6045,6224,6198,5541,6676,6485,6627,6754,6485,5506,5036,6870,7807,7257,8229,10294
El Salvador,Crude Steel Production,,,,,,,,,,,,,,,,,,,,12,16,19,28,37,24,28,41,45,44,34,41,39,49,57,59,48,72,73,71,56,64,97,72,118,121,124,100,96,99,102,82,103
Equatorial Guinea,Crude Steel Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
