# File: A44.sector.csv
# Title: Building sector default supplysector information (units and logit exponents)
# Units: In file
# Column types: ccccicc 
# ----------
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.type
resid heating modern,EJ,EJ,1975$/GJ,-3,building,
resid heating coal,EJ,EJ,1975$/GJ,-3,building,
resid heating TradBio,EJ,EJ,1975$/GJ,-3,building,
resid cooling modern,EJ,EJ,1975$/GJ,-3,building,
resid others modern,EJ,EJ,1975$/GJ,-3,building,
resid others coal,EJ,EJ,1975$/GJ,-3,building,
resid others TradBio,EJ,EJ,1975$/GJ,-3,building,
comm heating,EJ,EJ,1975$/GJ,-3,building,
comm cooling,EJ,EJ,1975$/GJ,-3,building,
comm others,EJ,EJ,1975$/GJ,-3,building,
